	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1100	Idaho	US	03/22/2020	43.4085812	-113.9752658	21	0	0	Blaine
212	Idaho	US	03/23/2020	43.4085812	-113.9752658	35	0	0	Blaine
212	Idaho	US	03/24/2020	43.4085812	-113.9752658	36	0	0	Blaine
212	Idaho	US	03/25/2020	43.4085812	-113.9752658	40	0	0	Blaine
212	Idaho	US	03/26/2020	43.4085812	-113.9752658	66	2	0	Blaine
212	Idaho	US	03/27/2020	43.4085812	-113.9752658	93	2	0	Blaine
212	Idaho	US	03/28/2020	43.4085812	-113.9752658	99	2	0	Blaine
212	Idaho	US	03/29/2020	43.4085812	-113.9752658	114	2	0	Blaine
212	Idaho	US	03/30/2020	43.4085812	-113.9752658	130	2	0	Blaine
147	Idaho	US	03/31/2020	43.4085812	-113.9752658	192	2	0	Blaine
152	Idaho	US	04/01/2020	43.4085812	-113.9752658	228	2	0	Blaine
159	Idaho	US	04/02/2020	43.4085812	-113.9752658	256	2	0	Blaine
160	Idaho	US	04/03/2020	43.4085812	-113.9752658	351	2	0	Blaine
165	Idaho	US	04/04/2020	43.4085812	-113.9752658	405	2	0	Blaine
171	Idaho	US	04/05/2020	43.4085812	-113.9752658	410	2	0	Blaine
171	Idaho	US	04/06/2020	43.4085812	-113.9752658	410	2	0	Blaine
175	Idaho	US	04/07/2020	43.4085812	-113.9752658	423	2	0	Blaine
176	Idaho	US	04/08/2020	43.4085812	-113.9752658	428	4	0	Blaine
178	Idaho	US	04/09/2020	43.4085812	-113.9752658	428	5	0	Blaine
179	Idaho	US	04/10/2020	43.4085812	-113.9752658	446	5	0	Blaine
181	Idaho	US	04/11/2020	43.4085812	-113.9752658	452	5	0	Blaine
183	Idaho	US	04/12/2020	43.4085812	-113.9752658	454	5	0	Blaine
184	Idaho	US	04/13/2020	43.4085812	-113.9752658	454	5	0	Blaine
185	Idaho	US	04/14/2020	43.4085812	-113.9752658	458	5	0	Blaine
186	Idaho	US	04/15/2020	43.4085812	-113.9752658	458	5	0	Blaine
186	Idaho	US	04/16/2020	43.4085812	-113.9752658	469	5	0	Blaine
189	Idaho	US	04/17/2020	43.4085812	-113.9752658	473	5	0	Blaine
189	Idaho	US	04/18/2020	43.4085812	-113.9752658	475	5	0	Blaine
190	Idaho	US	04/19/2020	43.4085812	-113.9752658	475	5	0	Blaine
190	Idaho	US	04/20/2020	43.4085812	-113.9752658	476	5	0	Blaine
191	Idaho	US	04/21/2020	43.4085812	-113.9752658	478	5	0	Blaine
191	Idaho	US	04/22/2020	43.4085812	-113.9752658	480	5	0	Blaine
191	Idaho	US	04/23/2020	43.4085812	-113.9752658	485	5	0	Blaine
191	Idaho	US	04/24/2020	43.4085812	-113.9752658	489	5	0	Blaine
191	Idaho	US	04/25/2020	43.4085812	-113.9752658	490	5	0	Blaine
192	Idaho	US	04/26/2020	43.4085812	-113.9752658	492	5	0	Blaine
192	Idaho	US	04/27/2020	43.4085812	-113.9752658	492	5	0	Blaine
192	Idaho	US	04/28/2020	43.4085812	-113.9752658	497	5	0	Blaine
192	Idaho	US	04/29/2020	43.4085812	-113.9752658	497	5	0	Blaine
192	Idaho	US	04/30/2020	43.4085812	-113.9752658	498	5	0	Blaine
192	Idaho	US	05/01/2020	43.4085812	-113.9752658	497	5	0	Blaine
192	Idaho	US	05/02/2020	43.4085812	-113.9752658	497	5	0	Blaine
192	Idaho	US	05/03/2020	43.4085812	-113.9752658	497	5	0	Blaine
192	Idaho	US	05/04/2020	43.4085812	-113.9752658	498	5	0	Blaine
193	Idaho	US	05/05/2020	43.4085812	-113.9752658	499	5	0	Blaine
194	Idaho	US	05/06/2020	43.4085812	-113.9752658	499	5	0	Blaine
195	Idaho	US	05/07/2020	43.4085812	-113.9752658	499	5	0	Blaine
195	Idaho	US	05/08/2020	43.4085812	-113.9752658	499	5	0	Blaine
195	Idaho	US	05/09/2020	43.4085812	-113.9752658	499	5	0	Blaine
196	Idaho	US	05/10/2020	43.4085812	-113.9752658	503	5	0	Blaine
196	Idaho	US	05/11/2020	43.4085812	-113.9752658	506	5	0	Blaine
196	Idaho	US	05/12/2020	43.4085812	-113.9752658	506	5	0	Blaine
196	Idaho	US	05/13/2020	43.4085812	-113.9752658	506	5	0	Blaine
196	Idaho	US	05/14/2020	43.4085812	-113.9752658	507	5	0	Blaine
197	Idaho	US	05/15/2020	43.4085812	-113.9752658	507	5	0	Blaine
197	Idaho	US	05/16/2020	43.4085812	-113.9752658	508	5	0	Blaine
198	Idaho	US	05/17/2020	43.4085812	-113.9752658	508	5	0	Blaine
199	Idaho	US	05/18/2020	43.4085812	-113.9752658	508	5	0	Blaine
200	Idaho	US	05/19/2020	43.4085812	-113.9752658	508	5	0	Blaine
200	Idaho	US	05/20/2020	43.4085812	-113.9752658	509	5	0	Blaine
200	Idaho	US	05/21/2020	43.4085812	-113.9752658	509	5	0	Blaine
201	Idaho	US	05/22/2020	43.4085812	-113.9752658	510	5	0	Blaine
201	Idaho	US	05/23/2020	43.4085812	-113.9752658	510	5	0	Blaine
201	Idaho	US	05/24/2020	43.4085812	-113.9752658	510	5	0	Blaine
201	Idaho	US	05/25/2020	43.4085812	-113.9752658	510	5	0	Blaine
201	Idaho	US	05/26/2020	43.4085812	-113.9752658	510	5	0	Blaine
202	Idaho	US	05/27/2020	43.4085812	-113.9752658	510	5	0	Blaine
202	Idaho	US	05/28/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	05/29/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	05/30/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	05/31/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	06/01/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	06/02/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	06/03/2020	43.4085812	-113.9752658	512	5	0	Blaine
202	Idaho	US	06/04/2020	43.4085812	-113.9752658	514	5	0	Blaine
203	Idaho	US	06/05/2020	43.4085812	-113.9752658	514	5	0	Blaine
203	Idaho	US	06/06/2020	43.4085812	-113.9752658	514	5	0	Blaine
203	Idaho	US	06/07/2020	43.4085812	-113.9752658	514	5	0	Blaine
203	Idaho	US	06/08/2020	43.4085812	-113.9752658	514	5	0	Blaine
203	Idaho	US	06/09/2020	43.4085812	-113.9752658	514	5	0	Blaine
204	Idaho	US	06/10/2020	43.4085812	-113.9752658	515	5	0	Blaine
205	Idaho	US	06/11/2020	43.4085812	-113.9752658	515	5	0	Blaine
206	Idaho	US	06/12/2020	43.4085812	-113.9752658	515	5	0	Blaine
206	Idaho	US	06/13/2020	43.4085812	-113.9752658	515	5	0	Blaine
206	Idaho	US	06/14/2020	43.4085812	-113.9752658	515	5	0	Blaine
207	Idaho	US	06/15/2020	43.4085812	-113.9752658	515	5	0	Blaine
207	Idaho	US	06/16/2020	43.4085812	-113.9752658	515	5	0	Blaine
207	Idaho	US	06/17/2020	43.4085812	-113.9752658	515	5	0	Blaine
207	Idaho	US	06/18/2020	43.4085812	-113.9752658	517	5	0	Blaine
207	Idaho	US	06/19/2020	43.4085812	-113.9752658	518	5	0	Blaine
208	Idaho	US	06/20/2020	43.4085812	-113.9752658	519	5	0	Blaine
208	Idaho	US	06/21/2020	43.4085812	-113.9752658	519	5	0	Blaine
208	Idaho	US	06/22/2020	43.4085812	-113.9752658	520	5	0	Blaine
208	Idaho	US	06/23/2020	43.4085812	-113.9752658	520	5	0	Blaine
208	Idaho	US	06/24/2020	43.4085812	-113.9752658	523	5	0	Blaine
208	Idaho	US	06/25/2020	43.4085812	-113.9752658	528	5	0	Blaine
208	Idaho	US	06/26/2020	43.4085812	-113.9752658	528	5	0	Blaine
208	Idaho	US	06/27/2020	43.4085812	-113.9752658	529	5	0	Blaine
208	Idaho	US	06/28/2020	43.4085812	-113.9752658	529	5	0	Blaine
208	Idaho	US	06/29/2020	43.4085812	-113.9752658	532	5	0	Blaine
209	Idaho	US	06/30/2020	43.4085812	-113.9752658	535	5	0	Blaine
209	Idaho	US	07/01/2020	43.4085812	-113.9752658	535	5	0	Blaine
209	Idaho	US	07/02/2020	43.4085812	-113.9752658	538	5	0	Blaine
209	Idaho	US	07/03/2020	43.4085812	-113.9752658	539	5	0	Blaine
209	Idaho	US	07/04/2020	43.4085812	-113.9752658	539	5	0	Blaine
209	Idaho	US	07/05/2020	43.4085812	-113.9752658	539	5	0	Blaine
209	Idaho	US	07/06/2020	43.4085812	-113.9752658	542	5	0	Blaine
209	Idaho	US	07/07/2020	43.4085812	-113.9752658	543	5	0	Blaine
210	Idaho	US	07/08/2020	43.4085812	-113.9752658	544	5	0	Blaine
210	Idaho	US	07/09/2020	43.4085812	-113.9752658	546	5	0	Blaine
210	Idaho	US	07/10/2020	43.4085812	-113.9752658	548	5	0	Blaine
210	Idaho	US	07/11/2020	43.4085812	-113.9752658	549	5	0	Blaine
210	Idaho	US	07/12/2020	43.4085812	-113.9752658	550	5	0	Blaine
210	Idaho	US	07/13/2020	43.4085812	-113.9752658	551	5	0	Blaine
210	Idaho	US	07/14/2020	43.4085812	-113.9752658	551	5	0	Blaine
210	Idaho	US	07/15/2020	43.4085812	-113.9752658	554	5	0	Blaine
210	Idaho	US	07/16/2020	43.4085812	-113.9752658	555	5	0	Blaine
210	Idaho	US	07/17/2020	43.4085812	-113.9752658	555	5	0	Blaine
221	Idaho	US	07/18/2020	43.4085812	-113.9752658	556	5	0	Blaine
221	Idaho	US	07/19/2020	43.4085812	-113.9752658	556	5	0	Blaine
215	Idaho	US	07/20/2020	43.4085812	-113.9752658	558	5	0	Blaine
222	Idaho	US	07/21/2020	43.4085812	-113.9752658	561	5	0	Blaine
222	Idaho	US	07/22/2020	43.4085812	-113.9752658	562	6	0	Blaine
223	Idaho	US	07/23/2020	43.4085812	-113.9752658	562	6	0	Blaine
223	Idaho	US	07/24/2020	43.4085812	-113.9752658	562	6	0	Blaine
223	Idaho	US	07/25/2020	43.4085812	-113.9752658	562	6	0	Blaine
223	Idaho	US	07/26/2020	43.4085812	-113.9752658	562	6	0	Blaine
223	Idaho	US	07/27/2020	43.4085812	-113.9752658	563	6	0	Blaine
223	Idaho	US	07/28/2020	43.4085812	-113.9752658	566	6	0	Blaine
223	Idaho	US	07/29/2020	43.4085812	-113.9752658	567	6	0	Blaine
223	Idaho	US	07/30/2020	43.4085812	-113.9752658	567	6	0	Blaine
223	Idaho	US	07/31/2020	43.4085812	-113.9752658	568	6	0	Blaine
223	Idaho	US	08/01/2020	43.4085812	-113.9752658	569	6	0	Blaine
223	Idaho	US	08/02/2020	43.4085812	-113.9752658	569	6	0	Blaine
223	Idaho	US	08/03/2020	43.4085812	-113.9752658	570	6	0	Blaine
223	Idaho	US	08/04/2020	43.4085812	-113.9752658	571	6	0	Blaine
223	Idaho	US	08/05/2020	43.4085812	-113.9752658	573	6	0	Blaine
223	Idaho	US	08/06/2020	43.4085812	-113.9752658	575	6	0	Blaine
223	Idaho	US	08/07/2020	43.4085812	-113.9752658	575	6	0	Blaine
223	Idaho	US	08/08/2020	43.4085812	-113.9752658	575	6	0	Blaine
223	Idaho	US	08/09/2020	43.4085812	-113.9752658	576	6	0	Blaine
223	Idaho	US	08/10/2020	43.4085812	-113.9752658	577	6	0	Blaine
1248	Idaho	US	08/11/2020	43.4085812	-113.9752658	578	6	0	Blaine
1202	Idaho	US	08/12/2020	43.4085812	-113.9752658	578	6	0	Blaine
1202	Idaho	US	08/13/2020	43.4085812	-113.9752658	582	6	0	Blaine
1202	Idaho	US	08/14/2020	43.4085812	-113.9752658	584	6	0	Blaine
1202	Idaho	US	08/15/2020	43.4085812	-113.9752658	585	6	0	Blaine
1202	Idaho	US	08/16/2020	43.4085812	-113.9752658	585	6	0	Blaine
1202	Idaho	US	08/17/2020	43.4085812	-113.9752658	586	6	0	Blaine
1202	Idaho	US	08/18/2020	43.4085812	-113.9752658	590	6	0	Blaine
1202	Idaho	US	08/19/2020	43.4085812	-113.9752658	592	6	0	Blaine
1202	Idaho	US	08/20/2020	43.4085812	-113.9752658	593	6	0	Blaine
1202	Idaho	US	08/21/2020	43.4085812	-113.9752658	593	6	0	Blaine
1203	Idaho	US	08/22/2020	43.4085812	-113.9752658	594	6	0	Blaine
1203	Idaho	US	08/23/2020	43.4085812	-113.9752658	595	6	0	Blaine
1203	Idaho	US	08/24/2020	43.4085812	-113.9752658	595	6	0	Blaine
1203	Idaho	US	08/25/2020	43.4085812	-113.9752658	596	6	0	Blaine
1203	Idaho	US	08/26/2020	43.4085812	-113.9752658	598	6	0	Blaine
1203	Idaho	US	08/27/2020	43.4085812	-113.9752658	601	6	0	Blaine
1203	Idaho	US	08/28/2020	43.4085812	-113.9752658	601	6	0	Blaine
1203	Idaho	US	08/29/2020	43.4085812	-113.9752658	604	6	0	Blaine
1203	Idaho	US	08/30/2020	43.4085812	-113.9752658	605	6	0	Blaine
1203	Idaho	US	08/31/2020	43.4085812	-113.9752658	606	6	0	Blaine
