	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1105	Madison	1	US	0	43.78141028	-111.65384740000002	Idaho	0	03/22/2020
1759	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/23/2020
1759	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/24/2020
1759	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/25/2020
1758	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/26/2020
1758	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/27/2020
1758	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/28/2020
1758	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/29/2020
1758	Madison	2	US	0	43.78141028	-111.65384740000002	Idaho	0	03/30/2020
1182	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	03/31/2020
1214	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/01/2020
1264	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/02/2020
1289	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/03/2020
1319	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/04/2020
1363	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/05/2020
1384	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/06/2020
1414	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/07/2020
1429	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/08/2020
1446	Madison	4	US	0	43.78141028	-111.65384740000002	Idaho	0	04/09/2020
1453	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/10/2020
1469	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/11/2020
1481	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/12/2020
1491	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/13/2020
1497	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/14/2020
1505	Madison	5	US	0	43.78141028	-111.65384740000002	Idaho	0	04/15/2020
1510	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/16/2020
1509	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/17/2020
1515	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/18/2020
1525	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/19/2020
1529	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/20/2020
1536	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/21/2020
1541	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/22/2020
1551	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/23/2020
1553	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/24/2020
1555	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/25/2020
1561	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/26/2020
1563	Madison	8	US	0	43.78141028	-111.65384740000002	Idaho	0	04/27/2020
1568	Madison	9	US	0	43.78141028	-111.65384740000002	Idaho	0	04/28/2020
1571	Madison	9	US	0	43.78141028	-111.65384740000002	Idaho	0	04/29/2020
1577	Madison	10	US	0	43.78141028	-111.65384740000002	Idaho	0	04/30/2020
