	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1520	Grundy	0	US	0	41.28569601	-88.41905692	Illinois	0	03/22/2020
1137	Grundy	0	US	0	41.28569601	-88.41905692	Illinois	0	03/23/2020
1137	Grundy	1	US	0	41.28569601	-88.41905692	Illinois	0	03/24/2020
1137	Grundy	1	US	0	41.28569601	-88.41905692	Illinois	0	03/25/2020
1136	Grundy	1	US	0	41.28569601	-88.41905692	Illinois	0	03/26/2020
1136	Grundy	2	US	0	41.28569601	-88.41905692	Illinois	0	03/27/2020
1136	Grundy	2	US	0	41.28569601	-88.41905692	Illinois	0	03/28/2020
1136	Grundy	3	US	0	41.28569601	-88.41905692	Illinois	0	03/29/2020
1136	Grundy	3	US	0	41.28569601	-88.41905692	Illinois	0	03/30/2020
774	Grundy	4	US	0	41.28569601	-88.41905692	Illinois	0	03/31/2020
797	Grundy	4	US	0	41.28569601	-88.41905692	Illinois	0	04/01/2020
826	Grundy	5	US	0	41.28569601	-88.41905692	Illinois	0	04/02/2020
841	Grundy	7	US	0	41.28569601	-88.41905692	Illinois	0	04/03/2020
859	Grundy	9	US	0	41.28569601	-88.41905692	Illinois	0	04/04/2020
892	Grundy	9	US	0	41.28569601	-88.41905692	Illinois	0	04/05/2020
904	Grundy	9	US	0	41.28569601	-88.41905692	Illinois	0	04/06/2020
923	Grundy	9	US	0	41.28569601	-88.41905692	Illinois	0	04/07/2020
932	Grundy	12	US	0	41.28569601	-88.41905692	Illinois	0	04/08/2020
939	Grundy	12	US	0	41.28569601	-88.41905692	Illinois	0	04/09/2020
946	Grundy	15	US	0	41.28569601	-88.41905692	Illinois	0	04/10/2020
954	Grundy	17	US	0	41.28569601	-88.41905692	Illinois	0	04/11/2020
962	Grundy	21	US	0	41.28569601	-88.41905692	Illinois	0	04/12/2020
970	Grundy	21	US	0	41.28569601	-88.41905692	Illinois	0	04/13/2020
973	Grundy	24	US	0	41.28569601	-88.41905692	Illinois	0	04/14/2020
979	Grundy	24	US	0	41.28569601	-88.41905692	Illinois	0	04/15/2020
980	Grundy	24	US	0	41.28569601	-88.41905692	Illinois	0	04/16/2020
979	Grundy	24	US	0	41.28569601	-88.41905692	Illinois	0	04/17/2020
981	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/18/2020
988	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/19/2020
991	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/20/2020
995	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/21/2020
998	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/22/2020
1005	Grundy	26	US	0	41.28569601	-88.41905692	Illinois	0	04/23/2020
1007	Grundy	28	US	0	41.28569601	-88.41905692	Illinois	0	04/24/2020
1007	Grundy	28	US	0	41.28569601	-88.41905692	Illinois	0	04/25/2020
1011	Grundy	30	US	0	41.28569601	-88.41905692	Illinois	0	04/26/2020
1013	Grundy	30	US	0	41.28569601	-88.41905692	Illinois	0	04/27/2020
1017	Grundy	30	US	0	41.28569601	-88.41905692	Illinois	0	04/28/2020
1019	Grundy	32	US	0	41.28569601	-88.41905692	Illinois	0	04/29/2020
1023	Grundy	35	US	0	41.28569601	-88.41905692	Illinois	0	04/30/2020
1029	Grundy	37	US	0	41.28569601	-88.41905692	Illinois	0	05/01/2020
1031	Grundy	41	US	0	41.28569601	-88.41905692	Illinois	0	05/02/2020
1032	Grundy	43	US	0	41.28569601	-88.41905692	Illinois	0	05/03/2020
1034	Grundy	46	US	0	41.28569601	-88.41905692	Illinois	0	05/04/2020
1039	Grundy	47	US	0	41.28569601	-88.41905692	Illinois	0	05/05/2020
1042	Grundy	48	US	0	41.28569601	-88.41905692	Illinois	0	05/06/2020
1044	Grundy	50	US	0	41.28569601	-88.41905692	Illinois	0	05/07/2020
1048	Grundy	55	US	1	41.28569601	-88.41905692	Illinois	0	05/08/2020
1048	Grundy	58	US	1	41.28569601	-88.41905692	Illinois	0	05/09/2020
1049	Grundy	58	US	1	41.28569601	-88.41905692	Illinois	0	05/10/2020
1049	Grundy	60	US	1	41.28569601	-88.41905692	Illinois	0	05/11/2020
1050	Grundy	61	US	1	41.28569601	-88.41905692	Illinois	0	05/12/2020
1050	Grundy	62	US	1	41.28569601	-88.41905692	Illinois	0	05/13/2020
1051	Grundy	65	US	1	41.28569601	-88.41905692	Illinois	0	05/14/2020
1054	Grundy	73	US	1	41.28569601	-88.41905692	Illinois	0	05/15/2020
