	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
152	Illinois	US	03/22/2020	41.13746989	-87.86205334	2	0	0	Kankakee
1472	Illinois	US	03/23/2020	41.13746989	-87.86205334	3	0	0	Kankakee
1472	Illinois	US	03/24/2020	41.13746989	-87.86205334	4	0	0	Kankakee
1472	Illinois	US	03/25/2020	41.13746989	-87.86205334	6	0	0	Kankakee
1471	Illinois	US	03/26/2020	41.13746989	-87.86205334	6	0	0	Kankakee
1471	Illinois	US	03/27/2020	41.13746989	-87.86205334	17	0	0	Kankakee
1471	Illinois	US	03/28/2020	41.13746989	-87.86205334	27	0	0	Kankakee
1471	Illinois	US	03/29/2020	41.13746989	-87.86205334	33	0	0	Kankakee
1471	Illinois	US	03/30/2020	41.13746989	-87.86205334	33	0	0	Kankakee
990	Illinois	US	03/31/2020	41.13746989	-87.86205334	42	0	0	Kankakee
1017	Illinois	US	04/01/2020	41.13746989	-87.86205334	51	0	0	Kankakee
1056	Illinois	US	04/02/2020	41.13746989	-87.86205334	55	0	0	Kankakee
1075	Illinois	US	04/03/2020	41.13746989	-87.86205334	58	2	0	Kankakee
1101	Illinois	US	04/04/2020	41.13746989	-87.86205334	68	3	0	Kankakee
1141	Illinois	US	04/05/2020	41.13746989	-87.86205334	76	4	0	Kankakee
1156	Illinois	US	04/06/2020	41.13746989	-87.86205334	85	4	0	Kankakee
1181	Illinois	US	04/07/2020	41.13746989	-87.86205334	85	4	0	Kankakee
1196	Illinois	US	04/08/2020	41.13746989	-87.86205334	145	5	0	Kankakee
1209	Illinois	US	04/09/2020	41.13746989	-87.86205334	145	5	0	Kankakee
1216	Illinois	US	04/10/2020	41.13746989	-87.86205334	167	7	0	Kankakee
1229	Illinois	US	04/11/2020	41.13746989	-87.86205334	185	9	0	Kankakee
1237	Illinois	US	04/12/2020	41.13746989	-87.86205334	204	9	0	Kankakee
1247	Illinois	US	04/13/2020	41.13746989	-87.86205334	210	9	0	Kankakee
1253	Illinois	US	04/14/2020	41.13746989	-87.86205334	220	10	0	Kankakee
