	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1534	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/22/2020
1705	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/23/2020
1705	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/24/2020
1705	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	03/25/2020
1704	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	03/26/2020
1704	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/27/2020
1704	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/28/2020
1704	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/29/2020
1704	Logan	0	US	0	40.12581572	-89.36638784	Illinois	0	03/30/2020
1223	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/02/2020
1245	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/03/2020
1275	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/04/2020
1317	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/05/2020
1337	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/06/2020
1367	Logan	1	US	0	40.12581572	-89.36638784	Illinois	0	04/07/2020
1382	Logan	3	US	0	40.12581572	-89.36638784	Illinois	0	04/08/2020
1398	Logan	3	US	0	40.12581572	-89.36638784	Illinois	0	04/09/2020
1405	Logan	2	US	0	40.12581572	-89.36638784	Illinois	0	04/10/2020
1420	Logan	3	US	0	40.12581572	-89.36638784	Illinois	0	04/11/2020
1432	Logan	3	US	0	40.12581572	-89.36638784	Illinois	0	04/12/2020
1442	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/13/2020
1448	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/14/2020
1456	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/15/2020
1461	Logan	5	US	0	40.12581572	-89.36638784	Illinois	0	04/16/2020
1460	Logan	5	US	0	40.12581572	-89.36638784	Illinois	0	04/17/2020
1466	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/18/2020
1476	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/19/2020
1480	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/20/2020
1487	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/21/2020
1492	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/22/2020
1502	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/23/2020
1504	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/24/2020
1506	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/25/2020
1512	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/26/2020
1514	Logan	4	US	0	40.12581572	-89.36638784	Illinois	0	04/27/2020
1519	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	04/28/2020
1522	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	04/29/2020
1528	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	04/30/2020
1536	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/01/2020
1540	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/02/2020
1542	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/03/2020
1544	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/04/2020
1550	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/05/2020
1553	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/06/2020
1557	Logan	7	US	0	40.12581572	-89.36638784	Illinois	0	05/07/2020
1562	Logan	9	US	0	40.12581572	-89.36638784	Illinois	0	05/08/2020
1563	Logan	9	US	0	40.12581572	-89.36638784	Illinois	0	05/09/2020
1564	Logan	9	US	0	40.12581572	-89.36638784	Illinois	0	05/10/2020
1564	Logan	9	US	0	40.12581572	-89.36638784	Illinois	0	05/11/2020
1566	Logan	9	US	0	40.12581572	-89.36638784	Illinois	0	05/12/2020
1566	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	05/13/2020
1567	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/14/2020
1571	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/15/2020
1573	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/16/2020
1574	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/17/2020
1575	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/18/2020
1577	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/19/2020
1582	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/20/2020
1583	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/21/2020
1588	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/22/2020
1590	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/23/2020
1593	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/24/2020
1593	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/25/2020
1594	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/26/2020
1596	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/27/2020
1597	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/28/2020
1600	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/29/2020
1602	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/30/2020
1603	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	05/31/2020
1605	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/01/2020
1609	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/02/2020
1610	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/03/2020
1611	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/04/2020
1613	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/05/2020
1614	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/06/2020
1614	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/07/2020
1614	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/08/2020
1616	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/09/2020
1618	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/10/2020
1619	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/11/2020
1627	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/12/2020
1628	Logan	10	US	0	40.12581572	-89.36638784	Illinois	0	06/13/2020
1628	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/14/2020
1630	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/15/2020
1629	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/16/2020
1631	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/17/2020
1631	Logan	11	US	0	40.12581572	-89.36638784	Illinois	0	06/18/2020
1631	Logan	12	US	0	40.12581572	-89.36638784	Illinois	0	06/19/2020
1635	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/20/2020
1635	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/21/2020
1636	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/22/2020
1638	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/23/2020
1644	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/24/2020
1649	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/25/2020
1650	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/26/2020
1651	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/27/2020
1651	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/28/2020
1652	Logan	13	US	0	40.12581572	-89.36638784	Illinois	0	06/29/2020
1653	Logan	14	US	0	40.12581572	-89.36638784	Illinois	0	06/30/2020
1653	Logan	15	US	0	40.12581572	-89.36638784	Illinois	0	07/01/2020
1655	Logan	15	US	0	40.12581572	-89.36638784	Illinois	0	07/02/2020
1658	Logan	16	US	0	40.12581572	-89.36638784	Illinois	0	07/03/2020
1658	Logan	17	US	0	40.12581572	-89.36638784	Illinois	0	07/04/2020
1658	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/05/2020
1661	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/06/2020
1661	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/07/2020
1663	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/08/2020
1662	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/09/2020
1664	Logan	18	US	0	40.12581572	-89.36638784	Illinois	0	07/10/2020
1664	Logan	20	US	0	40.12581572	-89.36638784	Illinois	0	07/11/2020
1666	Logan	21	US	0	40.12581572	-89.36638784	Illinois	0	07/12/2020
1668	Logan	20	US	0	40.12581572	-89.36638784	Illinois	0	07/13/2020
1670	Logan	24	US	0	40.12581572	-89.36638784	Illinois	0	07/14/2020
1670	Logan	27	US	0	40.12581572	-89.36638784	Illinois	0	07/15/2020
1672	Logan	30	US	0	40.12581572	-89.36638784	Illinois	0	07/16/2020
1672	Logan	33	US	0	40.12581572	-89.36638784	Illinois	0	07/17/2020
1716	Logan	41	US	0	40.12581572	-89.36638784	Illinois	0	07/18/2020
1717	Logan	43	US	0	40.12581572	-89.36638784	Illinois	0	07/19/2020
1677	Logan	51	US	0	40.12581572	-89.36638784	Illinois	0	07/20/2020
1720	Logan	55	US	0	40.12581572	-89.36638784	Illinois	0	07/21/2020
1721	Logan	57	US	0	40.12581572	-89.36638784	Illinois	0	07/22/2020
1722	Logan	59	US	0	40.12581572	-89.36638784	Illinois	0	07/23/2020
1721	Logan	64	US	0	40.12581572	-89.36638784	Illinois	0	07/24/2020
1722	Logan	65	US	0	40.12581572	-89.36638784	Illinois	0	07/25/2020
1723	Logan	65	US	0	40.12581572	-89.36638784	Illinois	0	07/26/2020
1723	Logan	65	US	0	40.12581572	-89.36638784	Illinois	0	07/27/2020
1723	Logan	67	US	0	40.12581572	-89.36638784	Illinois	0	07/28/2020
1724	Logan	70	US	0	40.12581572	-89.36638784	Illinois	0	07/29/2020
1724	Logan	74	US	0	40.12581572	-89.36638784	Illinois	0	07/30/2020
1725	Logan	79	US	0	40.12581572	-89.36638784	Illinois	0	07/31/2020
1725	Logan	85	US	0	40.12581572	-89.36638784	Illinois	0	08/01/2020
1725	Logan	85	US	0	40.12581572	-89.36638784	Illinois	0	08/02/2020
1725	Logan	86	US	0	40.12581572	-89.36638784	Illinois	0	08/03/2020
1725	Logan	87	US	0	40.12581572	-89.36638784	Illinois	0	08/04/2020
1727	Logan	90	US	0	40.12581572	-89.36638784	Illinois	0	08/05/2020
1727	Logan	90	US	0	40.12581572	-89.36638784	Illinois	0	08/06/2020
1727	Logan	106	US	0	40.12581572	-89.36638784	Illinois	0	08/07/2020
1727	Logan	111	US	0	40.12581572	-89.36638784	Illinois	0	08/08/2020
1727	Logan	112	US	0	40.12581572	-89.36638784	Illinois	0	08/09/2020
1727	Logan	122	US	0	40.12581572	-89.36638784	Illinois	0	08/10/2020
1340	Logan	157	US	1	40.12581572	-89.36638784	Illinois	0	08/11/2020
1294	Logan	166	US	1	40.12581572	-89.36638784	Illinois	0	08/12/2020
1295	Logan	179	US	1	40.12581572	-89.36638784	Illinois	0	08/13/2020
1295	Logan	187	US	1	40.12581572	-89.36638784	Illinois	0	08/14/2020
1295	Logan	190	US	1	40.12581572	-89.36638784	Illinois	0	08/15/2020
1295	Logan	196	US	1	40.12581572	-89.36638784	Illinois	0	08/16/2020
1295	Logan	201	US	1	40.12581572	-89.36638784	Illinois	0	08/17/2020
1295	Logan	204	US	1	40.12581572	-89.36638784	Illinois	0	08/18/2020
1295	Logan	208	US	1	40.12581572	-89.36638784	Illinois	0	08/19/2020
1295	Logan	211	US	1	40.12581572	-89.36638784	Illinois	0	08/20/2020
1295	Logan	222	US	1	40.12581572	-89.36638784	Illinois	0	08/21/2020
1296	Logan	223	US	1	40.12581572	-89.36638784	Illinois	0	08/22/2020
1296	Logan	228	US	1	40.12581572	-89.36638784	Illinois	0	08/23/2020
1296	Logan	228	US	1	40.12581572	-89.36638784	Illinois	0	08/24/2020
1296	Logan	237	US	1	40.12581572	-89.36638784	Illinois	0	08/25/2020
1296	Logan	245	US	1	40.12581572	-89.36638784	Illinois	0	08/26/2020
1296	Logan	247	US	1	40.12581572	-89.36638784	Illinois	0	08/27/2020
1296	Logan	249	US	1	40.12581572	-89.36638784	Illinois	0	08/28/2020
1296	Logan	259	US	1	40.12581572	-89.36638784	Illinois	0	08/29/2020
1296	Logan	260	US	1	40.12581572	-89.36638784	Illinois	0	08/30/2020
1296	Logan	263	US	1	40.12581572	-89.36638784	Illinois	0	08/31/2020
1296	Logan	265	US	1	40.12581572	-89.36638784	Illinois	0	09/01/2020
1296	Logan	276	US	1	40.12581572	-89.36638784	Illinois	0	09/02/2020
1296	Logan	287	US	1	40.12581572	-89.36638784	Illinois	0	09/03/2020
1296	Logan	306	US	1	40.12581572	-89.36638784	Illinois	0	09/04/2020
1296	Logan	310	US	1	40.12581572	-89.36638784	Illinois	0	09/05/2020
1296	Logan	318	US	1	40.12581572	-89.36638784	Illinois	0	09/06/2020
1296	Logan	321	US	1	40.12581572	-89.36638784	Illinois	0	09/07/2020
1296	Logan	323	US	1	40.12581572	-89.36638784	Illinois	0	09/08/2020
1296	Logan	346	US	1	40.12581572	-89.36638784	Illinois	0	09/09/2020
1296	Logan	353	US	1	40.12581572	-89.36638784	Illinois	0	09/10/2020
1296	Logan	378	US	1	40.12581572	-89.36638784	Illinois	0	09/11/2020
1296	Logan	380	US	1	40.12581572	-89.36638784	Illinois	0	09/12/2020
1296	Logan	386	US	1	40.12581572	-89.36638784	Illinois	0	09/13/2020
1296	Logan	390	US	1	40.12581572	-89.36638784	Illinois	0	09/14/2020
1296	Logan	400	US	1	40.12581572	-89.36638784	Illinois	0	09/15/2020
