	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1551	Illinois	US	03/22/2020	39.62265059	-90.8877017	0	0	0	Pike
2270	Illinois	US	03/23/2020	39.62265059	-90.8877017	0	0	0	Pike
2270	Illinois	US	03/24/2020	39.62265059	-90.8877017	0	0	0	Pike
2270	Illinois	US	03/25/2020	39.62265059	-90.8877017	0	0	0	Pike
2269	Illinois	US	03/26/2020	39.62265059	-90.8877017	0	0	0	Pike
2269	Illinois	US	03/27/2020	39.62265059	-90.8877017	0	0	0	Pike
2269	Illinois	US	03/28/2020	39.62265059	-90.8877017	0	0	0	Pike
2269	Illinois	US	03/29/2020	39.62265059	-90.8877017	0	0	0	Pike
2269	Illinois	US	03/30/2020	39.62265059	-90.8877017	0	0	0	Pike
1717	Illinois	US	04/04/2020	39.62265059	-90.8877017	1	0	0	Pike
1776	Illinois	US	04/05/2020	39.62265059	-90.8877017	1	0	0	Pike
1805	Illinois	US	04/06/2020	39.62265059	-90.8877017	1	0	0	Pike
1843	Illinois	US	04/07/2020	39.62265059	-90.8877017	1	0	0	Pike
1858	Illinois	US	04/08/2020	39.62265059	-90.8877017	1	0	0	Pike
1878	Illinois	US	04/09/2020	39.62265059	-90.8877017	1	0	0	Pike
1893	Illinois	US	04/10/2020	39.62265059	-90.8877017	1	0	0	Pike
1915	Illinois	US	04/11/2020	39.62265059	-90.8877017	1	0	0	Pike
1927	Illinois	US	04/12/2020	39.62265059	-90.8877017	1	0	0	Pike
1941	Illinois	US	04/13/2020	39.62265059	-90.8877017	1	0	0	Pike
1949	Illinois	US	04/14/2020	39.62265059	-90.8877017	1	0	0	Pike
1959	Illinois	US	04/15/2020	39.62265059	-90.8877017	1	0	0	Pike
1968	Illinois	US	04/16/2020	39.62265059	-90.8877017	1	0	0	Pike
1970	Illinois	US	04/17/2020	39.62265059	-90.8877017	1	0	0	Pike
1976	Illinois	US	04/18/2020	39.62265059	-90.8877017	1	0	0	Pike
1988	Illinois	US	04/19/2020	39.62265059	-90.8877017	1	0	0	Pike
1995	Illinois	US	04/20/2020	39.62265059	-90.8877017	1	0	0	Pike
2004	Illinois	US	04/21/2020	39.62265059	-90.8877017	1	0	0	Pike
2011	Illinois	US	04/22/2020	39.62265059	-90.8877017	1	0	0	Pike
2024	Illinois	US	04/23/2020	39.62265059	-90.8877017	1	0	0	Pike
2029	Illinois	US	04/24/2020	39.62265059	-90.8877017	1	0	0	Pike
2034	Illinois	US	04/25/2020	39.62265059	-90.8877017	1	0	0	Pike
2040	Illinois	US	04/26/2020	39.62265059	-90.8877017	1	0	0	Pike
2043	Illinois	US	04/27/2020	39.62265059	-90.8877017	1	0	0	Pike
2051	Illinois	US	04/28/2020	39.62265059	-90.8877017	1	0	0	Pike
2054	Illinois	US	04/29/2020	39.62265059	-90.8877017	1	0	0	Pike
2060	Illinois	US	04/30/2020	39.62265059	-90.8877017	1	0	0	Pike
2069	Illinois	US	05/01/2020	39.62265059	-90.8877017	1	0	0	Pike
2073	Illinois	US	05/02/2020	39.62265059	-90.8877017	1	0	0	Pike
2076	Illinois	US	05/03/2020	39.62265059	-90.8877017	1	0	0	Pike
2078	Illinois	US	05/04/2020	39.62265059	-90.8877017	1	0	0	Pike
2084	Illinois	US	05/05/2020	39.62265059	-90.8877017	1	0	0	Pike
2089	Illinois	US	05/06/2020	39.62265059	-90.8877017	1	0	0	Pike
2093	Illinois	US	05/07/2020	39.62265059	-90.8877017	1	0	0	Pike
2099	Illinois	US	05/08/2020	39.62265059	-90.8877017	1	0	0	Pike
2100	Illinois	US	05/09/2020	39.62265059	-90.8877017	1	0	0	Pike
2102	Illinois	US	05/10/2020	39.62265059	-90.8877017	1	0	0	Pike
2102	Illinois	US	05/11/2020	39.62265059	-90.8877017	1	0	0	Pike
2105	Illinois	US	05/12/2020	39.62265059	-90.8877017	1	0	0	Pike
2105	Illinois	US	05/13/2020	39.62265059	-90.8877017	1	0	0	Pike
2106	Illinois	US	05/14/2020	39.62265059	-90.8877017	1	0	0	Pike
2110	Illinois	US	05/15/2020	39.62265059	-90.8877017	1	0	0	Pike
2114	Illinois	US	05/16/2020	39.62265059	-90.8877017	1	0	0	Pike
2116	Illinois	US	05/17/2020	39.62265059	-90.8877017	1	0	0	Pike
2118	Illinois	US	05/18/2020	39.62265059	-90.8877017	1	0	0	Pike
2120	Illinois	US	05/19/2020	39.62265059	-90.8877017	1	0	0	Pike
2126	Illinois	US	05/20/2020	39.62265059	-90.8877017	1	0	0	Pike
2127	Illinois	US	05/21/2020	39.62265059	-90.8877017	1	0	0	Pike
2131	Illinois	US	05/22/2020	39.62265059	-90.8877017	1	0	0	Pike
2133	Illinois	US	05/23/2020	39.62265059	-90.8877017	1	0	0	Pike
2136	Illinois	US	05/24/2020	39.62265059	-90.8877017	1	0	0	Pike
2136	Illinois	US	05/25/2020	39.62265059	-90.8877017	1	0	0	Pike
2137	Illinois	US	05/26/2020	39.62265059	-90.8877017	1	0	0	Pike
2139	Illinois	US	05/27/2020	39.62265059	-90.8877017	1	0	0	Pike
2141	Illinois	US	05/28/2020	39.62265059	-90.8877017	1	0	0	Pike
2144	Illinois	US	05/29/2020	39.62265059	-90.8877017	1	0	0	Pike
2146	Illinois	US	05/30/2020	39.62265059	-90.8877017	1	0	0	Pike
2147	Illinois	US	05/31/2020	39.62265059	-90.8877017	1	0	0	Pike
2149	Illinois	US	06/01/2020	39.62265059	-90.8877017	1	0	0	Pike
2153	Illinois	US	06/02/2020	39.62265059	-90.8877017	1	0	0	Pike
2155	Illinois	US	06/03/2020	39.62265059	-90.8877017	1	0	0	Pike
2156	Illinois	US	06/04/2020	39.62265059	-90.8877017	1	0	0	Pike
2158	Illinois	US	06/05/2020	39.62265059	-90.8877017	1	0	0	Pike
2159	Illinois	US	06/06/2020	39.62265059	-90.8877017	1	0	0	Pike
2159	Illinois	US	06/07/2020	39.62265059	-90.8877017	1	0	0	Pike
2159	Illinois	US	06/08/2020	39.62265059	-90.8877017	1	0	0	Pike
2160	Illinois	US	06/09/2020	39.62265059	-90.8877017	1	0	0	Pike
2162	Illinois	US	06/10/2020	39.62265059	-90.8877017	1	0	0	Pike
2163	Illinois	US	06/11/2020	39.62265059	-90.8877017	1	0	0	Pike
2174	Illinois	US	06/12/2020	39.62265059	-90.8877017	2	0	0	Pike
2176	Illinois	US	06/13/2020	39.62265059	-90.8877017	2	0	0	Pike
2176	Illinois	US	06/14/2020	39.62265059	-90.8877017	2	0	0	Pike
2179	Illinois	US	06/15/2020	39.62265059	-90.8877017	2	0	0	Pike
2177	Illinois	US	06/16/2020	39.62265059	-90.8877017	2	0	0	Pike
2179	Illinois	US	06/17/2020	39.62265059	-90.8877017	2	0	0	Pike
2179	Illinois	US	06/18/2020	39.62265059	-90.8877017	2	0	0	Pike
2179	Illinois	US	06/19/2020	39.62265059	-90.8877017	2	0	0	Pike
2183	Illinois	US	06/20/2020	39.62265059	-90.8877017	2	0	0	Pike
2183	Illinois	US	06/21/2020	39.62265059	-90.8877017	2	0	0	Pike
2185	Illinois	US	06/22/2020	39.62265059	-90.8877017	2	0	0	Pike
2189	Illinois	US	06/23/2020	39.62265059	-90.8877017	2	0	0	Pike
2199	Illinois	US	06/24/2020	39.62265059	-90.8877017	2	0	0	Pike
2204	Illinois	US	06/25/2020	39.62265059	-90.8877017	2	0	0	Pike
2205	Illinois	US	06/26/2020	39.62265059	-90.8877017	2	0	0	Pike
2206	Illinois	US	06/27/2020	39.62265059	-90.8877017	2	0	0	Pike
2206	Illinois	US	06/28/2020	39.62265059	-90.8877017	2	0	0	Pike
2207	Illinois	US	06/29/2020	39.62265059	-90.8877017	2	0	0	Pike
2209	Illinois	US	06/30/2020	39.62265059	-90.8877017	2	0	0	Pike
2209	Illinois	US	07/01/2020	39.62265059	-90.8877017	2	0	0	Pike
2211	Illinois	US	07/02/2020	39.62265059	-90.8877017	2	0	0	Pike
2214	Illinois	US	07/03/2020	39.62265059	-90.8877017	3	0	0	Pike
2215	Illinois	US	07/04/2020	39.62265059	-90.8877017	3	0	0	Pike
2215	Illinois	US	07/05/2020	39.62265059	-90.8877017	3	0	0	Pike
2218	Illinois	US	07/06/2020	39.62265059	-90.8877017	3	0	0	Pike
2218	Illinois	US	07/07/2020	39.62265059	-90.8877017	4	0	0	Pike
2221	Illinois	US	07/08/2020	39.62265059	-90.8877017	5	0	0	Pike
2220	Illinois	US	07/09/2020	39.62265059	-90.8877017	5	0	0	Pike
2223	Illinois	US	07/10/2020	39.62265059	-90.8877017	6	0	0	Pike
2224	Illinois	US	07/11/2020	39.62265059	-90.8877017	6	0	0	Pike
2226	Illinois	US	07/12/2020	39.62265059	-90.8877017	7	0	0	Pike
2228	Illinois	US	07/13/2020	39.62265059	-90.8877017	8	0	0	Pike
2231	Illinois	US	07/14/2020	39.62265059	-90.8877017	8	0	0	Pike
2231	Illinois	US	07/15/2020	39.62265059	-90.8877017	8	0	0	Pike
2233	Illinois	US	07/16/2020	39.62265059	-90.8877017	9	0	0	Pike
2233	Illinois	US	07/17/2020	39.62265059	-90.8877017	9	0	0	Pike
2291	Illinois	US	07/18/2020	39.62265059	-90.8877017	9	0	0	Pike
2292	Illinois	US	07/19/2020	39.62265059	-90.8877017	9	0	0	Pike
2237	Illinois	US	07/20/2020	39.62265059	-90.8877017	9	0	0	Pike
2296	Illinois	US	07/21/2020	39.62265059	-90.8877017	9	0	0	Pike
2297	Illinois	US	07/22/2020	39.62265059	-90.8877017	9	0	0	Pike
2297	Illinois	US	07/23/2020	39.62265059	-90.8877017	9	0	0	Pike
2296	Illinois	US	07/24/2020	39.62265059	-90.8877017	9	0	0	Pike
2297	Illinois	US	07/25/2020	39.62265059	-90.8877017	10	0	0	Pike
2298	Illinois	US	07/26/2020	39.62265059	-90.8877017	11	0	0	Pike
2298	Illinois	US	07/27/2020	39.62265059	-90.8877017	11	0	0	Pike
2298	Illinois	US	07/28/2020	39.62265059	-90.8877017	11	0	0	Pike
2301	Illinois	US	07/29/2020	39.62265059	-90.8877017	11	0	0	Pike
2301	Illinois	US	07/30/2020	39.62265059	-90.8877017	12	0	0	Pike
2303	Illinois	US	07/31/2020	39.62265059	-90.8877017	13	0	0	Pike
2303	Illinois	US	08/01/2020	39.62265059	-90.8877017	13	0	0	Pike
2303	Illinois	US	08/02/2020	39.62265059	-90.8877017	13	0	0	Pike
2303	Illinois	US	08/03/2020	39.62265059	-90.8877017	13	0	0	Pike
2303	Illinois	US	08/04/2020	39.62265059	-90.8877017	13	0	0	Pike
2307	Illinois	US	08/05/2020	39.62265059	-90.8877017	17	0	0	Pike
2307	Illinois	US	08/06/2020	39.62265059	-90.8877017	18	0	0	Pike
2307	Illinois	US	08/07/2020	39.62265059	-90.8877017	20	0	0	Pike
2307	Illinois	US	08/08/2020	39.62265059	-90.8877017	21	0	0	Pike
2307	Illinois	US	08/09/2020	39.62265059	-90.8877017	21	0	0	Pike
2307	Illinois	US	08/10/2020	39.62265059	-90.8877017	23	0	0	Pike
1361	Illinois	US	08/11/2020	39.62265059	-90.8877017	24	0	0	Pike
1315	Illinois	US	08/12/2020	39.62265059	-90.8877017	26	0	0	Pike
1316	Illinois	US	08/13/2020	39.62265059	-90.8877017	30	0	0	Pike
1316	Illinois	US	08/14/2020	39.62265059	-90.8877017	32	0	0	Pike
1316	Illinois	US	08/15/2020	39.62265059	-90.8877017	33	0	0	Pike
1316	Illinois	US	08/16/2020	39.62265059	-90.8877017	34	0	0	Pike
1316	Illinois	US	08/17/2020	39.62265059	-90.8877017	35	0	0	Pike
1316	Illinois	US	08/18/2020	39.62265059	-90.8877017	38	0	0	Pike
1316	Illinois	US	08/19/2020	39.62265059	-90.8877017	39	0	0	Pike
1316	Illinois	US	08/20/2020	39.62265059	-90.8877017	41	0	0	Pike
1316	Illinois	US	08/21/2020	39.62265059	-90.8877017	47	0	0	Pike
1317	Illinois	US	08/22/2020	39.62265059	-90.8877017	48	0	0	Pike
1317	Illinois	US	08/23/2020	39.62265059	-90.8877017	52	0	0	Pike
1317	Illinois	US	08/24/2020	39.62265059	-90.8877017	57	0	0	Pike
1317	Illinois	US	08/25/2020	39.62265059	-90.8877017	63	0	0	Pike
1317	Illinois	US	08/26/2020	39.62265059	-90.8877017	64	0	0	Pike
1317	Illinois	US	08/27/2020	39.62265059	-90.8877017	66	0	0	Pike
1317	Illinois	US	08/28/2020	39.62265059	-90.8877017	68	0	0	Pike
1317	Illinois	US	08/29/2020	39.62265059	-90.8877017	68	0	0	Pike
1317	Illinois	US	08/30/2020	39.62265059	-90.8877017	71	0	0	Pike
1317	Illinois	US	08/31/2020	39.62265059	-90.8877017	72	0	0	Pike
1317	Illinois	US	09/01/2020	39.62265059	-90.8877017	73	0	0	Pike
1317	Illinois	US	09/02/2020	39.62265059	-90.8877017	75	0	0	Pike
1317	Illinois	US	09/03/2020	39.62265059	-90.8877017	75	0	0	Pike
1317	Illinois	US	09/04/2020	39.62265059	-90.8877017	78	0	0	Pike
1317	Illinois	US	09/05/2020	39.62265059	-90.8877017	79	0	0	Pike
1317	Illinois	US	09/06/2020	39.62265059	-90.8877017	80	1	0	Pike
1317	Illinois	US	09/07/2020	39.62265059	-90.8877017	80	1	0	Pike
1317	Illinois	US	09/08/2020	39.62265059	-90.8877017	82	1	0	Pike
1317	Illinois	US	09/09/2020	39.62265059	-90.8877017	85	1	0	Pike
1317	Illinois	US	09/10/2020	39.62265059	-90.8877017	93	1	0	Pike
1317	Illinois	US	09/11/2020	39.62265059	-90.8877017	95	1	0	Pike
1317	Illinois	US	09/12/2020	39.62265059	-90.8877017	99	1	0	Pike
1317	Illinois	US	09/13/2020	39.62265059	-90.8877017	99	1	0	Pike
1317	Illinois	US	09/14/2020	39.62265059	-90.8877017	101	1	0	Pike
1317	Illinois	US	09/15/2020	39.62265059	-90.8877017	101	1	0	Pike
1317	Illinois	US	09/16/2020	39.62265059	-90.8877017	103	1	0	Pike
1317	Illinois	US	09/17/2020	39.62265059	-90.8877017	104	1	0	Pike
1317	Illinois	US	09/18/2020	39.62265059	-90.8877017	104	1	0	Pike
1317	Illinois	US	09/19/2020	39.62265059	-90.8877017	108	1	0	Pike
1317	Illinois	US	09/20/2020	39.62265059	-90.8877017	108	1	0	Pike
1318	Illinois	US	09/21/2020	39.62265059	-90.8877017	110	1	0	Pike
1318	Illinois	US	09/22/2020	39.62265059	-90.8877017	110	1	0	Pike
1318	Illinois	US	09/23/2020	39.62265059	-90.8877017	113	1	0	Pike
1318	Illinois	US	09/24/2020	39.62265059	-90.8877017	121	1	0	Pike
1318	Illinois	US	09/25/2020	39.62265059	-90.8877017	123	1	0	Pike
1318	Illinois	US	09/26/2020	39.62265059	-90.8877017	127	1	0	Pike
1318	Illinois	US	09/27/2020	39.62265059	-90.8877017	128	1	0	Pike
1318	Illinois	US	09/28/2020	39.62265059	-90.8877017	134	1	0	Pike
1318	Illinois	US	09/29/2020	39.62265059	-90.8877017	139	1	0	Pike
1318	Illinois	US	09/30/2020	39.62265059	-90.8877017	139	1	0	Pike
1318	Illinois	US	10/01/2020	39.62265059	-90.8877017	144	1	0	Pike
1318	Illinois	US	10/02/2020	39.62265059	-90.8877017	147	1	0	Pike
1318	Illinois	US	10/03/2020	39.62265059	-90.8877017	149	1	0	Pike
1318	Illinois	US	10/04/2020	39.62265059	-90.8877017	150	1	0	Pike
1318	Illinois	US	10/05/2020	39.62265059	-90.8877017	153	1	0	Pike
1318	Illinois	US	10/06/2020	39.62265059	-90.8877017	156	2	0	Pike
1318	Illinois	US	10/07/2020	39.62265059	-90.8877017	158	2	0	Pike
1318	Illinois	US	10/08/2020	39.62265059	-90.8877017	160	2	0	Pike
1318	Illinois	US	10/09/2020	39.62265059	-90.8877017	163	2	0	Pike
1318	Illinois	US	10/10/2020	39.62265059	-90.8877017	179	2	0	Pike
1318	Illinois	US	10/11/2020	39.62265059	-90.8877017	188	2	0	Pike
1319	Illinois	US	10/12/2020	39.62265059	-90.8877017	197	2	0	Pike
1319	Illinois	US	10/13/2020	39.62265059	-90.8877017	201	2	0	Pike
1319	Illinois	US	10/14/2020	39.62265059	-90.8877017	207	2	0	Pike
1319	Illinois	US	10/15/2020	39.62265059	-90.8877017	209	2	0	Pike
1320	Illinois	US	10/16/2020	39.62265059	-90.8877017	230	2	0	Pike
1320	Illinois	US	10/17/2020	39.62265059	-90.8877017	237	2	0	Pike
1320	Illinois	US	10/18/2020	39.62265059	-90.8877017	249	4	0	Pike
1321	Illinois	US	10/19/2020	39.62265059	-90.8877017	260	4	0	Pike
1321	Illinois	US	10/20/2020	39.62265059	-90.8877017	267	4	0	Pike
1321	Illinois	US	10/21/2020	39.62265059	-90.8877017	281	4	0	Pike
1321	Illinois	US	10/22/2020	39.62265059	-90.8877017	304	4	0	Pike
1321	Illinois	US	10/23/2020	39.62265059	-90.8877017	323	4	0	Pike
1321	Illinois	US	10/24/2020	39.62265059	-90.8877017	332	6	0	Pike
1321	Illinois	US	10/25/2020	39.62265059	-90.8877017	353	6	0	Pike
1321	Illinois	US	10/26/2020	39.62265059	-90.8877017	358	6	0	Pike
1321	Illinois	US	10/27/2020	39.62265059	-90.8877017	367	7	0	Pike
1322	Illinois	US	10/28/2020	39.62265059	-90.8877017	388	7.0	0	Pike
1322	Illinois	US	10/29/2020	39.62265059	-90.8877017	406	7	0	Pike
1322	Illinois	US	10/30/2020	39.62265059	-90.8877017	423	7	0	Pike
1322	Illinois	US	10/31/2020	39.62265059	-90.8877017	432	7	0	Pike
1322	Illinois	US	11/01/2020	39.62265059	-90.8877017	441	8	0	Pike
1322	Illinois	US	11/02/2020	39.62265059	-90.8877017	460	8	0	Pike
1323	Illinois	US	11/03/2020	39.62265059	-90.8877017	470	8	0	Pike
1323	Illinois	US	11/04/2020	39.62265059	-90.8877017	486	9	0	Pike
1323	Illinois	US	11/05/2020	39.62265059	-90.8877017	535	10	0	Pike
1323	Illinois	US	11/06/2020	39.62265059	-90.8877017	584	11	0	Pike
1323	Illinois	US	11/07/2020	39.62265059	-90.8877017	601	11	0	Pike
1323	Illinois	US	11/08/2020	39.62265059	-90.8877017	622	11	0	Pike
1323	Illinois	US	11/09/2020	39.62265059	-90.8877017	649	11	0.0	Pike
1323	Illinois	US	11/10/2020	39.62265059	-90.8877017	667	12	0.0	Pike
1323	Illinois	US	11/11/2020	39.62265059	-90.8877017	690	13	0.0	Pike
1335	Illinois	US	11/12/2020	39.62265059	-90.8877017	711	13	0	Pike
1335	Illinois	US	11/13/2020	39.62265059	-90.8877017	760	13	0	Pike
1335	Illinois	US	11/14/2020	39.62265059	-90.8877017	781	13	0	Pike
1335	Illinois	US	11/15/2020	39.62265059	-90.8877017	810	13	0	Pike
1335	Illinois	US	11/16/2020	39.62265059	-90.8877017	843	15	0	Pike
1335	Illinois	US	11/17/2020	39.62265059	-90.8877017	860	15	0	Pike
1335	Illinois	US	11/18/2020	39.62265059	-90.8877017	861	15	0	Pike
1335	Illinois	US	11/19/2020	39.62265059	-90.8877017	883	16	0	Pike
1335	Illinois	US	11/20/2020	39.62265059	-90.8877017	907	17	0	Pike
1335	Illinois	US	11/21/2020	39.62265059	-90.8877017	919	17	0	Pike
1335	Illinois	US	11/22/2020	39.62265059	-90.8877017	937	18	0	Pike
1335	Illinois	US	11/23/2020	39.62265059	-90.8877017	955	18	0	Pike
1336	Illinois	US	11/24/2020	39.62265059	-90.8877017	966	20	0	Pike
1336	Illinois	US	11/25/2020	39.62265059	-90.8877017	972	23	0	Pike
1336	Illinois	US	11/26/2020	39.62265059	-90.8877017	990	25	0	Pike
1336	Illinois	US	11/27/2020	39.62265059	-90.8877017	994	25	0	Pike
1336	Illinois	US	11/28/2020	39.62265059	-90.8877017	1006	25	0	Pike
1336	Illinois	US	11/29/2020	39.62265059	-90.8877017	1014	25	0	Pike
1336	Illinois	US	11/30/2020	39.62265059	-90.8877017	1021	25	0	Pike
1336	Illinois	US	12/01/2020	39.62265059	-90.8877017	1041	25	0	Pike
1336	Illinois	US	12/02/2020	39.62265059	-90.8877017	1051	27	0	Pike
1336	Illinois	US	12/03/2020	39.62265059	-90.8877017	1063	28	0	Pike
1336	Illinois	US	12/04/2020	39.62265059	-90.8877017	1076	28	0	Pike
1336	Illinois	US	12/05/2020	39.62265059	-90.8877017	1092	30	0	Pike
1336	Illinois	US	12/06/2020	39.62265059	-90.8877017	1099	30	0	Pike
1336	Illinois	US	12/07/2020	39.62265059	-90.8877017	1105	30	0	Pike
1336	Illinois	US	12/08/2020	39.62265059	-90.8877017	1121	31	0	Pike
1336	Illinois	US	12/09/2020	39.62265059	-90.8877017	1135	31	0	Pike
1336	Illinois	US	12/10/2020	39.62265059	-90.8877017	1143	32	0	Pike
1336	Illinois	US	12/11/2020	39.62265059	-90.8877017	1156	32	0	Pike
1336	Illinois	US	12/12/2020	39.62265059	-90.8877017	1177	32	0	Pike
1336	Illinois	US	12/13/2020	39.62265059	-90.8877017	1182	33	0	Pike
1336	Illinois	US	12/14/2020	39.62265059	-90.8877017	1193	33	0	Pike
1336	Illinois	US	12/15/2020	39.62265059	-90.8877017	1208	33	0	Pike
1336	Illinois	US	12/16/2020	39.62265059	-90.8877017	1218	33	0	Pike
1336	Illinois	US	12/17/2020	39.62265059	-90.8877017	1232	33	0	Pike
1336	Illinois	US	12/18/2020	39.62265059	-90.8877017	1242	33	0	Pike
1336	Illinois	US	12/19/2020	39.62265059	-90.8877017	1257	33	0	Pike
1336	Illinois	US	12/20/2020	39.62265059	-90.8877017	1271	33	0	Pike
1336	Illinois	US	12/21/2020	39.62265059	-90.8877017	1275	33	0	Pike
1336	Illinois	US	12/22/2020	39.62265059	-90.8877017	1285	33	0	Pike
1336	Illinois	US	12/23/2020	39.62265059	-90.8877017	1303	34	0	Pike
1336	Illinois	US	12/24/2020	39.62265059	-90.8877017	1317	34	0	Pike
1336	Illinois	US	12/25/2020	39.62265059	-90.8877017	1321	34	0	Pike
1336	Illinois	US	12/26/2020	39.62265059	-90.8877017	1322	34	0	Pike
1336	Illinois	US	12/27/2020	39.62265059	-90.8877017	1328	34	0	Pike
1336	Illinois	US	12/28/2020	39.62265059	-90.8877017	1329	35	0	Pike
1336	Illinois	US	12/29/2020	39.62265059	-90.8877017	1353	36	0	Pike
1336	Illinois	US	12/30/2020	39.62265059	-90.8877017	1362	36	0	Pike
1336	Illinois	US	12/31/2020	39.62265059	-90.8877017	1395	38	0	Pike
1336	Illinois	US	01/01/2021	39.62265059	-90.8877017	1395	38	0	Pike
