	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1561	Illinois	US	03/22/2020	41.09309773	-89.79745866	0	0	0	Stark
2686	Illinois	US	03/23/2020	41.09309773	-89.79745866	0	0	0	Stark
2686	Illinois	US	03/24/2020	41.09309773	-89.79745866	0	0	0	Stark
2686	Illinois	US	03/25/2020	41.09309773	-89.79745866	0	0	0	Stark
2685	Illinois	US	03/26/2020	41.09309773	-89.79745866	0	0	0	Stark
2685	Illinois	US	03/27/2020	41.09309773	-89.79745866	0	0	0	Stark
2685	Illinois	US	03/28/2020	41.09309773	-89.79745866	0	0	0	Stark
2685	Illinois	US	03/29/2020	41.09309773	-89.79745866	0	0	0	Stark
2685	Illinois	US	03/30/2020	41.09309773	-89.79745866	0	0	0	Stark
2185	Illinois	US	04/08/2020	41.09309773	-89.79745866	1	0	0	Stark
2209	Illinois	US	04/09/2020	41.09309773	-89.79745866	1	0	0	Stark
2232	Illinois	US	04/10/2020	41.09309773	-89.79745866	1	0	0	Stark
2257	Illinois	US	04/11/2020	41.09309773	-89.79745866	1	0	0	Stark
2275	Illinois	US	04/12/2020	41.09309773	-89.79745866	1	0	0	Stark
2289	Illinois	US	04/13/2020	41.09309773	-89.79745866	1	0	0	Stark
2298	Illinois	US	04/14/2020	41.09309773	-89.79745866	1	0	0	Stark
2310	Illinois	US	04/15/2020	41.09309773	-89.79745866	1	0	0	Stark
2323	Illinois	US	04/16/2020	41.09309773	-89.79745866	1	0	0	Stark
2326	Illinois	US	04/17/2020	41.09309773	-89.79745866	1	0	0	Stark
2333	Illinois	US	04/18/2020	41.09309773	-89.79745866	1	0	0	Stark
2348	Illinois	US	04/19/2020	41.09309773	-89.79745866	1	0	0	Stark
2356	Illinois	US	04/20/2020	41.09309773	-89.79745866	1	0	0	Stark
2365	Illinois	US	04/21/2020	41.09309773	-89.79745866	1	0	0	Stark
2372	Illinois	US	04/22/2020	41.09309773	-89.79745866	1	0	0	Stark
2388	Illinois	US	04/23/2020	41.09309773	-89.79745866	1	0	0	Stark
2394	Illinois	US	04/24/2020	41.09309773	-89.79745866	1	0	0	Stark
2399	Illinois	US	04/25/2020	41.09309773	-89.79745866	1	0	0	Stark
2407	Illinois	US	04/26/2020	41.09309773	-89.79745866	1	0	0	Stark
2414	Illinois	US	04/27/2020	41.09309773	-89.79745866	1	0	0	Stark
2423	Illinois	US	04/28/2020	41.09309773	-89.79745866	1	0	0	Stark
2427	Illinois	US	04/29/2020	41.09309773	-89.79745866	1	0	0	Stark
2433	Illinois	US	04/30/2020	41.09309773	-89.79745866	1	0	0	Stark
2444	Illinois	US	05/01/2020	41.09309773	-89.79745866	1	0	0	Stark
2447	Illinois	US	05/02/2020	41.09309773	-89.79745866	1	0	0	Stark
2451	Illinois	US	05/03/2020	41.09309773	-89.79745866	1	0	0	Stark
2454	Illinois	US	05/04/2020	41.09309773	-89.79745866	1	0	0	Stark
2461	Illinois	US	05/05/2020	41.09309773	-89.79745866	1	0	0	Stark
2466	Illinois	US	05/06/2020	41.09309773	-89.79745866	1	0	0	Stark
2471	Illinois	US	05/07/2020	41.09309773	-89.79745866	1	0	0	Stark
2478	Illinois	US	05/08/2020	41.09309773	-89.79745866	1	0	0	Stark
2479	Illinois	US	05/09/2020	41.09309773	-89.79745866	1	0	0	Stark
2481	Illinois	US	05/10/2020	41.09309773	-89.79745866	1	0	0	Stark
2481	Illinois	US	05/11/2020	41.09309773	-89.79745866	1	0	0	Stark
2484	Illinois	US	05/12/2020	41.09309773	-89.79745866	1	0	0	Stark
2485	Illinois	US	05/13/2020	41.09309773	-89.79745866	1	0	0	Stark
2486	Illinois	US	05/14/2020	41.09309773	-89.79745866	1	0	0	Stark
2490	Illinois	US	05/15/2020	41.09309773	-89.79745866	1	0	0	Stark
2495	Illinois	US	05/16/2020	41.09309773	-89.79745866	1	0	0	Stark
2497	Illinois	US	05/17/2020	41.09309773	-89.79745866	1	0	0	Stark
2499	Illinois	US	05/18/2020	41.09309773	-89.79745866	2	0	0	Stark
2503	Illinois	US	05/19/2020	41.09309773	-89.79745866	2	0	0	Stark
2509	Illinois	US	05/20/2020	41.09309773	-89.79745866	2	0	0	Stark
2510	Illinois	US	05/21/2020	41.09309773	-89.79745866	2	0	0	Stark
2516	Illinois	US	05/22/2020	41.09309773	-89.79745866	3	0	0	Stark
2518	Illinois	US	05/23/2020	41.09309773	-89.79745866	3	0	0	Stark
2521	Illinois	US	05/24/2020	41.09309773	-89.79745866	3	0	0	Stark
2522	Illinois	US	05/25/2020	41.09309773	-89.79745866	3	0	0	Stark
2523	Illinois	US	05/26/2020	41.09309773	-89.79745866	3	0	0	Stark
2526	Illinois	US	05/27/2020	41.09309773	-89.79745866	3	0	0	Stark
2528	Illinois	US	05/28/2020	41.09309773	-89.79745866	3	0	0	Stark
2531	Illinois	US	05/29/2020	41.09309773	-89.79745866	3	0	0	Stark
2533	Illinois	US	05/30/2020	41.09309773	-89.79745866	3	0	0	Stark
2534	Illinois	US	05/31/2020	41.09309773	-89.79745866	3	0	0	Stark
2536	Illinois	US	06/01/2020	41.09309773	-89.79745866	3	0	0	Stark
2541	Illinois	US	06/02/2020	41.09309773	-89.79745866	3	0	0	Stark
2543	Illinois	US	06/03/2020	41.09309773	-89.79745866	3	0	0	Stark
2544	Illinois	US	06/04/2020	41.09309773	-89.79745866	3	0	0	Stark
2547	Illinois	US	06/05/2020	41.09309773	-89.79745866	3	0	0	Stark
2549	Illinois	US	06/06/2020	41.09309773	-89.79745866	3	0	0	Stark
2549	Illinois	US	06/07/2020	41.09309773	-89.79745866	3	0	0	Stark
2549	Illinois	US	06/08/2020	41.09309773	-89.79745866	3	0	0	Stark
2551	Illinois	US	06/09/2020	41.09309773	-89.79745866	3	0	0	Stark
2553	Illinois	US	06/10/2020	41.09309773	-89.79745866	3	0	0	Stark
2555	Illinois	US	06/11/2020	41.09309773	-89.79745866	3	0	0	Stark
2569	Illinois	US	06/12/2020	41.09309773	-89.79745866	3	0	0	Stark
2572	Illinois	US	06/13/2020	41.09309773	-89.79745866	3	0	0	Stark
2572	Illinois	US	06/14/2020	41.09309773	-89.79745866	3	0	0	Stark
2576	Illinois	US	06/15/2020	41.09309773	-89.79745866	3	0	0	Stark
2574	Illinois	US	06/16/2020	41.09309773	-89.79745866	3	0	0	Stark
2576	Illinois	US	06/17/2020	41.09309773	-89.79745866	3	0	0	Stark
2576	Illinois	US	06/18/2020	41.09309773	-89.79745866	3	0	0	Stark
2576	Illinois	US	06/19/2020	41.09309773	-89.79745866	3	0	0	Stark
2580	Illinois	US	06/20/2020	41.09309773	-89.79745866	3	0	0	Stark
2580	Illinois	US	06/21/2020	41.09309773	-89.79745866	3	0	0	Stark
2582	Illinois	US	06/22/2020	41.09309773	-89.79745866	3	0	0	Stark
2586	Illinois	US	06/23/2020	41.09309773	-89.79745866	3	0	0	Stark
2597	Illinois	US	06/24/2020	41.09309773	-89.79745866	3	0	0	Stark
2602	Illinois	US	06/25/2020	41.09309773	-89.79745866	3	0	0	Stark
2603	Illinois	US	06/26/2020	41.09309773	-89.79745866	3	0	0	Stark
2604	Illinois	US	06/27/2020	41.09309773	-89.79745866	3	0	0	Stark
2604	Illinois	US	06/28/2020	41.09309773	-89.79745866	3	0	0	Stark
2606	Illinois	US	06/29/2020	41.09309773	-89.79745866	3	0	0	Stark
2608	Illinois	US	06/30/2020	41.09309773	-89.79745866	3	0	0	Stark
2610	Illinois	US	07/01/2020	41.09309773	-89.79745866	3	0	0	Stark
2612	Illinois	US	07/02/2020	41.09309773	-89.79745866	3	0	0	Stark
2617	Illinois	US	07/03/2020	41.09309773	-89.79745866	4	0	0	Stark
2618	Illinois	US	07/04/2020	41.09309773	-89.79745866	4	0	0	Stark
2618	Illinois	US	07/05/2020	41.09309773	-89.79745866	4	0	0	Stark
2621	Illinois	US	07/06/2020	41.09309773	-89.79745866	4	0	0	Stark
2621	Illinois	US	07/07/2020	41.09309773	-89.79745866	6	0	0	Stark
2624	Illinois	US	07/08/2020	41.09309773	-89.79745866	6	0	0	Stark
2623	Illinois	US	07/09/2020	41.09309773	-89.79745866	6	0	0	Stark
2627	Illinois	US	07/10/2020	41.09309773	-89.79745866	7	0	0	Stark
2628	Illinois	US	07/11/2020	41.09309773	-89.79745866	6	0	0	Stark
2630	Illinois	US	07/12/2020	41.09309773	-89.79745866	6	0	0	Stark
2632	Illinois	US	07/13/2020	41.09309773	-89.79745866	6	0	0	Stark
2637	Illinois	US	07/14/2020	41.09309773	-89.79745866	6	0	0	Stark
2637	Illinois	US	07/15/2020	41.09309773	-89.79745866	6	0	0	Stark
2639	Illinois	US	07/16/2020	41.09309773	-89.79745866	6	0	0	Stark
2639	Illinois	US	07/17/2020	41.09309773	-89.79745866	6	0	0	Stark
2708	Illinois	US	07/18/2020	41.09309773	-89.79745866	7	0	0	Stark
2708	Illinois	US	07/19/2020	41.09309773	-89.79745866	7	0	0	Stark
2638	Illinois	US	07/20/2020	41.09309773	-89.79745866	6	0	0	Stark
2712	Illinois	US	07/21/2020	41.09309773	-89.79745866	6	0	0	Stark
2713	Illinois	US	07/22/2020	41.09309773	-89.79745866	7	0	0	Stark
2716	Illinois	US	07/23/2020	41.09309773	-89.79745866	6	0	0	Stark
2715	Illinois	US	07/24/2020	41.09309773	-89.79745866	6	0	0	Stark
2716	Illinois	US	07/25/2020	41.09309773	-89.79745866	6	0	0	Stark
2717	Illinois	US	07/26/2020	41.09309773	-89.79745866	6	0	0	Stark
2717	Illinois	US	07/27/2020	41.09309773	-89.79745866	6	0	0	Stark
