	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1579	Decatur	0	US	0	39.30712658	-85.50087166	Indiana	0	03/22/2020
750	Decatur	0	US	0	39.30712658	-85.50087166	Indiana	0	03/23/2020
750	Decatur	6	US	0	39.30712658	-85.50087166	Indiana	0	03/24/2020
750	Decatur	7	US	0	39.30712658	-85.50087166	Indiana	0	03/25/2020
750	Decatur	13	US	0	39.30712658	-85.50087166	Indiana	0	03/26/2020
750	Decatur	26	US	0	39.30712658	-85.50087166	Indiana	0	03/27/2020
750	Decatur	30	US	0	39.30712658	-85.50087166	Indiana	0	03/28/2020
750	Decatur	40	US	0	39.30712658	-85.50087166	Indiana	0	03/29/2020
750	Decatur	42	US	0	39.30712658	-85.50087166	Indiana	0	03/30/2020
527	Decatur	47	US	1	39.30712658	-85.50087166	Indiana	0	03/31/2020
544	Decatur	48	US	1	39.30712658	-85.50087166	Indiana	0	04/01/2020
564	Decatur	59	US	3	39.30712658	-85.50087166	Indiana	0	04/02/2020
573	Decatur	70	US	4	39.30712658	-85.50087166	Indiana	0	04/03/2020
587	Decatur	79	US	4	39.30712658	-85.50087166	Indiana	0	04/04/2020
604	Decatur	80	US	4	39.30712658	-85.50087166	Indiana	0	04/05/2020
614	Decatur	90	US	4	39.30712658	-85.50087166	Indiana	0	04/06/2020
625	Decatur	90	US	6	39.30712658	-85.50087166	Indiana	0	04/07/2020
630	Decatur	99	US	6	39.30712658	-85.50087166	Indiana	0	04/08/2020
634	Decatur	107	US	6	39.30712658	-85.50087166	Indiana	0	04/09/2020
638	Decatur	118	US	8	39.30712658	-85.50087166	Indiana	0	04/10/2020
643	Decatur	123	US	10	39.30712658	-85.50087166	Indiana	0	04/11/2020
647	Decatur	127	US	10	39.30712658	-85.50087166	Indiana	0	04/12/2020
651	Decatur	129	US	10	39.30712658	-85.50087166	Indiana	0	04/13/2020
652	Decatur	153	US	10	39.30712658	-85.50087166	Indiana	0	04/14/2020
656	Decatur	155	US	13	39.30712658	-85.50087166	Indiana	0	04/15/2020
657	Decatur	160	US	14	39.30712658	-85.50087166	Indiana	0	04/16/2020
660	Decatur	165	US	17	39.30712658	-85.50087166	Indiana	0	04/17/2020
662	Decatur	166	US	17	39.30712658	-85.50087166	Indiana	0	04/18/2020
666	Decatur	168	US	18	39.30712658	-85.50087166	Indiana	0	04/19/2020
667	Decatur	168	US	18	39.30712658	-85.50087166	Indiana	0	04/20/2020
671	Decatur	171	US	20	39.30712658	-85.50087166	Indiana	0	04/21/2020
673	Decatur	178	US	21	39.30712658	-85.50087166	Indiana	0	04/22/2020
676	Decatur	182	US	22	39.30712658	-85.50087166	Indiana	0	04/23/2020
677	Decatur	191	US	24	39.30712658	-85.50087166	Indiana	0	04/24/2020
677	Decatur	194	US	26	39.30712658	-85.50087166	Indiana	0	04/25/2020
679	Decatur	194	US	27	39.30712658	-85.50087166	Indiana	0	04/26/2020
681	Decatur	194	US	27	39.30712658	-85.50087166	Indiana	0	04/27/2020
683	Decatur	195	US	27	39.30712658	-85.50087166	Indiana	0	04/28/2020
684	Decatur	199	US	27	39.30712658	-85.50087166	Indiana	0	04/29/2020
684	Decatur	200	US	28	39.30712658	-85.50087166	Indiana	0	04/30/2020
687	Decatur	200	US	28	39.30712658	-85.50087166	Indiana	0	05/01/2020
688	Decatur	201	US	31	39.30712658	-85.50087166	Indiana	0	05/02/2020
689	Decatur	202	US	31	39.30712658	-85.50087166	Indiana	0	05/03/2020
691	Decatur	202	US	31	39.30712658	-85.50087166	Indiana	0	05/04/2020
695	Decatur	205	US	31	39.30712658	-85.50087166	Indiana	0	05/05/2020
696	Decatur	206	US	28	39.30712658	-85.50087166	Indiana	0	05/06/2020
697	Decatur	208	US	28	39.30712658	-85.50087166	Indiana	0	05/07/2020
700	Decatur	210	US	28	39.30712658	-85.50087166	Indiana	0	05/08/2020
700	Decatur	212	US	28	39.30712658	-85.50087166	Indiana	0	05/09/2020
701	Decatur	212	US	28	39.30712658	-85.50087166	Indiana	0	05/10/2020
701	Decatur	215	US	29	39.30712658	-85.50087166	Indiana	0	05/11/2020
701	Decatur	215	US	29	39.30712658	-85.50087166	Indiana	0	05/12/2020
701	Decatur	215	US	30	39.30712658	-85.50087166	Indiana	0	05/13/2020
702	Decatur	216	US	31	39.30712658	-85.50087166	Indiana	0	05/14/2020
703	Decatur	216	US	31	39.30712658	-85.50087166	Indiana	0	05/15/2020
704	Decatur	217	US	31	39.30712658	-85.50087166	Indiana	0	05/16/2020
705	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/17/2020
706	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/18/2020
708	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/19/2020
709	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/20/2020
709	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/21/2020
711	Decatur	220	US	31	39.30712658	-85.50087166	Indiana	0	05/22/2020
