	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1593	LaGrange	0	US	0	41.64232188	-85.42674232	Indiana	0	03/22/2020
1546	LaGrange	0	US	0	41.64232188	-85.42674232	Indiana	0	03/23/2020
1546	LaGrange	0	US	0	41.64232188	-85.42674232	Indiana	0	03/24/2020
1546	LaGrange	0	US	0	41.64232188	-85.42674232	Indiana	0	03/25/2020
1545	LaGrange	0	US	0	41.64232188	-85.42674232	Indiana	0	03/26/2020
1545	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	03/27/2020
1545	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	03/28/2020
1545	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	03/29/2020
1545	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	03/30/2020
1037	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	03/31/2020
1065	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	04/01/2020
1107	LaGrange	2	US	0	41.64232188	-85.42674232	Indiana	0	04/02/2020
1125	LaGrange	4	US	0	41.64232188	-85.42674232	Indiana	0	04/03/2020
1151	LaGrange	4	US	0	41.64232188	-85.42674232	Indiana	0	04/04/2020
1192	LaGrange	4	US	0	41.64232188	-85.42674232	Indiana	0	04/05/2020
1208	LaGrange	6	US	0	41.64232188	-85.42674232	Indiana	0	04/06/2020
1234	LaGrange	6	US	1	41.64232188	-85.42674232	Indiana	0	04/07/2020
1249	LaGrange	6	US	1	41.64232188	-85.42674232	Indiana	0	04/08/2020
1262	LaGrange	7	US	1	41.64232188	-85.42674232	Indiana	0	04/09/2020
1269	LaGrange	9	US	1	41.64232188	-85.42674232	Indiana	0	04/10/2020
1282	LaGrange	10	US	1	41.64232188	-85.42674232	Indiana	0	04/11/2020
1293	LaGrange	12	US	1	41.64232188	-85.42674232	Indiana	0	04/12/2020
1303	LaGrange	13	US	1	41.64232188	-85.42674232	Indiana	0	04/13/2020
1309	LaGrange	13	US	1	41.64232188	-85.42674232	Indiana	0	04/14/2020
1315	LaGrange	14	US	1	41.64232188	-85.42674232	Indiana	0	04/15/2020
1320	LaGrange	15	US	1	41.64232188	-85.42674232	Indiana	0	04/16/2020
1319	LaGrange	16	US	1	41.64232188	-85.42674232	Indiana	0	04/17/2020
1325	LaGrange	15	US	1	41.64232188	-85.42674232	Indiana	0	04/18/2020
1335	LaGrange	16	US	1	41.64232188	-85.42674232	Indiana	0	04/19/2020
1339	LaGrange	17	US	1	41.64232188	-85.42674232	Indiana	0	04/20/2020
1345	LaGrange	18	US	1	41.64232188	-85.42674232	Indiana	0	04/21/2020
1349	LaGrange	18	US	1	41.64232188	-85.42674232	Indiana	0	04/22/2020
1359	LaGrange	19	US	1	41.64232188	-85.42674232	Indiana	0	04/23/2020
1361	LaGrange	19	US	1	41.64232188	-85.42674232	Indiana	0	04/24/2020
1362	LaGrange	21	US	1	41.64232188	-85.42674232	Indiana	0	04/25/2020
1368	LaGrange	22	US	1	41.64232188	-85.42674232	Indiana	0	04/26/2020
1370	LaGrange	23	US	2	41.64232188	-85.42674232	Indiana	0	04/27/2020
1375	LaGrange	24	US	2	41.64232188	-85.42674232	Indiana	0	04/28/2020
1377	LaGrange	24	US	2	41.64232188	-85.42674232	Indiana	0	04/29/2020
1383	LaGrange	25	US	2	41.64232188	-85.42674232	Indiana	0	04/30/2020
1390	LaGrange	25	US	2	41.64232188	-85.42674232	Indiana	0	05/01/2020
1394	LaGrange	27	US	2	41.64232188	-85.42674232	Indiana	0	05/02/2020
1396	LaGrange	28	US	2	41.64232188	-85.42674232	Indiana	0	05/03/2020
1398	LaGrange	30	US	2	41.64232188	-85.42674232	Indiana	0	05/04/2020
1403	LaGrange	33	US	2	41.64232188	-85.42674232	Indiana	0	05/05/2020
1406	LaGrange	36	US	2	41.64232188	-85.42674232	Indiana	0	05/06/2020
1409	LaGrange	36	US	2	41.64232188	-85.42674232	Indiana	0	05/07/2020
1414	LaGrange	36	US	2	41.64232188	-85.42674232	Indiana	0	05/08/2020
1414	LaGrange	37	US	2	41.64232188	-85.42674232	Indiana	0	05/09/2020
1415	LaGrange	38	US	2	41.64232188	-85.42674232	Indiana	0	05/10/2020
1415	LaGrange	38	US	2	41.64232188	-85.42674232	Indiana	0	05/11/2020
1417	LaGrange	41	US	2	41.64232188	-85.42674232	Indiana	0	05/12/2020
1417	LaGrange	41	US	2	41.64232188	-85.42674232	Indiana	0	05/13/2020
1418	LaGrange	46	US	2	41.64232188	-85.42674232	Indiana	0	05/14/2020
1422	LaGrange	48	US	2	41.64232188	-85.42674232	Indiana	0	05/15/2020
1423	LaGrange	49	US	2	41.64232188	-85.42674232	Indiana	0	05/16/2020
1424	LaGrange	49	US	2	41.64232188	-85.42674232	Indiana	0	05/17/2020
1425	LaGrange	50	US	2	41.64232188	-85.42674232	Indiana	0	05/18/2020
1427	LaGrange	52	US	2	41.64232188	-85.42674232	Indiana	0	05/19/2020
1431	LaGrange	56	US	2	41.64232188	-85.42674232	Indiana	0	05/20/2020
1431	LaGrange	57	US	2	41.64232188	-85.42674232	Indiana	0	05/21/2020
1436	LaGrange	58	US	2	41.64232188	-85.42674232	Indiana	0	05/22/2020
1437	LaGrange	59	US	2	41.64232188	-85.42674232	Indiana	0	05/23/2020
1440	LaGrange	60	US	2	41.64232188	-85.42674232	Indiana	0	05/24/2020
1440	LaGrange	60	US	2	41.64232188	-85.42674232	Indiana	0	05/25/2020
