	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
787	Indiana	US	03/22/2020	39.31145587	-86.83900724	1	0	0	Owen
2183	Indiana	US	03/23/2020	39.31145587	-86.83900724	1	0	0	Owen
2183	Indiana	US	03/24/2020	39.31145587	-86.83900724	2	0	0	Owen
2183	Indiana	US	03/25/2020	39.31145587	-86.83900724	4	0	0	Owen
2182	Indiana	US	03/26/2020	39.31145587	-86.83900724	4	0	0	Owen
2182	Indiana	US	03/27/2020	39.31145587	-86.83900724	5	0	0	Owen
2182	Indiana	US	03/28/2020	39.31145587	-86.83900724	7	0	0	Owen
2182	Indiana	US	03/29/2020	39.31145587	-86.83900724	9	0	0	Owen
2182	Indiana	US	03/30/2020	39.31145587	-86.83900724	10	0	0	Owen
1485	Indiana	US	03/31/2020	39.31145587	-86.83900724	11	0	0	Owen
1524	Indiana	US	04/01/2020	39.31145587	-86.83900724	12	0	0	Owen
1584	Indiana	US	04/02/2020	39.31145587	-86.83900724	12	0	0	Owen
1617	Indiana	US	04/03/2020	39.31145587	-86.83900724	13	0	0	Owen
1657	Indiana	US	04/04/2020	39.31145587	-86.83900724	13	0	0	Owen
1711	Indiana	US	04/05/2020	39.31145587	-86.83900724	15	0	0	Owen
1737	Indiana	US	04/06/2020	39.31145587	-86.83900724	15	0	0	Owen
1775	Indiana	US	04/07/2020	39.31145587	-86.83900724	17	0	0	Owen
1791	Indiana	US	04/08/2020	39.31145587	-86.83900724	17	0	0	Owen
1811	Indiana	US	04/09/2020	39.31145587	-86.83900724	17	0	0	Owen
1825	Indiana	US	04/10/2020	39.31145587	-86.83900724	18	1	0	Owen
1843	Indiana	US	04/11/2020	39.31145587	-86.83900724	18	1	0	Owen
1855	Indiana	US	04/12/2020	39.31145587	-86.83900724	19	1	0	Owen
1869	Indiana	US	04/13/2020	39.31145587	-86.83900724	19	1	0	Owen
1876	Indiana	US	04/14/2020	39.31145587	-86.83900724	19	1	0	Owen
1886	Indiana	US	04/15/2020	39.31145587	-86.83900724	19	1	0	Owen
1895	Indiana	US	04/16/2020	39.31145587	-86.83900724	21	1	0	Owen
1897	Indiana	US	04/17/2020	39.31145587	-86.83900724	21	1	0	Owen
1903	Indiana	US	04/18/2020	39.31145587	-86.83900724	21	1	0	Owen
1914	Indiana	US	04/19/2020	39.31145587	-86.83900724	21	1	0	Owen
1921	Indiana	US	04/20/2020	39.31145587	-86.83900724	21	1	0	Owen
1929	Indiana	US	04/21/2020	39.31145587	-86.83900724	22	1	0	Owen
1936	Indiana	US	04/22/2020	39.31145587	-86.83900724	22	1	0	Owen
1948	Indiana	US	04/23/2020	39.31145587	-86.83900724	22	1	0	Owen
1953	Indiana	US	04/24/2020	39.31145587	-86.83900724	22	1	0	Owen
1957	Indiana	US	04/25/2020	39.31145587	-86.83900724	22	1	0	Owen
1963	Indiana	US	04/26/2020	39.31145587	-86.83900724	22	1	0	Owen
1966	Indiana	US	04/27/2020	39.31145587	-86.83900724	22	1	0	Owen
1973	Indiana	US	04/28/2020	39.31145587	-86.83900724	22	1	0	Owen
1976	Indiana	US	04/29/2020	39.31145587	-86.83900724	22	1	0	Owen
1982	Indiana	US	04/30/2020	39.31145587	-86.83900724	23	1	0	Owen
1991	Indiana	US	05/01/2020	39.31145587	-86.83900724	23	1	0	Owen
1995	Indiana	US	05/02/2020	39.31145587	-86.83900724	24	1	0	Owen
