	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1615	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/22/2020
2920	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/23/2020
2919	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/24/2020
2919	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/25/2020
2916	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/26/2020
2923	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/27/2020
2920	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/28/2020
2924	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/29/2020
2928	Vermillion	0	US	0	39.8523352	-87.46160542	Indiana	0	03/30/2020
2159	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/03/2020
2214	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/04/2020
2290	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/05/2020
2329	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/06/2020
2379	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/07/2020
2403	Vermillion	2	US	0	39.8523352	-87.46160542	Indiana	0	04/08/2020
2430	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/09/2020
2455	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/10/2020
2477	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/11/2020
2500	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/12/2020
2514	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/13/2020
2525	Vermillion	3	US	0	39.8523352	-87.46160542	Indiana	0	04/14/2020
2538	Vermillion	4	US	0	39.8523352	-87.46160542	Indiana	0	04/15/2020
2552	Vermillion	4	US	0	39.8523352	-87.46160542	Indiana	0	04/16/2020
2554	Vermillion	5	US	0	39.8523352	-87.46160542	Indiana	0	04/17/2020
2561	Vermillion	5	US	0	39.8523352	-87.46160542	Indiana	0	04/18/2020
2579	Vermillion	6	US	0	39.8523352	-87.46160542	Indiana	0	04/19/2020
2588	Vermillion	6	US	0	39.8523352	-87.46160542	Indiana	0	04/20/2020
2597	Vermillion	6	US	0	39.8523352	-87.46160542	Indiana	0	04/21/2020
2604	Vermillion	7	US	0	39.8523352	-87.46160542	Indiana	0	04/22/2020
2624	Vermillion	7	US	0	39.8523352	-87.46160542	Indiana	0	04/23/2020
2630	Vermillion	7	US	0	39.8523352	-87.46160542	Indiana	0	04/24/2020
2636	Vermillion	7	US	0	39.8523352	-87.46160542	Indiana	0	04/25/2020
