	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1616	Indiana	US	03/22/2020	40.84704239	-85.79328272	0	0	0	Wabash
2931	Indiana	US	03/23/2020	40.84704239	-85.79328272	0	0	0	Wabash
2930	Indiana	US	03/24/2020	40.84704239	-85.79328272	0	0	0	Wabash
2930	Indiana	US	03/25/2020	40.84704239	-85.79328272	0	0	0	Wabash
2927	Indiana	US	03/26/2020	40.84704239	-85.79328272	0	0	0	Wabash
2934	Indiana	US	03/27/2020	40.84704239	-85.79328272	1	0	0	Wabash
2931	Indiana	US	03/28/2020	40.84704239	-85.79328272	1	0	0	Wabash
2935	Indiana	US	03/29/2020	40.84704239	-85.79328272	1	0	0	Wabash
2939	Indiana	US	03/30/2020	40.84704239	-85.79328272	1	0	0	Wabash
1995	Indiana	US	03/31/2020	40.84704239	-85.79328272	1	0	0	Wabash
2042	Indiana	US	04/01/2020	40.84704239	-85.79328272	1	0	0	Wabash
2121	Indiana	US	04/02/2020	40.84704239	-85.79328272	1	0	0	Wabash
2166	Indiana	US	04/03/2020	40.84704239	-85.79328272	1	0	0	Wabash
2221	Indiana	US	04/04/2020	40.84704239	-85.79328272	1	0	0	Wabash
2297	Indiana	US	04/05/2020	40.84704239	-85.79328272	1	0	0	Wabash
2337	Indiana	US	04/06/2020	40.84704239	-85.79328272	3	0	0	Wabash
2387	Indiana	US	04/07/2020	40.84704239	-85.79328272	5	0	0	Wabash
2411	Indiana	US	04/08/2020	40.84704239	-85.79328272	5	0	0	Wabash
2438	Indiana	US	04/09/2020	40.84704239	-85.79328272	6	0	0	Wabash
2464	Indiana	US	04/10/2020	40.84704239	-85.79328272	7	0	0	Wabash
2486	Indiana	US	04/11/2020	40.84704239	-85.79328272	7	0	0	Wabash
2509	Indiana	US	04/12/2020	40.84704239	-85.79328272	7	0	0	Wabash
2523	Indiana	US	04/13/2020	40.84704239	-85.79328272	7	0	0	Wabash
2534	Indiana	US	04/14/2020	40.84704239	-85.79328272	7	0	0	Wabash
2547	Indiana	US	04/15/2020	40.84704239	-85.79328272	7	0	0	Wabash
2561	Indiana	US	04/16/2020	40.84704239	-85.79328272	8	0	0	Wabash
2563	Indiana	US	04/17/2020	40.84704239	-85.79328272	9	0	0	Wabash
2570	Indiana	US	04/18/2020	40.84704239	-85.79328272	9	0	0	Wabash
2588	Indiana	US	04/19/2020	40.84704239	-85.79328272	9	0	0	Wabash
2597	Indiana	US	04/20/2020	40.84704239	-85.79328272	10	0	0	Wabash
2606	Indiana	US	04/21/2020	40.84704239	-85.79328272	10	0	0	Wabash
2613	Indiana	US	04/22/2020	40.84704239	-85.79328272	10	1	0	Wabash
2633	Indiana	US	04/23/2020	40.84704239	-85.79328272	12	1	0	Wabash
2640	Indiana	US	04/24/2020	40.84704239	-85.79328272	12	1	0	Wabash
2646	Indiana	US	04/25/2020	40.84704239	-85.79328272	12	1	0	Wabash
2654	Indiana	US	04/26/2020	40.84704239	-85.79328272	19	1	0	Wabash
2662	Indiana	US	04/27/2020	40.84704239	-85.79328272	22	1	0	Wabash
2672	Indiana	US	04/28/2020	40.84704239	-85.79328272	28	1	0	Wabash
2677	Indiana	US	04/29/2020	40.84704239	-85.79328272	38	1	0	Wabash
2683	Indiana	US	04/30/2020	40.84704239	-85.79328272	42	1	0	Wabash
2693	Indiana	US	05/01/2020	40.84704239	-85.79328272	51	1	0	Wabash
2697	Indiana	US	05/02/2020	40.84704239	-85.79328272	55	1	0	Wabash
2702	Indiana	US	05/03/2020	40.84704239	-85.79328272	60	2	0	Wabash
2705	Indiana	US	05/04/2020	40.84704239	-85.79328272	63	2	0	Wabash
2713	Indiana	US	05/05/2020	40.84704239	-85.79328272	63	2	0	Wabash
2719	Indiana	US	05/06/2020	40.84704239	-85.79328272	63	2	0	Wabash
2726	Indiana	US	05/07/2020	40.84704239	-85.79328272	64	2	0	Wabash
2733	Indiana	US	05/08/2020	40.84704239	-85.79328272	64	2	0	Wabash
2735	Indiana	US	05/09/2020	40.84704239	-85.79328272	64	2	0	Wabash
2737	Indiana	US	05/10/2020	40.84704239	-85.79328272	64	2	0	Wabash
2737	Indiana	US	05/11/2020	40.84704239	-85.79328272	64	2	0	Wabash
2740	Indiana	US	05/12/2020	40.84704239	-85.79328272	67	2	0	Wabash
2741	Indiana	US	05/13/2020	40.84704239	-85.79328272	67	2	0	Wabash
2743	Indiana	US	05/14/2020	40.84704239	-85.79328272	68	2	0	Wabash
2748	Indiana	US	05/15/2020	40.84704239	-85.79328272	69	2	0	Wabash
2752	Indiana	US	05/16/2020	40.84704239	-85.79328272	71	2	0	Wabash
2755	Indiana	US	05/17/2020	40.84704239	-85.79328272	71	2	0	Wabash
2757	Indiana	US	05/18/2020	40.84704239	-85.79328272	71	2	0	Wabash
2761	Indiana	US	05/19/2020	40.84704239	-85.79328272	71	2	0	Wabash
2767	Indiana	US	05/20/2020	40.84704239	-85.79328272	71	2	0	Wabash
2769	Indiana	US	05/21/2020	40.84704239	-85.79328272	71	2	0	Wabash
2776	Indiana	US	05/22/2020	40.84704239	-85.79328272	71	2	0	Wabash
2778	Indiana	US	05/23/2020	40.84704239	-85.79328272	72	2	0	Wabash
2781	Indiana	US	05/24/2020	40.84704239	-85.79328272	72	2	0	Wabash
2782	Indiana	US	05/25/2020	40.84704239	-85.79328272	72	2	0	Wabash
2783	Indiana	US	05/26/2020	40.84704239	-85.79328272	72	2	0	Wabash
2786	Indiana	US	05/27/2020	40.84704239	-85.79328272	73	2	0	Wabash
2789	Indiana	US	05/28/2020	40.84704239	-85.79328272	74	2	0	Wabash
2792	Indiana	US	05/29/2020	40.84704239	-85.79328272	76	2	0	Wabash
2794	Indiana	US	05/30/2020	40.84704239	-85.79328272	77	2	0	Wabash
2795	Indiana	US	05/31/2020	40.84704239	-85.79328272	78	2	0	Wabash
2797	Indiana	US	06/01/2020	40.84704239	-85.79328272	79	2	0	Wabash
2802	Indiana	US	06/02/2020	40.84704239	-85.79328272	79	2	0	Wabash
