	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1622	Iowa	US	03/22/2020	40.74324454	-92.86865906	0	0	0	Appanoose
74	Iowa	US	03/23/2020	40.74324454	-92.86865906	0	0	0	Appanoose
74	Iowa	US	03/24/2020	40.74324454	-92.86865906	0	0	0	Appanoose
74	Iowa	US	03/25/2020	40.74324454	-92.86865906	0	0	0	Appanoose
74	Iowa	US	03/26/2020	40.74324454	-92.86865906	1	0	0	Appanoose
74	Iowa	US	03/27/2020	40.74324454	-92.86865906	1	0	0	Appanoose
74	Iowa	US	03/28/2020	40.74324454	-92.86865906	1	0	0	Appanoose
74	Iowa	US	03/29/2020	40.74324454	-92.86865906	1	0	0	Appanoose
74	Iowa	US	03/30/2020	40.74324454	-92.86865906	1	0	0	Appanoose
54	Iowa	US	03/31/2020	40.74324454	-92.86865906	1	0	0	Appanoose
56	Iowa	US	04/01/2020	40.74324454	-92.86865906	1	0	0	Appanoose
60	Iowa	US	04/02/2020	40.74324454	-92.86865906	1	0	0	Appanoose
59	Iowa	US	04/03/2020	40.74324454	-92.86865906	1	0	0	Appanoose
61	Iowa	US	04/04/2020	40.74324454	-92.86865906	1	0	0	Appanoose
62	Iowa	US	04/05/2020	40.74324454	-92.86865906	1	1	0	Appanoose
62	Iowa	US	04/06/2020	40.74324454	-92.86865906	1	2	0	Appanoose
62	Iowa	US	04/07/2020	40.74324454	-92.86865906	1	1	0	Appanoose
62	Iowa	US	04/08/2020	40.74324454	-92.86865906	1	1	0	Appanoose
62	Iowa	US	04/09/2020	40.74324454	-92.86865906	1	1	0	Appanoose
62	Iowa	US	04/10/2020	40.74324454	-92.86865906	1	1	0	Appanoose
64	Iowa	US	04/11/2020	40.74324454	-92.86865906	1	1	0	Appanoose
64	Iowa	US	04/12/2020	40.74324454	-92.86865906	1	1	0	Appanoose
65	Iowa	US	04/13/2020	40.74324454	-92.86865906	1	1	0	Appanoose
65	Iowa	US	04/14/2020	40.74324454	-92.86865906	1	1	0	Appanoose
66	Iowa	US	04/15/2020	40.74324454	-92.86865906	1	1	0	Appanoose
66	Iowa	US	04/16/2020	40.74324454	-92.86865906	2	1	0	Appanoose
68	Iowa	US	04/17/2020	40.74324454	-92.86865906	2	1	0	Appanoose
68	Iowa	US	04/18/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/19/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/20/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/21/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/22/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/23/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/24/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/25/2020	40.74324454	-92.86865906	2	2	0	Appanoose
68	Iowa	US	04/26/2020	40.74324454	-92.86865906	2	2	0	Appanoose
