	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
987	Iowa	US	03/22/2020	41.67169354	-91.58754744	32	0	0	Johnson
1442	Iowa	US	03/23/2020	41.67169354	-91.58754744	35	0	0	Johnson
1442	Iowa	US	03/24/2020	41.67169354	-91.58754744	37	0	0	Johnson
1442	Iowa	US	03/25/2020	41.67169354	-91.58754744	43	0	0	Johnson
1441	Iowa	US	03/26/2020	41.67169354	-91.58754744	49	0	0	Johnson
1441	Iowa	US	03/27/2020	41.67169354	-91.58754744	58	0	0	Johnson
1441	Iowa	US	03/28/2020	41.67169354	-91.58754744	61	0	0	Johnson
1441	Iowa	US	03/29/2020	41.67169354	-91.58754744	65	0	0	Johnson
1441	Iowa	US	03/30/2020	41.67169354	-91.58754744	70	0	0	Johnson
971	Iowa	US	03/31/2020	41.67169354	-91.58754744	73	0	0	Johnson
998	Iowa	US	04/01/2020	41.67169354	-91.58754744	76	0	0	Johnson
1036	Iowa	US	04/02/2020	41.67169354	-91.58754744	80	0	0	Johnson
1055	Iowa	US	04/03/2020	41.67169354	-91.58754744	83	0	0	Johnson
1080	Iowa	US	04/04/2020	41.67169354	-91.58754744	96	0	0	Johnson
1119	Iowa	US	04/05/2020	41.67169354	-91.58754744	106	1	0	Johnson
1135	Iowa	US	04/06/2020	41.67169354	-91.58754744	118	1	0	Johnson
1159	Iowa	US	04/07/2020	41.67169354	-91.58754744	134	1	0	Johnson
1172	Iowa	US	04/08/2020	41.67169354	-91.58754744	147	1	0	Johnson
1185	Iowa	US	04/09/2020	41.67169354	-91.58754744	171	1	0	Johnson
1192	Iowa	US	04/10/2020	41.67169354	-91.58754744	185	1	0	Johnson
1205	Iowa	US	04/11/2020	41.67169354	-91.58754744	194	1	0	Johnson
1213	Iowa	US	04/12/2020	41.67169354	-91.58754744	203	1	0	Johnson
1223	Iowa	US	04/13/2020	41.67169354	-91.58754744	210	2	0	Johnson
1228	Iowa	US	04/14/2020	41.67169354	-91.58754744	216	2	0	Johnson
1234	Iowa	US	04/15/2020	41.67169354	-91.58754744	226	3	0	Johnson
1237	Iowa	US	04/16/2020	41.67169354	-91.58754744	234	3	0	Johnson
1237	Iowa	US	04/17/2020	41.67169354	-91.58754744	246	3	0	Johnson
1242	Iowa	US	04/18/2020	41.67169354	-91.58754744	265	3	0	Johnson
1252	Iowa	US	04/19/2020	41.67169354	-91.58754744	285	3	0	Johnson
1256	Iowa	US	04/20/2020	41.67169354	-91.58754744	303	3	0	Johnson
1262	Iowa	US	04/21/2020	41.67169354	-91.58754744	372	3	0	Johnson
1266	Iowa	US	04/22/2020	41.67169354	-91.58754744	388	3	0	Johnson
1275	Iowa	US	04/23/2020	41.67169354	-91.58754744	391	3	0	Johnson
1277	Iowa	US	04/24/2020	41.67169354	-91.58754744	410	3	0	Johnson
