	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
998	Iowa	US	03/22/2020	41.48370744	-91.1121697	2	0	0	Muscatine
2034	Iowa	US	03/23/2020	41.48370744	-91.1121697	3	0	0	Muscatine
2034	Iowa	US	03/24/2020	41.48370744	-91.1121697	5	0	0	Muscatine
2034	Iowa	US	03/25/2020	41.48370744	-91.1121697	6	0	0	Muscatine
2033	Iowa	US	03/26/2020	41.48370744	-91.1121697	6	0	0	Muscatine
2033	Iowa	US	03/27/2020	41.48370744	-91.1121697	7	0	0	Muscatine
2033	Iowa	US	03/28/2020	41.48370744	-91.1121697	10	0	0	Muscatine
2033	Iowa	US	03/29/2020	41.48370744	-91.1121697	10	0	0	Muscatine
2033	Iowa	US	03/30/2020	41.48370744	-91.1121697	13	0	0	Muscatine
1370	Iowa	US	03/31/2020	41.48370744	-91.1121697	16	0	0	Muscatine
1407	Iowa	US	04/01/2020	41.48370744	-91.1121697	18	0	0	Muscatine
1462	Iowa	US	04/02/2020	41.48370744	-91.1121697	19	0	0	Muscatine
1493	Iowa	US	04/03/2020	41.48370744	-91.1121697	22	0	0	Muscatine
1531	Iowa	US	04/04/2020	41.48370744	-91.1121697	27	1	0	Muscatine
1582	Iowa	US	04/05/2020	41.48370744	-91.1121697	33	1	0	Muscatine
1608	Iowa	US	04/06/2020	41.48370744	-91.1121697	41	1	0	Muscatine
1644	Iowa	US	04/07/2020	41.48370744	-91.1121697	51	1	0	Muscatine
1659	Iowa	US	04/08/2020	41.48370744	-91.1121697	61	1	0	Muscatine
1678	Iowa	US	04/09/2020	41.48370744	-91.1121697	70	1	0	Muscatine
1688	Iowa	US	04/10/2020	41.48370744	-91.1121697	80	1	0	Muscatine
1706	Iowa	US	04/11/2020	41.48370744	-91.1121697	91	1	0	Muscatine
1719	Iowa	US	04/12/2020	41.48370744	-91.1121697	96	1	0	Muscatine
1733	Iowa	US	04/13/2020	41.48370744	-91.1121697	102	1	0	Muscatine
1740	Iowa	US	04/14/2020	41.48370744	-91.1121697	122	2	0	Muscatine
1748	Iowa	US	04/15/2020	41.48370744	-91.1121697	133	2	0	Muscatine
1756	Iowa	US	04/16/2020	41.48370744	-91.1121697	148	2	0	Muscatine
