	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1007	Woodbury	1	US	0	42.38979414	-96.0459439	Iowa	0	03/22/2020
3120	Woodbury	2	US	0	42.38979414	-96.0459439	Iowa	0	03/23/2020
3119	Woodbury	2	US	0	42.38979414	-96.0459439	Iowa	0	03/24/2020
3119	Woodbury	2	US	0	42.38979414	-96.0459439	Iowa	0	03/25/2020
3116	Woodbury	2	US	0	42.38979414	-96.0459439	Iowa	0	03/26/2020
3123	Woodbury	3	US	0	42.38979414	-96.0459439	Iowa	0	03/27/2020
3120	Woodbury	3	US	0	42.38979414	-96.0459439	Iowa	0	03/28/2020
3124	Woodbury	4	US	0	42.38979414	-96.0459439	Iowa	0	03/29/2020
3128	Woodbury	4	US	0	42.38979414	-96.0459439	Iowa	0	03/30/2020
2139	Woodbury	4	US	0	42.38979414	-96.0459439	Iowa	0	03/31/2020
2187	Woodbury	4	US	0	42.38979414	-96.0459439	Iowa	0	04/01/2020
2267	Woodbury	7	US	0	42.38979414	-96.0459439	Iowa	0	04/02/2020
2321	Woodbury	8	US	0	42.38979414	-96.0459439	Iowa	0	04/03/2020
2374	Woodbury	8	US	0	42.38979414	-96.0459439	Iowa	0	04/04/2020
2454	Woodbury	8	US	0	42.38979414	-96.0459439	Iowa	0	04/05/2020
2497	Woodbury	8	US	0	42.38979414	-96.0459439	Iowa	0	04/06/2020
2545	Woodbury	9	US	0	42.38979414	-96.0459439	Iowa	0	04/07/2020
2570	Woodbury	11	US	0	42.38979414	-96.0459439	Iowa	0	04/08/2020
2598	Woodbury	12	US	0	42.38979414	-96.0459439	Iowa	0	04/09/2020
2627	Woodbury	15	US	0	42.38979414	-96.0459439	Iowa	0	04/10/2020
2651	Woodbury	18	US	0	42.38979414	-96.0459439	Iowa	0	04/11/2020
2675	Woodbury	18	US	0	42.38979414	-96.0459439	Iowa	0	04/12/2020
2689	Woodbury	19	US	0	42.38979414	-96.0459439	Iowa	0	04/13/2020
2701	Woodbury	20	US	0	42.38979414	-96.0459439	Iowa	0	04/14/2020
2714	Woodbury	21	US	0	42.38979414	-96.0459439	Iowa	0	04/15/2020
2729	Woodbury	22	US	0	42.38979414	-96.0459439	Iowa	0	04/16/2020
2732	Woodbury	25	US	0	42.38979414	-96.0459439	Iowa	0	04/17/2020
2740	Woodbury	35	US	0	42.38979414	-96.0459439	Iowa	0	04/18/2020
2757	Woodbury	37	US	0	42.38979414	-96.0459439	Iowa	0	04/19/2020
2766	Woodbury	44	US	0	42.38979414	-96.0459439	Iowa	0	04/20/2020
2776	Woodbury	81	US	0	42.38979414	-96.0459439	Iowa	0	04/21/2020
2785	Woodbury	100	US	1	42.38979414	-96.0459439	Iowa	0	04/22/2020
2805	Woodbury	120	US	1	42.38979414	-96.0459439	Iowa	0	04/23/2020
2814	Woodbury	189	US	1	42.38979414	-96.0459439	Iowa	0	04/24/2020
2820	Woodbury	316	US	1	42.38979414	-96.0459439	Iowa	0	04/25/2020
2828	Woodbury	409	US	1	42.38979414	-96.0459439	Iowa	0	04/26/2020
2836	Woodbury	495	US	1	42.38979414	-96.0459439	Iowa	0	04/27/2020
2847	Woodbury	695	US	1	42.38979414	-96.0459439	Iowa	0	04/28/2020
2852	Woodbury	728	US	1	42.38979414	-96.0459439	Iowa	0	04/29/2020
2859	Woodbury	742	US	1	42.38979414	-96.0459439	Iowa	0	04/30/2020
2870	Woodbury	922	US	1	42.38979414	-96.0459439	Iowa	0	05/01/2020
2874	Woodbury	1074	US	2	42.38979414	-96.0459439	Iowa	0	05/02/2020
2879	Woodbury	1112	US	2	42.38979414	-96.0459439	Iowa	0	05/03/2020
2882	Woodbury	1152	US	2	42.38979414	-96.0459439	Iowa	0	05/04/2020
2890	Woodbury	1296	US	3	42.38979414	-96.0459439	Iowa	0	05/05/2020
2896	Woodbury	1323	US	4	42.38979414	-96.0459439	Iowa	0	05/06/2020
2903	Woodbury	1429	US	4	42.38979414	-96.0459439	Iowa	0	05/07/2020
2910	Woodbury	1532	US	7	42.38979414	-96.0459439	Iowa	0	05/08/2020
2912	Woodbury	1554	US	7	42.38979414	-96.0459439	Iowa	0	05/09/2020
2914	Woodbury	1627	US	8	42.38979414	-96.0459439	Iowa	0	05/10/2020
2914	Woodbury	1676	US	9	42.38979414	-96.0459439	Iowa	0	05/11/2020
2917	Woodbury	1988	US	11	42.38979414	-96.0459439	Iowa	0	05/12/2020
2918	Woodbury	2054	US	14	42.38979414	-96.0459439	Iowa	0	05/13/2020
2920	Woodbury	2078	US	14	42.38979414	-96.0459439	Iowa	0	05/14/2020
2926	Woodbury	2111	US	14	42.38979414	-96.0459439	Iowa	0	05/15/2020
2930	Woodbury	2157	US	16	42.38979414	-96.0459439	Iowa	0	05/16/2020
2933	Woodbury	2215	US	16	42.38979414	-96.0459439	Iowa	0	05/17/2020
2934	Woodbury	2278	US	17	42.38979414	-96.0459439	Iowa	0	05/18/2020
2939	Woodbury	2342	US	17	42.38979414	-96.0459439	Iowa	0	05/19/2020
2945	Woodbury	2362	US	21	42.38979414	-96.0459439	Iowa	0	05/20/2020
2947	Woodbury	2448	US	23	42.38979414	-96.0459439	Iowa	0	05/21/2020
2954	Woodbury	2469	US	23	42.38979414	-96.0459439	Iowa	0	05/22/2020
2956	Woodbury	2520	US	23	42.38979414	-96.0459439	Iowa	0	05/23/2020
2960	Woodbury	2555	US	24	42.38979414	-96.0459439	Iowa	0	05/24/2020
2961	Woodbury	2624	US	24	42.38979414	-96.0459439	Iowa	0	05/25/2020
2962	Woodbury	2640	US	28	42.38979414	-96.0459439	Iowa	0	05/26/2020
2966	Woodbury	2658	US	31	42.38979414	-96.0459439	Iowa	0	05/27/2020
2969	Woodbury	2672	US	32	42.38979414	-96.0459439	Iowa	0	05/28/2020
2972	Woodbury	2721	US	34	42.38979414	-96.0459439	Iowa	0	05/29/2020
2974	Woodbury	2740	US	34	42.38979414	-96.0459439	Iowa	0	05/30/2020
2975	Woodbury	2750	US	34	42.38979414	-96.0459439	Iowa	0	05/31/2020
2977	Woodbury	2761	US	36	42.38979414	-96.0459439	Iowa	0	06/01/2020
2982	Woodbury	2786	US	36	42.38979414	-96.0459439	Iowa	0	06/02/2020
2984	Woodbury	2817	US	37	42.38979414	-96.0459439	Iowa	0	06/03/2020
2985	Woodbury	2837	US	37	42.38979414	-96.0459439	Iowa	0	06/04/2020
2989	Woodbury	2861	US	37	42.38979414	-96.0459439	Iowa	0	06/05/2020
2991	Woodbury	2900	US	37	42.38979414	-96.0459439	Iowa	0	06/06/2020
2991	Woodbury	2915	US	37	42.38979414	-96.0459439	Iowa	0	06/07/2020
2991	Woodbury	2927	US	37	42.38979414	-96.0459439	Iowa	0	06/08/2020
2993	Woodbury	2945	US	37	42.38979414	-96.0459439	Iowa	0	06/09/2020
2995	Woodbury	2957	US	38	42.38979414	-96.0459439	Iowa	0	06/10/2020
2997	Woodbury	2965	US	39	42.38979414	-96.0459439	Iowa	0	06/11/2020
3012	Woodbury	2987	US	39	42.38979414	-96.0459439	Iowa	0	06/12/2020
3015	Woodbury	2998	US	40	42.38979414	-96.0459439	Iowa	0	06/13/2020
3015	Woodbury	3004	US	40	42.38979414	-96.0459439	Iowa	0	06/14/2020
3020	Woodbury	3008	US	39	42.38979414	-96.0459439	Iowa	0	06/15/2020
