	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1055	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/22/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/23/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/24/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/25/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/26/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/27/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/28/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/29/2020
324	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/30/2020
224	Butler	3	US	0	37.78134351	-96.83878537	Kansas	0	03/31/2020
230	Butler	5	US	0	37.78134351	-96.83878537	Kansas	0	04/01/2020
238	Butler	7	US	0	37.78134351	-96.83878537	Kansas	0	04/02/2020
240	Butler	7	US	0	37.78134351	-96.83878537	Kansas	0	04/03/2020
244	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/04/2020
254	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/05/2020
255	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/06/2020
261	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/07/2020
265	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/08/2020
268	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/09/2020
269	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/10/2020
272	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/11/2020
275	Butler	8	US	0	37.78134351	-96.83878537	Kansas	0	04/12/2020
277	Butler	9	US	0	37.78134351	-96.83878537	Kansas	0	04/13/2020
278	Butler	9	US	0	37.78134351	-96.83878537	Kansas	0	04/14/2020
280	Butler	10	US	0	37.78134351	-96.83878537	Kansas	0	04/15/2020
280	Butler	10	US	0	37.78134351	-96.83878537	Kansas	0	04/16/2020
283	Butler	11	US	0	37.78134351	-96.83878537	Kansas	0	04/17/2020
283	Butler	12	US	0	37.78134351	-96.83878537	Kansas	0	04/18/2020
283	Butler	12	US	0	37.78134351	-96.83878537	Kansas	0	04/19/2020
283	Butler	12	US	0	37.78134351	-96.83878537	Kansas	0	04/20/2020
284	Butler	12	US	0	37.78134351	-96.83878537	Kansas	0	04/21/2020
285	Butler	13	US	0	37.78134351	-96.83878537	Kansas	0	04/22/2020
285	Butler	13	US	0	37.78134351	-96.83878537	Kansas	0	04/23/2020
285	Butler	13	US	0	37.78134351	-96.83878537	Kansas	0	04/24/2020
285	Butler	13	US	0	37.78134351	-96.83878537	Kansas	0	04/25/2020
286	Butler	13	US	0	37.78134351	-96.83878537	Kansas	0	04/26/2020
286	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	04/27/2020
287	Butler	15	US	0	37.78134351	-96.83878537	Kansas	0	04/28/2020
287	Butler	16	US	0	37.78134351	-96.83878537	Kansas	0	04/29/2020
287	Butler	16	US	0	37.78134351	-96.83878537	Kansas	0	04/30/2020
289	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/01/2020
290	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/02/2020
291	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/03/2020
292	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/04/2020
294	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/05/2020
295	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/06/2020
296	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/07/2020
296	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/08/2020
296	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/09/2020
297	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/10/2020
297	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/11/2020
297	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/12/2020
297	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/13/2020
298	Butler	14	US	0	37.78134351	-96.83878537	Kansas	0	05/14/2020
299	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/15/2020
299	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/16/2020
300	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/17/2020
301	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/18/2020
303	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/19/2020
303	Butler	18	US	0	37.78134351	-96.83878537	Kansas	0	05/20/2020
303	Butler	22	US	0	37.78134351	-96.83878537	Kansas	0	05/21/2020
304	Butler	24	US	0	37.78134351	-96.83878537	Kansas	0	05/22/2020
304	Butler	25	US	0	37.78134351	-96.83878537	Kansas	0	05/23/2020
304	Butler	28	US	0	37.78134351	-96.83878537	Kansas	0	05/24/2020
304	Butler	28	US	0	37.78134351	-96.83878537	Kansas	0	05/25/2020
304	Butler	29	US	0	37.78134351	-96.83878537	Kansas	0	05/26/2020
305	Butler	29	US	0	37.78134351	-96.83878537	Kansas	0	05/27/2020
305	Butler	31	US	0	37.78134351	-96.83878537	Kansas	0	05/28/2020
305	Butler	31	US	0	37.78134351	-96.83878537	Kansas	0	05/29/2020
305	Butler	31	US	0	37.78134351	-96.83878537	Kansas	0	05/30/2020
305	Butler	31	US	0	37.78134351	-96.83878537	Kansas	0	05/31/2020
306	Butler	34	US	0	37.78134351	-96.83878537	Kansas	0	06/01/2020
306	Butler	34	US	0	37.78134351	-96.83878537	Kansas	0	06/02/2020
306	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/03/2020
306	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/04/2020
307	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/05/2020
307	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/06/2020
307	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/07/2020
307	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/08/2020
307	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/09/2020
308	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/10/2020
309	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/11/2020
310	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/12/2020
310	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/13/2020
310	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/14/2020
311	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/15/2020
311	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/16/2020
311	Butler	37	US	0	37.78134351	-96.83878537	Kansas	0	06/17/2020
311	Butler	41	US	0	37.78134351	-96.83878537	Kansas	0	06/18/2020
311	Butler	47	US	0	37.78134351	-96.83878537	Kansas	0	06/19/2020
312	Butler	47	US	0	37.78134351	-96.83878537	Kansas	0	06/20/2020
312	Butler	47	US	0	37.78134351	-96.83878537	Kansas	0	06/21/2020
312	Butler	50	US	0	37.78134351	-96.83878537	Kansas	0	06/22/2020
312	Butler	51	US	0	37.78134351	-96.83878537	Kansas	0	06/23/2020
314	Butler	52	US	0	37.78134351	-96.83878537	Kansas	0	06/24/2020
315	Butler	55	US	0	37.78134351	-96.83878537	Kansas	0	06/25/2020
315	Butler	51	US	0	37.78134351	-96.83878537	Kansas	0	06/26/2020
315	Butler	51	US	0	37.78134351	-96.83878537	Kansas	0	06/27/2020
315	Butler	51	US	0	37.78134351	-96.83878537	Kansas	0	06/28/2020
315	Butler	53	US	0	37.78134351	-96.83878537	Kansas	0	06/29/2020
316	Butler	53	US	0	37.78134351	-96.83878537	Kansas	0	06/30/2020
316	Butler	56	US	0	37.78134351	-96.83878537	Kansas	0	07/01/2020
316	Butler	60	US	0	37.78134351	-96.83878537	Kansas	0	07/02/2020
316	Butler	60	US	0	37.78134351	-96.83878537	Kansas	0	07/03/2020
316	Butler	67	US	0	37.78134351	-96.83878537	Kansas	0	07/04/2020
316	Butler	67	US	0	37.78134351	-96.83878537	Kansas	0	07/05/2020
316	Butler	67	US	0	37.78134351	-96.83878537	Kansas	0	07/06/2020
316	Butler	67	US	0	37.78134351	-96.83878537	Kansas	0	07/07/2020
317	Butler	77	US	0	37.78134351	-96.83878537	Kansas	0	07/08/2020
317	Butler	82	US	0	37.78134351	-96.83878537	Kansas	0	07/09/2020
318	Butler	88	US	0	37.78134351	-96.83878537	Kansas	0	07/10/2020
318	Butler	88	US	0	37.78134351	-96.83878537	Kansas	0	07/11/2020
318	Butler	88	US	0	37.78134351	-96.83878537	Kansas	0	07/12/2020
318	Butler	97	US	0	37.78134351	-96.83878537	Kansas	0	07/13/2020
318	Butler	102	US	0	37.78134351	-96.83878537	Kansas	0	07/14/2020
318	Butler	108	US	0	37.78134351	-96.83878537	Kansas	0	07/15/2020
319	Butler	110	US	0	37.78134351	-96.83878537	Kansas	0	07/16/2020
319	Butler	115	US	0	37.78134351	-96.83878537	Kansas	0	07/17/2020
330	Butler	115	US	0	37.78134351	-96.83878537	Kansas	0	07/18/2020
330	Butler	115	US	0	37.78134351	-96.83878537	Kansas	0	07/19/2020
322	Butler	132	US	0	37.78134351	-96.83878537	Kansas	0	07/20/2020
331	Butler	133	US	0	37.78134351	-96.83878537	Kansas	0	07/21/2020
331	Butler	138	US	0	37.78134351	-96.83878537	Kansas	0	07/22/2020
332	Butler	138	US	0	37.78134351	-96.83878537	Kansas	0	07/23/2020
332	Butler	155	US	0	37.78134351	-96.83878537	Kansas	0	07/24/2020
332	Butler	155	US	0	37.78134351	-96.83878537	Kansas	0	07/25/2020
332	Butler	155	US	0	37.78134351	-96.83878537	Kansas	0	07/26/2020
332	Butler	169	US	0	37.78134351	-96.83878537	Kansas	0	07/27/2020
332	Butler	181	US	0	37.78134351	-96.83878537	Kansas	0	07/28/2020
332	Butler	181	US	0	37.78134351	-96.83878537	Kansas	0	07/29/2020
332	Butler	187	US	0	37.78134351	-96.83878537	Kansas	0	07/30/2020
332	Butler	200	US	0	37.78134351	-96.83878537	Kansas	0	07/31/2020
332	Butler	200	US	0	37.78134351	-96.83878537	Kansas	0	08/01/2020
332	Butler	200	US	0	37.78134351	-96.83878537	Kansas	0	08/02/2020
332	Butler	215	US	0	37.78134351	-96.83878537	Kansas	0	08/03/2020
332	Butler	218	US	1	37.78134351	-96.83878537	Kansas	0	08/04/2020
333	Butler	228	US	1	37.78134351	-96.83878537	Kansas	0	08/05/2020
333	Butler	238	US	1	37.78134351	-96.83878537	Kansas	0	08/06/2020
333	Butler	255	US	1	37.78134351	-96.83878537	Kansas	0	08/07/2020
333	Butler	255	US	1	37.78134351	-96.83878537	Kansas	0	08/08/2020
333	Butler	255	US	1	37.78134351	-96.83878537	Kansas	0	08/09/2020
333	Butler	278	US	1	37.78134351	-96.83878537	Kansas	0	08/10/2020
1591	Butler	285	US	1	37.78134351	-96.83878537	Kansas	0	08/11/2020
1545	Butler	290	US	1	37.78134351	-96.83878537	Kansas	0	08/12/2020
1546	Butler	290	US	1	37.78134351	-96.83878537	Kansas	0	08/13/2020
1546	Butler	306	US	2	37.78134351	-96.83878537	Kansas	0	08/14/2020
1546	Butler	333	US	2	37.78134351	-96.83878537	Kansas	0	08/15/2020
1546	Butler	333	US	2	37.78134351	-96.83878537	Kansas	0	08/16/2020
1546	Butler	330	US	2	37.78134351	-96.83878537	Kansas	0	08/17/2020
1546	Butler	338	US	2	37.78134351	-96.83878537	Kansas	0	08/18/2020
1546	Butler	367	US	2	37.78134351	-96.83878537	Kansas	0	08/19/2020
1546	Butler	374	US	2	37.78134351	-96.83878537	Kansas	0	08/20/2020
1546	Butler	378	US	2	37.78134351	-96.83878537	Kansas	0	08/21/2020
1547	Butler	378	US	2	37.78134351	-96.83878537	Kansas	0	08/22/2020
1547	Butler	378	US	2	37.78134351	-96.83878537	Kansas	0	08/23/2020
1547	Butler	387	US	2	37.78134351	-96.83878537	Kansas	0	08/24/2020
1547	Butler	387	US	2	37.78134351	-96.83878537	Kansas	0	08/25/2020
1547	Butler	393	US	2	37.78134351	-96.83878537	Kansas	0	08/26/2020
1547	Butler	393	US	2	37.78134351	-96.83878537	Kansas	0	08/27/2020
1547	Butler	397	US	2	37.78134351	-96.83878537	Kansas	0	08/28/2020
1547	Butler	397	US	2	37.78134351	-96.83878537	Kansas	0	08/29/2020
1547	Butler	397	US	2	37.78134351	-96.83878537	Kansas	0	08/30/2020
1547	Butler	399	US	2	37.78134351	-96.83878537	Kansas	0	08/31/2020
1547	Butler	416	US	2	37.78134351	-96.83878537	Kansas	0	09/01/2020
1547	Butler	419	US	2	37.78134351	-96.83878537	Kansas	0	09/02/2020
1547	Butler	422	US	2	37.78134351	-96.83878537	Kansas	0	09/03/2020
1547	Butler	431	US	2	37.78134351	-96.83878537	Kansas	0	09/04/2020
1547	Butler	431	US	2	37.78134351	-96.83878537	Kansas	0	09/05/2020
1547	Butler	431	US	2	37.78134351	-96.83878537	Kansas	0	09/06/2020
1547	Butler	431	US	2	37.78134351	-96.83878537	Kansas	0	09/07/2020
1547	Butler	439	US	2	37.78134351	-96.83878537	Kansas	0	09/08/2020
1547	Butler	462	US	4	37.78134351	-96.83878537	Kansas	0	09/09/2020
1547	Butler	465	US	4	37.78134351	-96.83878537	Kansas	0	09/10/2020
1547	Butler	470	US	3	37.78134351	-96.83878537	Kansas	0	09/11/2020
