	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1709	Kansas	US	03/22/2020	38.2365018	-95.73379515	0	0	0	Coffey
590	Kansas	US	03/23/2020	38.2365018	-95.73379515	0	0	0	Coffey
590	Kansas	US	03/24/2020	38.2365018	-95.73379515	0	0	0	Coffey
590	Kansas	US	03/25/2020	38.2365018	-95.73379515	0	0	0	Coffey
590	Kansas	US	03/26/2020	38.2365018	-95.73379515	0	0	0	Coffey
590	Kansas	US	03/27/2020	38.2365018	-95.73379515	1	0	0	Coffey
590	Kansas	US	03/28/2020	38.2365018	-95.73379515	5	0	0	Coffey
590	Kansas	US	03/29/2020	38.2365018	-95.73379515	8	0	0	Coffey
590	Kansas	US	03/30/2020	38.2365018	-95.73379515	10	0	0	Coffey
422	Kansas	US	03/31/2020	38.2365018	-95.73379515	14	0	0	Coffey
434	Kansas	US	04/01/2020	38.2365018	-95.73379515	16	0	0	Coffey
450	Kansas	US	04/02/2020	38.2365018	-95.73379515	16	1	0	Coffey
455	Kansas	US	04/03/2020	38.2365018	-95.73379515	18	1	0	Coffey
466	Kansas	US	04/04/2020	38.2365018	-95.73379515	23	1	0	Coffey
480	Kansas	US	04/05/2020	38.2365018	-95.73379515	24	1	0	Coffey
483	Kansas	US	04/06/2020	38.2365018	-95.73379515	29	1	0	Coffey
492	Kansas	US	04/07/2020	38.2365018	-95.73379515	32	1	0	Coffey
496	Kansas	US	04/08/2020	38.2365018	-95.73379515	35	1	0	Coffey
499	Kansas	US	04/09/2020	38.2365018	-95.73379515	36	1	0	Coffey
500	Kansas	US	04/10/2020	38.2365018	-95.73379515	36	1	0	Coffey
505	Kansas	US	04/11/2020	38.2365018	-95.73379515	38	1	0	Coffey
508	Kansas	US	04/12/2020	38.2365018	-95.73379515	38	1	0	Coffey
511	Kansas	US	04/13/2020	38.2365018	-95.73379515	40	1	0	Coffey
513	Kansas	US	04/14/2020	38.2365018	-95.73379515	41	3	0	Coffey
516	Kansas	US	04/15/2020	38.2365018	-95.73379515	45	3	0	Coffey
517	Kansas	US	04/16/2020	38.2365018	-95.73379515	45	6	0	Coffey
519	Kansas	US	04/17/2020	38.2365018	-95.73379515	45	6	0	Coffey
520	Kansas	US	04/18/2020	38.2365018	-95.73379515	46	6	0	Coffey
524	Kansas	US	04/19/2020	38.2365018	-95.73379515	47	6	0	Coffey
525	Kansas	US	04/20/2020	38.2365018	-95.73379515	47	6	0	Coffey
529	Kansas	US	04/21/2020	38.2365018	-95.73379515	47	6	0	Coffey
531	Kansas	US	04/22/2020	38.2365018	-95.73379515	47	6	0	Coffey
534	Kansas	US	04/23/2020	38.2365018	-95.73379515	48	6	0	Coffey
534	Kansas	US	04/24/2020	38.2365018	-95.73379515	48	7	0	Coffey
534	Kansas	US	04/25/2020	38.2365018	-95.73379515	48	7	0	Coffey
535	Kansas	US	04/26/2020	38.2365018	-95.73379515	48	7	0	Coffey
536	Kansas	US	04/27/2020	38.2365018	-95.73379515	48	7	0	Coffey
538	Kansas	US	04/28/2020	38.2365018	-95.73379515	48	7	0	Coffey
538	Kansas	US	04/29/2020	38.2365018	-95.73379515	48	8	0	Coffey
538	Kansas	US	04/30/2020	38.2365018	-95.73379515	48	8	0	Coffey
