	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1711	Kansas	US	03/22/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/23/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/24/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/25/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/26/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/27/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/28/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/29/2020	37.23781842	-96.83776647	0	0	0	Cowley
648	Kansas	US	03/30/2020	37.23781842	-96.83776647	0	0	0	Cowley
492	Kansas	US	04/02/2020	37.23781842	-96.83776647	1	0	0	Cowley
498	Kansas	US	04/03/2020	37.23781842	-96.83776647	1	0	0	Cowley
510	Kansas	US	04/04/2020	37.23781842	-96.83776647	1	0	0	Cowley
525	Kansas	US	04/05/2020	37.23781842	-96.83776647	1	0	0	Cowley
528	Kansas	US	04/06/2020	37.23781842	-96.83776647	1	0	0	Cowley
537	Kansas	US	04/07/2020	37.23781842	-96.83776647	1	0	0	Cowley
542	Kansas	US	04/08/2020	37.23781842	-96.83776647	1	0	0	Cowley
546	Kansas	US	04/09/2020	37.23781842	-96.83776647	1	0	0	Cowley
550	Kansas	US	04/10/2020	37.23781842	-96.83776647	1	0	0	Cowley
555	Kansas	US	04/11/2020	37.23781842	-96.83776647	1	1	0	Cowley
558	Kansas	US	04/12/2020	37.23781842	-96.83776647	1	1	0	Cowley
562	Kansas	US	04/13/2020	37.23781842	-96.83776647	1	1	0	Cowley
564	Kansas	US	04/14/2020	37.23781842	-96.83776647	1	1	0	Cowley
567	Kansas	US	04/15/2020	37.23781842	-96.83776647	1	1	0	Cowley
568	Kansas	US	04/16/2020	37.23781842	-96.83776647	1	1	0	Cowley
570	Kansas	US	04/17/2020	37.23781842	-96.83776647	1	1	0	Cowley
571	Kansas	US	04/18/2020	37.23781842	-96.83776647	1	1	0	Cowley
575	Kansas	US	04/19/2020	37.23781842	-96.83776647	1	1	0	Cowley
576	Kansas	US	04/20/2020	37.23781842	-96.83776647	1	1	0	Cowley
580	Kansas	US	04/21/2020	37.23781842	-96.83776647	1	1	0	Cowley
582	Kansas	US	04/22/2020	37.23781842	-96.83776647	1	1	0	Cowley
585	Kansas	US	04/23/2020	37.23781842	-96.83776647	1	1	0	Cowley
586	Kansas	US	04/24/2020	37.23781842	-96.83776647	2	1	0	Cowley
586	Kansas	US	04/25/2020	37.23781842	-96.83776647	2	1	0	Cowley
587	Kansas	US	04/26/2020	37.23781842	-96.83776647	2	1	0	Cowley
589	Kansas	US	04/27/2020	37.23781842	-96.83776647	3	1	0	Cowley
591	Kansas	US	04/28/2020	37.23781842	-96.83776647	3	1	0	Cowley
591	Kansas	US	04/29/2020	37.23781842	-96.83776647	3	1	0	Cowley
591	Kansas	US	04/30/2020	37.23781842	-96.83776647	3	1	0	Cowley
594	Kansas	US	05/01/2020	37.23781842	-96.83776647	3	1	0	Cowley
595	Kansas	US	05/02/2020	37.23781842	-96.83776647	3	1	0	Cowley
596	Kansas	US	05/03/2020	37.23781842	-96.83776647	3	1	0	Cowley
597	Kansas	US	05/04/2020	37.23781842	-96.83776647	3	1	0	Cowley
601	Kansas	US	05/05/2020	37.23781842	-96.83776647	3	1	0	Cowley
602	Kansas	US	05/06/2020	37.23781842	-96.83776647	3	1	0	Cowley
603	Kansas	US	05/07/2020	37.23781842	-96.83776647	3	1	0	Cowley
606	Kansas	US	05/08/2020	37.23781842	-96.83776647	3	1	0	Cowley
606	Kansas	US	05/09/2020	37.23781842	-96.83776647	3	1	0	Cowley
607	Kansas	US	05/10/2020	37.23781842	-96.83776647	3	1	0	Cowley
607	Kansas	US	05/11/2020	37.23781842	-96.83776647	3	1	0	Cowley
607	Kansas	US	05/12/2020	37.23781842	-96.83776647	3	1	0	Cowley
607	Kansas	US	05/13/2020	37.23781842	-96.83776647	3	1	0	Cowley
608	Kansas	US	05/14/2020	37.23781842	-96.83776647	4	1	0	Cowley
609	Kansas	US	05/15/2020	37.23781842	-96.83776647	4	1	0	Cowley
610	Kansas	US	05/16/2020	37.23781842	-96.83776647	4	1	0	Cowley
611	Kansas	US	05/17/2020	37.23781842	-96.83776647	4	1	0	Cowley
612	Kansas	US	05/18/2020	37.23781842	-96.83776647	4	1	0	Cowley
614	Kansas	US	05/19/2020	37.23781842	-96.83776647	4	1	0	Cowley
615	Kansas	US	05/20/2020	37.23781842	-96.83776647	4	1	0	Cowley
615	Kansas	US	05/21/2020	37.23781842	-96.83776647	4	1	0	Cowley
617	Kansas	US	05/22/2020	37.23781842	-96.83776647	4	1	0	Cowley
617	Kansas	US	05/23/2020	37.23781842	-96.83776647	4	1	0	Cowley
618	Kansas	US	05/24/2020	37.23781842	-96.83776647	4	1	0	Cowley
618	Kansas	US	05/25/2020	37.23781842	-96.83776647	4	1	0	Cowley
618	Kansas	US	05/26/2020	37.23781842	-96.83776647	4	1	0	Cowley
619	Kansas	US	05/27/2020	37.23781842	-96.83776647	4	1	0	Cowley
619	Kansas	US	05/28/2020	37.23781842	-96.83776647	4	1	0	Cowley
619	Kansas	US	05/29/2020	37.23781842	-96.83776647	5	1	0	Cowley
619	Kansas	US	05/30/2020	37.23781842	-96.83776647	5	1	0	Cowley
619	Kansas	US	05/31/2020	37.23781842	-96.83776647	5	1	0	Cowley
620	Kansas	US	06/01/2020	37.23781842	-96.83776647	10	1	0	Cowley
620	Kansas	US	06/02/2020	37.23781842	-96.83776647	10	1	0	Cowley
620	Kansas	US	06/03/2020	37.23781842	-96.83776647	15	1	0	Cowley
620	Kansas	US	06/04/2020	37.23781842	-96.83776647	15	1	0	Cowley
621	Kansas	US	06/05/2020	37.23781842	-96.83776647	17	1	0	Cowley
621	Kansas	US	06/06/2020	37.23781842	-96.83776647	17	1	0	Cowley
621	Kansas	US	06/07/2020	37.23781842	-96.83776647	25	1	0	Cowley
621	Kansas	US	06/08/2020	37.23781842	-96.83776647	26	1	0	Cowley
621	Kansas	US	06/09/2020	37.23781842	-96.83776647	28	1	0	Cowley
622	Kansas	US	06/10/2020	37.23781842	-96.83776647	28	1	0	Cowley
623	Kansas	US	06/11/2020	37.23781842	-96.83776647	32	1	0	Cowley
624	Kansas	US	06/12/2020	37.23781842	-96.83776647	39	1	0	Cowley
625	Kansas	US	06/13/2020	37.23781842	-96.83776647	39	1	0	Cowley
625	Kansas	US	06/14/2020	37.23781842	-96.83776647	39	1	0	Cowley
626	Kansas	US	06/15/2020	37.23781842	-96.83776647	41	1	0	Cowley
626	Kansas	US	06/16/2020	37.23781842	-96.83776647	41	1	0	Cowley
626	Kansas	US	06/17/2020	37.23781842	-96.83776647	45	1	0	Cowley
626	Kansas	US	06/18/2020	37.23781842	-96.83776647	49	1	0	Cowley
626	Kansas	US	06/19/2020	37.23781842	-96.83776647	55	1	0	Cowley
628	Kansas	US	06/20/2020	37.23781842	-96.83776647	55	1	0	Cowley
628	Kansas	US	06/21/2020	37.23781842	-96.83776647	55	1	0	Cowley
628	Kansas	US	06/22/2020	37.23781842	-96.83776647	59	1	0	Cowley
628	Kansas	US	06/23/2020	37.23781842	-96.83776647	60	1	0	Cowley
630	Kansas	US	06/24/2020	37.23781842	-96.83776647	62	1	0	Cowley
631	Kansas	US	06/25/2020	37.23781842	-96.83776647	64	1	0	Cowley
631	Kansas	US	06/26/2020	37.23781842	-96.83776647	66	1	0	Cowley
632	Kansas	US	06/27/2020	37.23781842	-96.83776647	66	1	0	Cowley
632	Kansas	US	06/28/2020	37.23781842	-96.83776647	66	1	0	Cowley
632	Kansas	US	06/29/2020	37.23781842	-96.83776647	70	1	0	Cowley
633	Kansas	US	06/30/2020	37.23781842	-96.83776647	71	1	0	Cowley
633	Kansas	US	07/01/2020	37.23781842	-96.83776647	71	1	0	Cowley
634	Kansas	US	07/02/2020	37.23781842	-96.83776647	71	1	0	Cowley
635	Kansas	US	07/03/2020	37.23781842	-96.83776647	73	1	0	Cowley
635	Kansas	US	07/04/2020	37.23781842	-96.83776647	73	1	0	Cowley
635	Kansas	US	07/05/2020	37.23781842	-96.83776647	73	1	0	Cowley
635	Kansas	US	07/06/2020	37.23781842	-96.83776647	76	1	0	Cowley
635	Kansas	US	07/07/2020	37.23781842	-96.83776647	76	1	0	Cowley
636	Kansas	US	07/08/2020	37.23781842	-96.83776647	79	1	0	Cowley
636	Kansas	US	07/09/2020	37.23781842	-96.83776647	79	1	0	Cowley
637	Kansas	US	07/10/2020	37.23781842	-96.83776647	83	1	0	Cowley
637	Kansas	US	07/11/2020	37.23781842	-96.83776647	83	1	0	Cowley
637	Kansas	US	07/12/2020	37.23781842	-96.83776647	83	1	0	Cowley
637	Kansas	US	07/13/2020	37.23781842	-96.83776647	88	1	0	Cowley
637	Kansas	US	07/14/2020	37.23781842	-96.83776647	88	1	0	Cowley
637	Kansas	US	07/15/2020	37.23781842	-96.83776647	90	1	0	Cowley
638	Kansas	US	07/16/2020	37.23781842	-96.83776647	96	1	0	Cowley
638	Kansas	US	07/17/2020	37.23781842	-96.83776647	97	1	0	Cowley
662	Kansas	US	07/18/2020	37.23781842	-96.83776647	97	1	0	Cowley
663	Kansas	US	07/19/2020	37.23781842	-96.83776647	97	1	0	Cowley
646	Kansas	US	07/20/2020	37.23781842	-96.83776647	118	1	0	Cowley
665	Kansas	US	07/21/2020	37.23781842	-96.83776647	118	2	0	Cowley
665	Kansas	US	07/22/2020	37.23781842	-96.83776647	118	2	0	Cowley
666	Kansas	US	07/23/2020	37.23781842	-96.83776647	118	2	0	Cowley
666	Kansas	US	07/24/2020	37.23781842	-96.83776647	128	2	0	Cowley
