	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1063	Kansas	US	03/22/2020	37.95230263	-98.08607292	1	0	0	Reno
2409	Kansas	US	03/23/2020	37.95230263	-98.08607292	2	0	0	Reno
2409	Kansas	US	03/24/2020	37.95230263	-98.08607292	2	0	0	Reno
2409	Kansas	US	03/25/2020	37.95230263	-98.08607292	2	0	0	Reno
2408	Kansas	US	03/26/2020	37.95230263	-98.08607292	4	0	0	Reno
2408	Kansas	US	03/27/2020	37.95230263	-98.08607292	5	0	0	Reno
2408	Kansas	US	03/28/2020	37.95230263	-98.08607292	5	0	0	Reno
2408	Kansas	US	03/29/2020	37.95230263	-98.08607292	7	0	0	Reno
2408	Kansas	US	03/30/2020	37.95230263	-98.08607292	7	0	0	Reno
1620	Kansas	US	03/31/2020	37.95230263	-98.08607292	7	0	0	Reno
1661	Kansas	US	04/01/2020	37.95230263	-98.08607292	8	0	0	Reno
1725	Kansas	US	04/02/2020	37.95230263	-98.08607292	8	0	0	Reno
1769	Kansas	US	04/03/2020	37.95230263	-98.08607292	9	0	0	Reno
1813	Kansas	US	04/04/2020	37.95230263	-98.08607292	9	0	0	Reno
1875	Kansas	US	04/05/2020	37.95230263	-98.08607292	10	0	0	Reno
1906	Kansas	US	04/06/2020	37.95230263	-98.08607292	10	0	0	Reno
1947	Kansas	US	04/07/2020	37.95230263	-98.08607292	11	0	0	Reno
1963	Kansas	US	04/08/2020	37.95230263	-98.08607292	10	0	0	Reno
1985	Kansas	US	04/09/2020	37.95230263	-98.08607292	11	0	0	Reno
2004	Kansas	US	04/10/2020	37.95230263	-98.08607292	11	0	0	Reno
2028	Kansas	US	04/11/2020	37.95230263	-98.08607292	11	0	0	Reno
2043	Kansas	US	04/12/2020	37.95230263	-98.08607292	11	0	0	Reno
2057	Kansas	US	04/13/2020	37.95230263	-98.08607292	13	0	0	Reno
2065	Kansas	US	04/14/2020	37.95230263	-98.08607292	14	0	0	Reno
2076	Kansas	US	04/15/2020	37.95230263	-98.08607292	14	0	0	Reno
2086	Kansas	US	04/16/2020	37.95230263	-98.08607292	14	0	0	Reno
2088	Kansas	US	04/17/2020	37.95230263	-98.08607292	14	0	0	Reno
2095	Kansas	US	04/18/2020	37.95230263	-98.08607292	14	0	0	Reno
2108	Kansas	US	04/19/2020	37.95230263	-98.08607292	14	0	0	Reno
2115	Kansas	US	04/20/2020	37.95230263	-98.08607292	15	0	0	Reno
2124	Kansas	US	04/21/2020	37.95230263	-98.08607292	15	0	0	Reno
2131	Kansas	US	04/22/2020	37.95230263	-98.08607292	16	0	0	Reno
2144	Kansas	US	04/23/2020	37.95230263	-98.08607292	17	0	0	Reno
2149	Kansas	US	04/24/2020	37.95230263	-98.08607292	24	0	0	Reno
2154	Kansas	US	04/25/2020	37.95230263	-98.08607292	24	0	0	Reno
2161	Kansas	US	04/26/2020	37.95230263	-98.08607292	26	0	0	Reno
2167	Kansas	US	04/27/2020	37.95230263	-98.08607292	27	0	0	Reno
2175	Kansas	US	04/28/2020	37.95230263	-98.08607292	27	0	0	Reno
2178	Kansas	US	04/29/2020	37.95230263	-98.08607292	35	0	0	Reno
2184	Kansas	US	04/30/2020	37.95230263	-98.08607292	36	0	0	Reno
2193	Kansas	US	05/01/2020	37.95230263	-98.08607292	39	0	0	Reno
2197	Kansas	US	05/02/2020	37.95230263	-98.08607292	40	0	0	Reno
2200	Kansas	US	05/03/2020	37.95230263	-98.08607292	41	0	0	Reno
2203	Kansas	US	05/04/2020	37.95230263	-98.08607292	40	0	0	Reno
2210	Kansas	US	05/05/2020	37.95230263	-98.08607292	40	0	0	Reno
2215	Kansas	US	05/06/2020	37.95230263	-98.08607292	40	0	0	Reno
2219	Kansas	US	05/07/2020	37.95230263	-98.08607292	41	0	0	Reno
2226	Kansas	US	05/08/2020	37.95230263	-98.08607292	41	0	0	Reno
2227	Kansas	US	05/09/2020	37.95230263	-98.08607292	41	0	0	Reno
2229	Kansas	US	05/10/2020	37.95230263	-98.08607292	41	0	0	Reno
2229	Kansas	US	05/11/2020	37.95230263	-98.08607292	41	0	0	Reno
2232	Kansas	US	05/12/2020	37.95230263	-98.08607292	41	0	0	Reno
2232	Kansas	US	05/13/2020	37.95230263	-98.08607292	41	0	0	Reno
2233	Kansas	US	05/14/2020	37.95230263	-98.08607292	41	0	0	Reno
2237	Kansas	US	05/15/2020	37.95230263	-98.08607292	41	0	0	Reno
2242	Kansas	US	05/16/2020	37.95230263	-98.08607292	41	0	0	Reno
2244	Kansas	US	05/17/2020	37.95230263	-98.08607292	41	0	0	Reno
2246	Kansas	US	05/18/2020	37.95230263	-98.08607292	41	0	0	Reno
2248	Kansas	US	05/19/2020	37.95230263	-98.08607292	41	0	0	Reno
2254	Kansas	US	05/20/2020	37.95230263	-98.08607292	41	0	0	Reno
2255	Kansas	US	05/21/2020	37.95230263	-98.08607292	43	0	0	Reno
2259	Kansas	US	05/22/2020	37.95230263	-98.08607292	43	0	0	Reno
2261	Kansas	US	05/23/2020	37.95230263	-98.08607292	43	0	0	Reno
2264	Kansas	US	05/24/2020	37.95230263	-98.08607292	43	0	0	Reno
2265	Kansas	US	05/25/2020	37.95230263	-98.08607292	43	0	0	Reno
2266	Kansas	US	05/26/2020	37.95230263	-98.08607292	43	0	0	Reno
2269	Kansas	US	05/27/2020	37.95230263	-98.08607292	43	0	0	Reno
2271	Kansas	US	05/28/2020	37.95230263	-98.08607292	43	0	0	Reno
2274	Kansas	US	05/29/2020	37.95230263	-98.08607292	43	0	0	Reno
2276	Kansas	US	05/30/2020	37.95230263	-98.08607292	43	0	0	Reno
2277	Kansas	US	05/31/2020	37.95230263	-98.08607292	43	0	0	Reno
2279	Kansas	US	06/01/2020	37.95230263	-98.08607292	43	0	0	Reno
2283	Kansas	US	06/02/2020	37.95230263	-98.08607292	43	0	0	Reno
2285	Kansas	US	06/03/2020	37.95230263	-98.08607292	43	0	0	Reno
2286	Kansas	US	06/04/2020	37.95230263	-98.08607292	44	0	0	Reno
2289	Kansas	US	06/05/2020	37.95230263	-98.08607292	45	0	0	Reno
2290	Kansas	US	06/06/2020	37.95230263	-98.08607292	45	0	0	Reno
2290	Kansas	US	06/07/2020	37.95230263	-98.08607292	45	0	0	Reno
2290	Kansas	US	06/08/2020	37.95230263	-98.08607292	46	0	0	Reno
2291	Kansas	US	06/09/2020	37.95230263	-98.08607292	46	0	0	Reno
2293	Kansas	US	06/10/2020	37.95230263	-98.08607292	47	0	0	Reno
2294	Kansas	US	06/11/2020	37.95230263	-98.08607292	47	0	0	Reno
2306	Kansas	US	06/12/2020	37.95230263	-98.08607292	48	0	0	Reno
2308	Kansas	US	06/13/2020	37.95230263	-98.08607292	49	0	0	Reno
2308	Kansas	US	06/14/2020	37.95230263	-98.08607292	49	0	0	Reno
2311	Kansas	US	06/15/2020	37.95230263	-98.08607292	50	0	0	Reno
2309	Kansas	US	06/16/2020	37.95230263	-98.08607292	50	0	0	Reno
2311	Kansas	US	06/17/2020	37.95230263	-98.08607292	50	0	0	Reno
2311	Kansas	US	06/18/2020	37.95230263	-98.08607292	50	0	0	Reno
2311	Kansas	US	06/19/2020	37.95230263	-98.08607292	53	0	0	Reno
2315	Kansas	US	06/20/2020	37.95230263	-98.08607292	55	0	0	Reno
2315	Kansas	US	06/21/2020	37.95230263	-98.08607292	55	0	0	Reno
2317	Kansas	US	06/22/2020	37.95230263	-98.08607292	60	0	0	Reno
2321	Kansas	US	06/23/2020	37.95230263	-98.08607292	58	0	0	Reno
2331	Kansas	US	06/24/2020	37.95230263	-98.08607292	58	0	0	Reno
2336	Kansas	US	06/25/2020	37.95230263	-98.08607292	59	0	0	Reno
2337	Kansas	US	06/26/2020	37.95230263	-98.08607292	60	0	0	Reno
2338	Kansas	US	06/27/2020	37.95230263	-98.08607292	60	0	0	Reno
2338	Kansas	US	06/28/2020	37.95230263	-98.08607292	62	0	0	Reno
2339	Kansas	US	06/29/2020	37.95230263	-98.08607292	63	0	0	Reno
2341	Kansas	US	06/30/2020	37.95230263	-98.08607292	63	0	0	Reno
2341	Kansas	US	07/01/2020	37.95230263	-98.08607292	66	0	0	Reno
2343	Kansas	US	07/02/2020	37.95230263	-98.08607292	73	0	0	Reno
2346	Kansas	US	07/03/2020	37.95230263	-98.08607292	74	0	0	Reno
2347	Kansas	US	07/04/2020	37.95230263	-98.08607292	78	0	0	Reno
2347	Kansas	US	07/05/2020	37.95230263	-98.08607292	83	0	0	Reno
2350	Kansas	US	07/06/2020	37.95230263	-98.08607292	89	0	0	Reno
2350	Kansas	US	07/07/2020	37.95230263	-98.08607292	89	0	0	Reno
2353	Kansas	US	07/08/2020	37.95230263	-98.08607292	95	0	0	Reno
2352	Kansas	US	07/09/2020	37.95230263	-98.08607292	109	0	0	Reno
2355	Kansas	US	07/10/2020	37.95230263	-98.08607292	119	0	0	Reno
2356	Kansas	US	07/11/2020	37.95230263	-98.08607292	123	0	0	Reno
2358	Kansas	US	07/12/2020	37.95230263	-98.08607292	127	0	0	Reno
2360	Kansas	US	07/13/2020	37.95230263	-98.08607292	128	0	0	Reno
2363	Kansas	US	07/14/2020	37.95230263	-98.08607292	128	0	0	Reno
2363	Kansas	US	07/15/2020	37.95230263	-98.08607292	143	0	0	Reno
2365	Kansas	US	07/16/2020	37.95230263	-98.08607292	142	0	0	Reno
2365	Kansas	US	07/17/2020	37.95230263	-98.08607292	155	0	0	Reno
2425	Kansas	US	07/18/2020	37.95230263	-98.08607292	157	0	0	Reno
2426	Kansas	US	07/19/2020	37.95230263	-98.08607292	161	0	0	Reno
2364	Kansas	US	07/20/2020	37.95230263	-98.08607292	165	0	0	Reno
2430	Kansas	US	07/21/2020	37.95230263	-98.08607292	166	0	0	Reno
2431	Kansas	US	07/22/2020	37.95230263	-98.08607292	167	1	0	Reno
2433	Kansas	US	07/23/2020	37.95230263	-98.08607292	173	1	0	Reno
2432	Kansas	US	07/24/2020	37.95230263	-98.08607292	193	1	0	Reno
2433	Kansas	US	07/25/2020	37.95230263	-98.08607292	196	1	0	Reno
2434	Kansas	US	07/26/2020	37.95230263	-98.08607292	201	1	0	Reno
2434	Kansas	US	07/27/2020	37.95230263	-98.08607292	205	1	0	Reno
2434	Kansas	US	07/28/2020	37.95230263	-98.08607292	206	1	0	Reno
2438	Kansas	US	07/29/2020	37.95230263	-98.08607292	207	1	0	Reno
2438	Kansas	US	07/30/2020	37.95230263	-98.08607292	211	1	0	Reno
2440	Kansas	US	07/31/2020	37.95230263	-98.08607292	214	1	0	Reno
2440	Kansas	US	08/01/2020	37.95230263	-98.08607292	219	1	0	Reno
2440	Kansas	US	08/02/2020	37.95230263	-98.08607292	219	1	0	Reno
2440	Kansas	US	08/03/2020	37.95230263	-98.08607292	228	1	0	Reno
2441	Kansas	US	08/04/2020	37.95230263	-98.08607292	232	1	0	Reno
