	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1774	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/22/2020
2679	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/23/2020
2679	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/24/2020
2679	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/25/2020
2678	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/26/2020
2678	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/27/2020
2678	Stafford	0	US	0	38.03100851	-98.71762001	Kansas	0	03/28/2020
2678	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	03/29/2020
2678	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	03/30/2020
1807	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	03/31/2020
1851	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/01/2020
1918	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/02/2020
1963	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/03/2020
2010	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/04/2020
2081	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/05/2020
2115	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/06/2020
2159	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/07/2020
2180	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/08/2020
2204	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/09/2020
2227	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/10/2020
2252	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/11/2020
2269	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/12/2020
2283	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/13/2020
2292	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/14/2020
2304	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/15/2020
2317	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/16/2020
2320	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/17/2020
2327	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/18/2020
2342	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/19/2020
2350	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/20/2020
2359	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/21/2020
2366	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/22/2020
2382	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/23/2020
2387	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/24/2020
2392	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/25/2020
2400	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/26/2020
2407	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/27/2020
2416	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/28/2020
2420	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/29/2020
2426	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	04/30/2020
2437	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/01/2020
2440	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/02/2020
2444	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/03/2020
2447	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/04/2020
2454	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/05/2020
2459	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/06/2020
2464	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/07/2020
2471	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/08/2020
2472	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/09/2020
2474	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/10/2020
2474	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/11/2020
2477	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/12/2020
2478	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/13/2020
2479	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/14/2020
2483	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/15/2020
2488	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/16/2020
2490	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/17/2020
2492	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/18/2020
2496	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/19/2020
2502	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/20/2020
2503	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/21/2020
2509	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/22/2020
2511	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/23/2020
2514	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/24/2020
2515	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/25/2020
2516	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/26/2020
2519	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/27/2020
2521	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/28/2020
2524	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/29/2020
2526	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/30/2020
2527	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	05/31/2020
2529	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/01/2020
2534	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/02/2020
2536	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/03/2020
2537	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/04/2020
2540	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/05/2020
2542	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/06/2020
2542	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/07/2020
2542	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/08/2020
2544	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/09/2020
2546	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/10/2020
2548	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/11/2020
2562	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/12/2020
2565	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/13/2020
2565	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/14/2020
2569	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/15/2020
2567	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/16/2020
2569	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/17/2020
2569	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/18/2020
2569	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/19/2020
2573	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/20/2020
2573	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/21/2020
2575	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/22/2020
2579	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/23/2020
2590	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/24/2020
2595	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/25/2020
2596	Stafford	1	US	0	38.03100851	-98.71762001	Kansas	0	06/26/2020
