	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1783	Kansas	US	03/22/2020	38.48178252	-101.3471509	0	0	0	Wichita
3075	Kansas	US	03/23/2020	38.48178252	-101.3471509	0	0	0	Wichita
3074	Kansas	US	03/24/2020	38.48178252	-101.3471509	0	0	0	Wichita
3074	Kansas	US	03/25/2020	38.48178252	-101.3471509	0	0	0	Wichita
3071	Kansas	US	03/26/2020	38.48178252	-101.3471509	0	0	0	Wichita
3078	Kansas	US	03/27/2020	38.48178252	-101.3471509	0	0	0	Wichita
3075	Kansas	US	03/28/2020	38.48178252	-101.3471509	0	0	0	Wichita
3079	Kansas	US	03/29/2020	38.48178252	-101.3471509	0	0	0	Wichita
3083	Kansas	US	03/30/2020	38.48178252	-101.3471509	0	0	0	Wichita
2882	Kansas	US	05/15/2020	38.48178252	-101.3471509	1	0	0	Wichita
2886	Kansas	US	05/16/2020	38.48178252	-101.3471509	1	0	0	Wichita
2889	Kansas	US	05/17/2020	38.48178252	-101.3471509	1	0	0	Wichita
3135	Kansas	US	07/21/2020	38.48178252	-101.3471509	1	0	0	Wichita
3136	Kansas	US	07/22/2020	38.48178252	-101.3471509	1	0	0	Wichita
3139	Kansas	US	07/23/2020	38.48178252	-101.3471509	1	0	0	Wichita
3138	Kansas	US	07/24/2020	38.48178252	-101.3471509	2	0	0	Wichita
3139	Kansas	US	07/25/2020	38.48178252	-101.3471509	2	0	0	Wichita
3140	Kansas	US	07/26/2020	38.48178252	-101.3471509	2	0	0	Wichita
3140	Kansas	US	07/27/2020	38.48178252	-101.3471509	2	0	0	Wichita
3140	Kansas	US	07/28/2020	38.48178252	-101.3471509	2	0	0	Wichita
3144	Kansas	US	07/29/2020	38.48178252	-101.3471509	3	0	0	Wichita
3144	Kansas	US	07/30/2020	38.48178252	-101.3471509	3	0	0	Wichita
3146	Kansas	US	07/31/2020	38.48178252	-101.3471509	3	0	0	Wichita
3146	Kansas	US	08/01/2020	38.48178252	-101.3471509	3	0	0	Wichita
3146	Kansas	US	08/02/2020	38.48178252	-101.3471509	3	0	0	Wichita
3146	Kansas	US	08/03/2020	38.48178252	-101.3471509	4	0	0	Wichita
3146	Kansas	US	08/04/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/05/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/06/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/07/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/08/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/09/2020	38.48178252	-101.3471509	4	0	0	Wichita
3149	Kansas	US	08/10/2020	38.48178252	-101.3471509	4	0	0	Wichita
1683	Kansas	US	08/11/2020	38.48178252	-101.3471509	4	0	0	Wichita
1637	Kansas	US	08/12/2020	38.48178252	-101.3471509	4	0	0	Wichita
1638	Kansas	US	08/13/2020	38.48178252	-101.3471509	4	0	0	Wichita
1638	Kansas	US	08/14/2020	38.48178252	-101.3471509	4	0	0	Wichita
1638	Kansas	US	08/15/2020	38.48178252	-101.3471509	4	0	0	Wichita
1638	Kansas	US	08/16/2020	38.48178252	-101.3471509	4	0	0	Wichita
1640	Kansas	US	08/17/2020	38.48178252	-101.3471509	4	0	0	Wichita
1640	Kansas	US	08/18/2020	38.48178252	-101.3471509	4	0	0	Wichita
1640	Kansas	US	08/19/2020	38.48178252	-101.3471509	4	0	0	Wichita
1640	Kansas	US	08/20/2020	38.48178252	-101.3471509	4	0	0	Wichita
