	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1791	Kentucky	US	03/22/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/23/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/24/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/25/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/26/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/27/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/28/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/29/2020	36.73355174	-83.67766671	0	0	0	Bell
170	Kentucky	US	03/30/2020	36.73355174	-83.67766671	0	0	0	Bell
160	Kentucky	US	05/18/2020	36.73355174	-83.67766671	1	0	0	Bell
161	Kentucky	US	05/19/2020	36.73355174	-83.67766671	1	0	0	Bell
161	Kentucky	US	05/20/2020	36.73355174	-83.67766671	1	0	0	Bell
161	Kentucky	US	05/21/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/22/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/23/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/24/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/25/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/26/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/27/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/28/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/29/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/30/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	05/31/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	06/01/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	06/02/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	06/03/2020	36.73355174	-83.67766671	1	0	0	Bell
162	Kentucky	US	06/04/2020	36.73355174	-83.67766671	2	0	0	Bell
163	Kentucky	US	06/05/2020	36.73355174	-83.67766671	2	0	0	Bell
163	Kentucky	US	06/06/2020	36.73355174	-83.67766671	2	0	0	Bell
163	Kentucky	US	06/07/2020	36.73355174	-83.67766671	2	0	0	Bell
163	Kentucky	US	06/08/2020	36.73355174	-83.67766671	2	0	0	Bell
163	Kentucky	US	06/09/2020	36.73355174	-83.67766671	3	0	0	Bell
164	Kentucky	US	06/10/2020	36.73355174	-83.67766671	3	0	0	Bell
165	Kentucky	US	06/11/2020	36.73355174	-83.67766671	3	0	0	Bell
166	Kentucky	US	06/12/2020	36.73355174	-83.67766671	3	0	0	Bell
166	Kentucky	US	06/13/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/14/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/15/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/16/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/17/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/18/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/19/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/20/2020	36.73355174	-83.67766671	4	0	0	Bell
166	Kentucky	US	06/21/2020	36.73355174	-83.67766671	5	0	0	Bell
166	Kentucky	US	06/22/2020	36.73355174	-83.67766671	5	0	0	Bell
166	Kentucky	US	06/23/2020	36.73355174	-83.67766671	6	0	0	Bell
166	Kentucky	US	06/24/2020	36.73355174	-83.67766671	6	0	0	Bell
166	Kentucky	US	06/25/2020	36.73355174	-83.67766671	6	0	0	Bell
166	Kentucky	US	06/26/2020	36.73355174	-83.67766671	7	0	0	Bell
166	Kentucky	US	06/27/2020	36.73355174	-83.67766671	8	0	0	Bell
166	Kentucky	US	06/28/2020	36.73355174	-83.67766671	8	0	0	Bell
166	Kentucky	US	06/29/2020	36.73355174	-83.67766671	8	0	0	Bell
167	Kentucky	US	06/30/2020	36.73355174	-83.67766671	8	0	0	Bell
167	Kentucky	US	07/01/2020	36.73355174	-83.67766671	8	0	0	Bell
167	Kentucky	US	07/02/2020	36.73355174	-83.67766671	9	0	0	Bell
167	Kentucky	US	07/03/2020	36.73355174	-83.67766671	13	0	0	Bell
167	Kentucky	US	07/04/2020	36.73355174	-83.67766671	13	0	0	Bell
167	Kentucky	US	07/05/2020	36.73355174	-83.67766671	13	0	0	Bell
167	Kentucky	US	07/06/2020	36.73355174	-83.67766671	21	0	0	Bell
167	Kentucky	US	07/07/2020	36.73355174	-83.67766671	43	0	0	Bell
168	Kentucky	US	07/08/2020	36.73355174	-83.67766671	57	0	0	Bell
168	Kentucky	US	07/09/2020	36.73355174	-83.67766671	69	0	0	Bell
168	Kentucky	US	07/10/2020	36.73355174	-83.67766671	74	0	0	Bell
168	Kentucky	US	07/11/2020	36.73355174	-83.67766671	92	0	0	Bell
168	Kentucky	US	07/12/2020	36.73355174	-83.67766671	103	0	0	Bell
168	Kentucky	US	07/13/2020	36.73355174	-83.67766671	105	0	0	Bell
168	Kentucky	US	07/14/2020	36.73355174	-83.67766671	114	0	0	Bell
168	Kentucky	US	07/15/2020	36.73355174	-83.67766671	121	0	0	Bell
168	Kentucky	US	07/16/2020	36.73355174	-83.67766671	132	0	0	Bell
168	Kentucky	US	07/17/2020	36.73355174	-83.67766671	141	1	0	Bell
179	Kentucky	US	07/18/2020	36.73355174	-83.67766671	154	1	0	Bell
179	Kentucky	US	07/19/2020	36.73355174	-83.67766671	159	1	0	Bell
176	Kentucky	US	07/20/2020	36.73355174	-83.67766671	160	1	0	Bell
180	Kentucky	US	07/21/2020	36.73355174	-83.67766671	166	1	0	Bell
180	Kentucky	US	07/22/2020	36.73355174	-83.67766671	174	1	0	Bell
181	Kentucky	US	07/23/2020	36.73355174	-83.67766671	191	1	0	Bell
181	Kentucky	US	07/24/2020	36.73355174	-83.67766671	213	1	0	Bell
181	Kentucky	US	07/25/2020	36.73355174	-83.67766671	221	1	0	Bell
181	Kentucky	US	07/26/2020	36.73355174	-83.67766671	230	1	0	Bell
181	Kentucky	US	07/27/2020	36.73355174	-83.67766671	234	2	0	Bell
181	Kentucky	US	07/28/2020	36.73355174	-83.67766671	239	2	0	Bell
181	Kentucky	US	07/29/2020	36.73355174	-83.67766671	260	2	0	Bell
181	Kentucky	US	07/30/2020	36.73355174	-83.67766671	262	2	0	Bell
181	Kentucky	US	07/31/2020	36.73355174	-83.67766671	267	2	0	Bell
181	Kentucky	US	08/01/2020	36.73355174	-83.67766671	270	2	0	Bell
