	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1799	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/22/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/23/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/24/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/25/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/26/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/27/2020
325	Butler	0	US	0	37.20946153	-86.68748787	Kentucky	0	03/28/2020
325	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	03/29/2020
325	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	03/30/2020
225	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	03/31/2020
231	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/01/2020
239	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/02/2020
241	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/03/2020
245	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/04/2020
255	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/05/2020
256	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/06/2020
262	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/07/2020
266	Butler	1	US	0	37.20946153	-86.68748787	Kentucky	0	04/08/2020
269	Butler	2	US	0	37.20946153	-86.68748787	Kentucky	0	04/09/2020
270	Butler	2	US	0	37.20946153	-86.68748787	Kentucky	0	04/10/2020
273	Butler	2	US	0	37.20946153	-86.68748787	Kentucky	0	04/11/2020
276	Butler	11	US	0	37.20946153	-86.68748787	Kentucky	0	04/12/2020
278	Butler	11	US	0	37.20946153	-86.68748787	Kentucky	0	04/13/2020
279	Butler	22	US	1	37.20946153	-86.68748787	Kentucky	0	04/14/2020
281	Butler	24	US	1	37.20946153	-86.68748787	Kentucky	0	04/15/2020
281	Butler	27	US	1	37.20946153	-86.68748787	Kentucky	0	04/16/2020
284	Butler	51	US	1	37.20946153	-86.68748787	Kentucky	0	04/17/2020
284	Butler	62	US	2	37.20946153	-86.68748787	Kentucky	0	04/18/2020
284	Butler	73	US	2	37.20946153	-86.68748787	Kentucky	0	04/19/2020
284	Butler	72	US	2	37.20946153	-86.68748787	Kentucky	0	04/20/2020
285	Butler	74	US	3	37.20946153	-86.68748787	Kentucky	0	04/21/2020
286	Butler	91	US	3	37.20946153	-86.68748787	Kentucky	0	04/22/2020
286	Butler	92	US	3	37.20946153	-86.68748787	Kentucky	0	04/23/2020
286	Butler	98	US	3	37.20946153	-86.68748787	Kentucky	0	04/24/2020
286	Butler	103	US	3	37.20946153	-86.68748787	Kentucky	0	04/25/2020
287	Butler	104	US	3	37.20946153	-86.68748787	Kentucky	0	04/26/2020
287	Butler	103	US	3	37.20946153	-86.68748787	Kentucky	0	04/27/2020
288	Butler	113	US	3	37.20946153	-86.68748787	Kentucky	0	04/28/2020
288	Butler	114	US	3	37.20946153	-86.68748787	Kentucky	0	04/29/2020
288	Butler	116	US	3	37.20946153	-86.68748787	Kentucky	0	04/30/2020
290	Butler	141	US	4	37.20946153	-86.68748787	Kentucky	0	05/01/2020
291	Butler	141	US	4	37.20946153	-86.68748787	Kentucky	0	05/02/2020
292	Butler	143	US	4	37.20946153	-86.68748787	Kentucky	0	05/03/2020
293	Butler	167	US	4	37.20946153	-86.68748787	Kentucky	0	05/04/2020
295	Butler	181	US	4	37.20946153	-86.68748787	Kentucky	0	05/05/2020
296	Butler	183	US	4	37.20946153	-86.68748787	Kentucky	0	05/06/2020
297	Butler	188	US	6	37.20946153	-86.68748787	Kentucky	0	05/07/2020
297	Butler	192	US	6	37.20946153	-86.68748787	Kentucky	0	05/08/2020
297	Butler	195	US	6	37.20946153	-86.68748787	Kentucky	0	05/09/2020
298	Butler	195	US	6	37.20946153	-86.68748787	Kentucky	0	05/10/2020
298	Butler	201	US	6	37.20946153	-86.68748787	Kentucky	0	05/11/2020
298	Butler	200	US	6	37.20946153	-86.68748787	Kentucky	0	05/12/2020
298	Butler	200	US	6	37.20946153	-86.68748787	Kentucky	0	05/13/2020
299	Butler	205	US	6	37.20946153	-86.68748787	Kentucky	0	05/14/2020
300	Butler	212	US	6	37.20946153	-86.68748787	Kentucky	0	05/15/2020
300	Butler	217	US	6	37.20946153	-86.68748787	Kentucky	0	05/16/2020
301	Butler	217	US	6	37.20946153	-86.68748787	Kentucky	0	05/17/2020
302	Butler	217	US	6	37.20946153	-86.68748787	Kentucky	0	05/18/2020
304	Butler	217	US	6	37.20946153	-86.68748787	Kentucky	0	05/19/2020
304	Butler	217	US	6	37.20946153	-86.68748787	Kentucky	0	05/20/2020
304	Butler	218	US	6	37.20946153	-86.68748787	Kentucky	0	05/21/2020
305	Butler	219	US	6	37.20946153	-86.68748787	Kentucky	0	05/22/2020
305	Butler	218	US	6	37.20946153	-86.68748787	Kentucky	0	05/23/2020
305	Butler	218	US	6	37.20946153	-86.68748787	Kentucky	0	05/24/2020
305	Butler	218	US	6	37.20946153	-86.68748787	Kentucky	0	05/25/2020
305	Butler	224	US	6	37.20946153	-86.68748787	Kentucky	0	05/26/2020
306	Butler	226	US	6	37.20946153	-86.68748787	Kentucky	0	05/27/2020
306	Butler	227	US	7	37.20946153	-86.68748787	Kentucky	0	05/28/2020
306	Butler	228	US	13	37.20946153	-86.68748787	Kentucky	0	05/29/2020
306	Butler	228	US	13	37.20946153	-86.68748787	Kentucky	0	05/30/2020
306	Butler	228	US	13	37.20946153	-86.68748787	Kentucky	0	05/31/2020
307	Butler	232	US	13	37.20946153	-86.68748787	Kentucky	0	06/01/2020
307	Butler	232	US	13	37.20946153	-86.68748787	Kentucky	0	06/02/2020
307	Butler	235	US	13	37.20946153	-86.68748787	Kentucky	0	06/03/2020
307	Butler	235	US	13	37.20946153	-86.68748787	Kentucky	0	06/04/2020
308	Butler	236	US	13	37.20946153	-86.68748787	Kentucky	0	06/05/2020
308	Butler	237	US	13	37.20946153	-86.68748787	Kentucky	0	06/06/2020
308	Butler	237	US	13	37.20946153	-86.68748787	Kentucky	0	06/07/2020
308	Butler	238	US	13	37.20946153	-86.68748787	Kentucky	0	06/08/2020
308	Butler	239	US	13	37.20946153	-86.68748787	Kentucky	0	06/09/2020
309	Butler	240	US	13	37.20946153	-86.68748787	Kentucky	0	06/10/2020
310	Butler	240	US	13	37.20946153	-86.68748787	Kentucky	0	06/11/2020
311	Butler	243	US	13	37.20946153	-86.68748787	Kentucky	0	06/12/2020
311	Butler	243	US	13	37.20946153	-86.68748787	Kentucky	0	06/13/2020
311	Butler	243	US	13	37.20946153	-86.68748787	Kentucky	0	06/14/2020
312	Butler	244	US	13	37.20946153	-86.68748787	Kentucky	0	06/15/2020
312	Butler	244	US	13	37.20946153	-86.68748787	Kentucky	0	06/16/2020
312	Butler	246	US	13	37.20946153	-86.68748787	Kentucky	0	06/17/2020
312	Butler	246	US	13	37.20946153	-86.68748787	Kentucky	0	06/18/2020
312	Butler	247	US	13	37.20946153	-86.68748787	Kentucky	0	06/19/2020
313	Butler	246	US	13	37.20946153	-86.68748787	Kentucky	0	06/20/2020
313	Butler	246	US	14	37.20946153	-86.68748787	Kentucky	0	06/21/2020
313	Butler	246	US	14	37.20946153	-86.68748787	Kentucky	0	06/22/2020
313	Butler	246	US	14	37.20946153	-86.68748787	Kentucky	0	06/23/2020
315	Butler	247	US	14	37.20946153	-86.68748787	Kentucky	0	06/24/2020
316	Butler	247	US	14	37.20946153	-86.68748787	Kentucky	0	06/25/2020
316	Butler	247	US	14	37.20946153	-86.68748787	Kentucky	0	06/26/2020
316	Butler	252	US	14	37.20946153	-86.68748787	Kentucky	0	06/27/2020
316	Butler	253	US	14	37.20946153	-86.68748787	Kentucky	0	06/28/2020
316	Butler	255	US	14	37.20946153	-86.68748787	Kentucky	0	06/29/2020
317	Butler	256	US	14	37.20946153	-86.68748787	Kentucky	0	06/30/2020
317	Butler	257	US	14	37.20946153	-86.68748787	Kentucky	0	07/01/2020
317	Butler	256	US	14	37.20946153	-86.68748787	Kentucky	0	07/02/2020
317	Butler	257	US	14	37.20946153	-86.68748787	Kentucky	0	07/03/2020
317	Butler	257	US	14	37.20946153	-86.68748787	Kentucky	0	07/04/2020
317	Butler	257	US	14	37.20946153	-86.68748787	Kentucky	0	07/05/2020
317	Butler	258	US	14	37.20946153	-86.68748787	Kentucky	0	07/06/2020
317	Butler	260	US	14	37.20946153	-86.68748787	Kentucky	0	07/07/2020
318	Butler	262	US	14	37.20946153	-86.68748787	Kentucky	0	07/08/2020
318	Butler	262	US	14	37.20946153	-86.68748787	Kentucky	0	07/09/2020
319	Butler	264	US	14	37.20946153	-86.68748787	Kentucky	0	07/10/2020
319	Butler	264	US	14	37.20946153	-86.68748787	Kentucky	0	07/11/2020
319	Butler	265	US	14	37.20946153	-86.68748787	Kentucky	0	07/12/2020
319	Butler	266	US	14	37.20946153	-86.68748787	Kentucky	0	07/13/2020
319	Butler	267	US	14	37.20946153	-86.68748787	Kentucky	0	07/14/2020
319	Butler	268	US	14	37.20946153	-86.68748787	Kentucky	0	07/15/2020
320	Butler	269	US	14	37.20946153	-86.68748787	Kentucky	0	07/16/2020
320	Butler	276	US	14	37.20946153	-86.68748787	Kentucky	0	07/17/2020
331	Butler	276	US	14	37.20946153	-86.68748787	Kentucky	0	07/18/2020
331	Butler	280	US	14	37.20946153	-86.68748787	Kentucky	0	07/19/2020
323	Butler	280	US	14	37.20946153	-86.68748787	Kentucky	0	07/20/2020
332	Butler	281	US	14	37.20946153	-86.68748787	Kentucky	0	07/21/2020
332	Butler	283	US	14	37.20946153	-86.68748787	Kentucky	0	07/22/2020
333	Butler	284	US	14	37.20946153	-86.68748787	Kentucky	0	07/23/2020
333	Butler	286	US	14	37.20946153	-86.68748787	Kentucky	0	07/24/2020
333	Butler	286	US	14	37.20946153	-86.68748787	Kentucky	0	07/25/2020
333	Butler	286	US	14	37.20946153	-86.68748787	Kentucky	0	07/26/2020
333	Butler	286	US	14	37.20946153	-86.68748787	Kentucky	0	07/27/2020
333	Butler	287	US	15	37.20946153	-86.68748787	Kentucky	0	07/28/2020
333	Butler	287	US	15	37.20946153	-86.68748787	Kentucky	0	07/29/2020
333	Butler	290	US	15	37.20946153	-86.68748787	Kentucky	0	07/30/2020
333	Butler	291	US	15	37.20946153	-86.68748787	Kentucky	0	07/31/2020
333	Butler	291	US	15	37.20946153	-86.68748787	Kentucky	0	08/01/2020
333	Butler	292	US	15	37.20946153	-86.68748787	Kentucky	0	08/02/2020
333	Butler	295	US	15	37.20946153	-86.68748787	Kentucky	0	08/03/2020
333	Butler	296	US	15	37.20946153	-86.68748787	Kentucky	0	08/04/2020
334	Butler	297	US	15	37.20946153	-86.68748787	Kentucky	0	08/05/2020
334	Butler	298	US	15	37.20946153	-86.68748787	Kentucky	0	08/06/2020
334	Butler	292	US	15	37.20946153	-86.68748787	Kentucky	0	08/07/2020
334	Butler	294	US	15	37.20946153	-86.68748787	Kentucky	0	08/08/2020
334	Butler	293	US	15	37.20946153	-86.68748787	Kentucky	0	08/09/2020
334	Butler	293	US	15	37.20946153	-86.68748787	Kentucky	0	08/10/2020
1703	Butler	298	US	15	37.20946153	-86.68748787	Kentucky	0	08/11/2020
1657	Butler	298	US	15	37.20946153	-86.68748787	Kentucky	0	08/12/2020
1658	Butler	300	US	15	37.20946153	-86.68748787	Kentucky	0	08/13/2020
1658	Butler	302	US	15	37.20946153	-86.68748787	Kentucky	0	08/14/2020
1658	Butler	303	US	15	37.20946153	-86.68748787	Kentucky	0	08/15/2020
1658	Butler	303	US	15	37.20946153	-86.68748787	Kentucky	0	08/16/2020
1660	Butler	304	US	15	37.20946153	-86.68748787	Kentucky	0	08/17/2020
1660	Butler	306	US	15	37.20946153	-86.68748787	Kentucky	0	08/18/2020
1660	Butler	309	US	16	37.20946153	-86.68748787	Kentucky	0	08/19/2020
1660	Butler	309	US	16	37.20946153	-86.68748787	Kentucky	0	08/20/2020
1660	Butler	310	US	16	37.20946153	-86.68748787	Kentucky	0	08/21/2020
1661	Butler	310	US	16	37.20946153	-86.68748787	Kentucky	0	08/22/2020
1661	Butler	310	US	16	37.20946153	-86.68748787	Kentucky	0	08/23/2020
1661	Butler	311	US	16	37.20946153	-86.68748787	Kentucky	0	08/24/2020
1661	Butler	312	US	16	37.20946153	-86.68748787	Kentucky	0	08/25/2020
1661	Butler	311	US	16	37.20946153	-86.68748787	Kentucky	0	08/26/2020
1661	Butler	315	US	16	37.20946153	-86.68748787	Kentucky	0	08/27/2020
1661	Butler	317	US	16	37.20946153	-86.68748787	Kentucky	0	08/28/2020
1661	Butler	320	US	16	37.20946153	-86.68748787	Kentucky	0	08/29/2020
1661	Butler	320	US	16	37.20946153	-86.68748787	Kentucky	0	08/30/2020
1661	Butler	320	US	16	37.20946153	-86.68748787	Kentucky	0	08/31/2020
1661	Butler	322	US	16	37.20946153	-86.68748787	Kentucky	0	09/01/2020
1661	Butler	322	US	16	37.20946153	-86.68748787	Kentucky	0	09/02/2020
1661	Butler	326	US	16	37.20946153	-86.68748787	Kentucky	0	09/03/2020
1661	Butler	324	US	16	37.20946153	-86.68748787	Kentucky	0	09/04/2020
1661	Butler	324	US	16	37.20946153	-86.68748787	Kentucky	0	09/05/2020
