	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1801	Kentucky	US	03/22/2020	38.94384345	-84.37875208	0	0	0	Campbell
373	Kentucky	US	03/23/2020	38.94384345	-84.37875208	0	0	0	Campbell
373	Kentucky	US	03/24/2020	38.94384345	-84.37875208	1	0	0	Campbell
373	Kentucky	US	03/25/2020	38.94384345	-84.37875208	1	0	0	Campbell
373	Kentucky	US	03/26/2020	38.94384345	-84.37875208	1	0	0	Campbell
373	Kentucky	US	03/27/2020	38.94384345	-84.37875208	1	0	0	Campbell
373	Kentucky	US	03/28/2020	38.94384345	-84.37875208	3	0	0	Campbell
373	Kentucky	US	03/29/2020	38.94384345	-84.37875208	4	0	0	Campbell
373	Kentucky	US	03/30/2020	38.94384345	-84.37875208	4	0	0	Campbell
259	Kentucky	US	03/31/2020	38.94384345	-84.37875208	8	0	0	Campbell
268	Kentucky	US	04/01/2020	38.94384345	-84.37875208	8	0	0	Campbell
276	Kentucky	US	04/02/2020	38.94384345	-84.37875208	8	0	0	Campbell
278	Kentucky	US	04/03/2020	38.94384345	-84.37875208	8	1	0	Campbell
283	Kentucky	US	04/04/2020	38.94384345	-84.37875208	12	1	0	Campbell
295	Kentucky	US	04/05/2020	38.94384345	-84.37875208	12	1	0	Campbell
296	Kentucky	US	04/06/2020	38.94384345	-84.37875208	12	1	0	Campbell
304	Kentucky	US	04/07/2020	38.94384345	-84.37875208	13	3	0	Campbell
308	Kentucky	US	04/08/2020	38.94384345	-84.37875208	13	3	0	Campbell
311	Kentucky	US	04/09/2020	38.94384345	-84.37875208	29	3	0	Campbell
312	Kentucky	US	04/10/2020	38.94384345	-84.37875208	29	3	0	Campbell
315	Kentucky	US	04/11/2020	38.94384345	-84.37875208	29	3	0	Campbell
318	Kentucky	US	04/12/2020	38.94384345	-84.37875208	47	3	0	Campbell
320	Kentucky	US	04/13/2020	38.94384345	-84.37875208	47	3	0	Campbell
321	Kentucky	US	04/14/2020	38.94384345	-84.37875208	45	3	0	Campbell
323	Kentucky	US	04/15/2020	38.94384345	-84.37875208	47	3	0	Campbell
323	Kentucky	US	04/16/2020	38.94384345	-84.37875208	53	5	0	Campbell
325	Kentucky	US	04/17/2020	38.94384345	-84.37875208	55	5	0	Campbell
326	Kentucky	US	04/18/2020	38.94384345	-84.37875208	55	6	0	Campbell
326	Kentucky	US	04/19/2020	38.94384345	-84.37875208	56	6	0	Campbell
326	Kentucky	US	04/20/2020	38.94384345	-84.37875208	58	6	0	Campbell
327	Kentucky	US	04/21/2020	38.94384345	-84.37875208	60	6	0	Campbell
328	Kentucky	US	04/22/2020	38.94384345	-84.37875208	64	7	0	Campbell
328	Kentucky	US	04/23/2020	38.94384345	-84.37875208	64	7	0	Campbell
328	Kentucky	US	04/24/2020	38.94384345	-84.37875208	70	7	0	Campbell
328	Kentucky	US	04/25/2020	38.94384345	-84.37875208	73	7	0	Campbell
329	Kentucky	US	04/26/2020	38.94384345	-84.37875208	79	7	0	Campbell
330	Kentucky	US	04/27/2020	38.94384345	-84.37875208	81	7	0	Campbell
331	Kentucky	US	04/28/2020	38.94384345	-84.37875208	85	9	0	Campbell
331	Kentucky	US	04/29/2020	38.94384345	-84.37875208	86	9	0	Campbell
331	Kentucky	US	04/30/2020	38.94384345	-84.37875208	89	9	0	Campbell
334	Kentucky	US	05/01/2020	38.94384345	-84.37875208	92	9	0	Campbell
335	Kentucky	US	05/02/2020	38.94384345	-84.37875208	92	9	0	Campbell
336	Kentucky	US	05/03/2020	38.94384345	-84.37875208	95	9	0	Campbell
337	Kentucky	US	05/04/2020	38.94384345	-84.37875208	97	9	0	Campbell
339	Kentucky	US	05/05/2020	38.94384345	-84.37875208	103	9	0	Campbell
340	Kentucky	US	05/06/2020	38.94384345	-84.37875208	107	9	0	Campbell
341	Kentucky	US	05/07/2020	38.94384345	-84.37875208	110	9	0	Campbell
341	Kentucky	US	05/08/2020	38.94384345	-84.37875208	114	9	0	Campbell
341	Kentucky	US	05/09/2020	38.94384345	-84.37875208	115	9	0	Campbell
342	Kentucky	US	05/10/2020	38.94384345	-84.37875208	115	9	0	Campbell
342	Kentucky	US	05/11/2020	38.94384345	-84.37875208	118	9	0	Campbell
342	Kentucky	US	05/12/2020	38.94384345	-84.37875208	120	9	0	Campbell
342	Kentucky	US	05/13/2020	38.94384345	-84.37875208	120	9	0	Campbell
343	Kentucky	US	05/14/2020	38.94384345	-84.37875208	128	9	0	Campbell
344	Kentucky	US	05/15/2020	38.94384345	-84.37875208	129	10	0	Campbell
345	Kentucky	US	05/16/2020	38.94384345	-84.37875208	131	10	0	Campbell
346	Kentucky	US	05/17/2020	38.94384345	-84.37875208	131	10	0	Campbell
347	Kentucky	US	05/18/2020	38.94384345	-84.37875208	134	10	0	Campbell
349	Kentucky	US	05/19/2020	38.94384345	-84.37875208	135	11	0	Campbell
349	Kentucky	US	05/20/2020	38.94384345	-84.37875208	137	11	0	Campbell
349	Kentucky	US	05/21/2020	38.94384345	-84.37875208	141	11	0	Campbell
350	Kentucky	US	05/22/2020	38.94384345	-84.37875208	144	11	0	Campbell
350	Kentucky	US	05/23/2020	38.94384345	-84.37875208	146	11	0	Campbell
350	Kentucky	US	05/24/2020	38.94384345	-84.37875208	146	11	0	Campbell
350	Kentucky	US	05/25/2020	38.94384345	-84.37875208	146	11	0	Campbell
350	Kentucky	US	05/26/2020	38.94384345	-84.37875208	148	11	0	Campbell
351	Kentucky	US	05/27/2020	38.94384345	-84.37875208	150	11	0	Campbell
351	Kentucky	US	05/28/2020	38.94384345	-84.37875208	153	11	0	Campbell
351	Kentucky	US	05/29/2020	38.94384345	-84.37875208	164	11	0	Campbell
