	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1827	Kentucky	US	03/22/2020	36.6794808	-88.97875928	0	0	0	Hickman
1262	Kentucky	US	03/23/2020	36.67948079999999	-88.97875928	0	0	0	Hickman
1262	Kentucky	US	03/24/2020	36.67948079999999	-88.97875928	0	0	0	Hickman
1262	Kentucky	US	03/25/2020	36.67948079999999	-88.97875928	0	0	0	Hickman
1261	Kentucky	US	03/26/2020	36.67948079999999	-88.97875928	0	0	0	Hickman
1261	Kentucky	US	03/27/2020	36.67948079999999	-88.97875928	0	0	0	Hickman
1261	Kentucky	US	03/28/2020	36.6794808	-88.97875928	0	0	0	Hickman
1261	Kentucky	US	03/29/2020	36.6794808	-88.97875928	0	0	0	Hickman
1261	Kentucky	US	03/30/2020	36.6794808	-88.97875928	0	0	0	Hickman
1106	Kentucky	US	04/22/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1114	Kentucky	US	04/23/2020	36.67948079999999	-88.97875928	2	0	0	Hickman
1116	Kentucky	US	04/24/2020	36.67948079999999	-88.97875928	2	0	0	Hickman
1116	Kentucky	US	04/25/2020	36.67948079999999	-88.97875928	2	0	0	Hickman
1121	Kentucky	US	04/26/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1123	Kentucky	US	04/27/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1128	Kentucky	US	04/28/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1130	Kentucky	US	04/29/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1135	Kentucky	US	04/30/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1141	Kentucky	US	05/01/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1143	Kentucky	US	05/02/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1144	Kentucky	US	05/03/2020	36.67948079999999	-88.97875928	1	0	0	Hickman
1146	Kentucky	US	05/04/2020	36.67948079999999	-88.97875928	4	0	0	Hickman
1151	Kentucky	US	05/05/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1154	Kentucky	US	05/06/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1157	Kentucky	US	05/07/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1161	Kentucky	US	05/08/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1161	Kentucky	US	05/09/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1162	Kentucky	US	05/10/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1162	Kentucky	US	05/11/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1163	Kentucky	US	05/12/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1163	Kentucky	US	05/13/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1164	Kentucky	US	05/14/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1168	Kentucky	US	05/15/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1169	Kentucky	US	05/16/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1170	Kentucky	US	05/17/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
1171	Kentucky	US	05/18/2020	36.67948079999999	-88.97875928	5	0	0	Hickman
