	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1830	Jessamine	0	US	0	37.87119786	-84.58252003	Kentucky	0	03/22/2020
1433	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/23/2020
1433	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/24/2020
1433	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/25/2020
1432	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/26/2020
1432	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/27/2020
1432	Jessamine	1	US	0	37.87119786	-84.58252003	Kentucky	0	03/28/2020
1432	Jessamine	10	US	0	37.87119786	-84.58252003	Kentucky	0	03/29/2020
1432	Jessamine	11	US	0	37.87119786	-84.58252003	Kentucky	0	03/30/2020
966	Jessamine	13	US	0	37.87119786	-84.58252003	Kentucky	0	03/31/2020
993	Jessamine	13	US	0	37.87119786	-84.58252003	Kentucky	0	04/01/2020
1030	Jessamine	13	US	0	37.87119786	-84.58252003	Kentucky	0	04/02/2020
1049	Jessamine	13	US	0	37.87119786	-84.58252003	Kentucky	0	04/03/2020
1073	Jessamine	15	US	0	37.87119786	-84.58252003	Kentucky	0	04/04/2020
1112	Jessamine	16	US	0	37.87119786	-84.58252003	Kentucky	0	04/05/2020
1128	Jessamine	16	US	0	37.87119786	-84.58252003	Kentucky	0	04/06/2020
1152	Jessamine	16	US	0	37.87119786	-84.58252003	Kentucky	0	04/07/2020
1165	Jessamine	16	US	0	37.87119786	-84.58252003	Kentucky	0	04/08/2020
1178	Jessamine	18	US	0	37.87119786	-84.58252003	Kentucky	0	04/09/2020
1185	Jessamine	18	US	0	37.87119786	-84.58252003	Kentucky	0	04/10/2020
1198	Jessamine	18	US	0	37.87119786	-84.58252003	Kentucky	0	04/11/2020
1206	Jessamine	26	US	0	37.87119786	-84.58252003	Kentucky	0	04/12/2020
1215	Jessamine	26	US	0	37.87119786	-84.58252003	Kentucky	0	04/13/2020
1220	Jessamine	28	US	0	37.87119786	-84.58252003	Kentucky	0	04/14/2020
1226	Jessamine	29	US	0	37.87119786	-84.58252003	Kentucky	0	04/15/2020
1229	Jessamine	30	US	0	37.87119786	-84.58252003	Kentucky	0	04/16/2020
1229	Jessamine	31	US	0	37.87119786	-84.58252003	Kentucky	0	04/17/2020
1234	Jessamine	33	US	0	37.87119786	-84.58252003	Kentucky	0	04/18/2020
1244	Jessamine	32	US	0	37.87119786	-84.58252003	Kentucky	0	04/19/2020
1248	Jessamine	32	US	0	37.87119786	-84.58252003	Kentucky	0	04/20/2020
1254	Jessamine	32	US	0	37.87119786	-84.58252003	Kentucky	0	04/21/2020
1258	Jessamine	31	US	0	37.87119786	-84.58252003	Kentucky	0	04/22/2020
1266	Jessamine	31	US	0	37.87119786	-84.58252003	Kentucky	0	04/23/2020
1268	Jessamine	31	US	0	37.87119786	-84.58252003	Kentucky	0	04/24/2020
1269	Jessamine	32	US	0	37.87119786	-84.58252003	Kentucky	0	04/25/2020
1275	Jessamine	34	US	0	37.87119786	-84.58252003	Kentucky	0	04/26/2020
1277	Jessamine	34	US	0	37.87119786	-84.58252003	Kentucky	0	04/27/2020
1282	Jessamine	37	US	0	37.87119786	-84.58252003	Kentucky	0	04/28/2020
1284	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	04/29/2020
1290	Jessamine	41	US	0	37.87119786	-84.58252003	Kentucky	0	04/30/2020
1296	Jessamine	41	US	0	37.87119786	-84.58252003	Kentucky	0	05/01/2020
1299	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/02/2020
1301	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/03/2020
1303	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/04/2020
1308	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/05/2020
1311	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/06/2020
1314	Jessamine	40	US	0	37.87119786	-84.58252003	Kentucky	0	05/07/2020
1318	Jessamine	41	US	0	37.87119786	-84.58252003	Kentucky	0	05/08/2020
1318	Jessamine	46	US	0	37.87119786	-84.58252003	Kentucky	0	05/09/2020
1319	Jessamine	46	US	0	37.87119786	-84.58252003	Kentucky	0	05/10/2020
1319	Jessamine	47	US	0	37.87119786	-84.58252003	Kentucky	0	05/11/2020
1321	Jessamine	49	US	0	37.87119786	-84.58252003	Kentucky	0	05/12/2020
1321	Jessamine	49	US	0	37.87119786	-84.58252003	Kentucky	0	05/13/2020
1322	Jessamine	50	US	0	37.87119786	-84.58252003	Kentucky	0	05/14/2020
1326	Jessamine	50	US	0	37.87119786	-84.58252003	Kentucky	0	05/15/2020
1327	Jessamine	50	US	0	37.87119786	-84.58252003	Kentucky	0	05/16/2020
1328	Jessamine	50	US	0	37.87119786	-84.58252003	Kentucky	0	05/17/2020
1329	Jessamine	52	US	0	37.87119786	-84.58252003	Kentucky	0	05/18/2020
1331	Jessamine	51	US	0	37.87119786	-84.58252003	Kentucky	0	05/19/2020
1334	Jessamine	51	US	0	37.87119786	-84.58252003	Kentucky	0	05/20/2020
1334	Jessamine	50	US	0	37.87119786	-84.58252003	Kentucky	0	05/21/2020
