	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1834	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/22/2020
1595	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/23/2020
1595	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/24/2020
1595	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/25/2020
1594	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/26/2020
1594	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/27/2020
1594	Larue	0	US	0	37.54567114	-85.70138352	Kentucky	0	03/28/2020
1594	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	03/29/2020
1594	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	03/30/2020
1068	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	03/31/2020
1096	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	04/01/2020
1140	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	04/02/2020
1159	Larue	1	US	0	37.54567114	-85.70138352	Kentucky	0	04/03/2020
1186	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/04/2020
1227	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/05/2020
1245	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/06/2020
1272	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/07/2020
1287	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/08/2020
1301	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/09/2020
1308	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/10/2020
1322	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/11/2020
1333	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/12/2020
1343	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/13/2020
1349	Larue	3	US	0	37.54567114	-85.70138352	Kentucky	0	04/14/2020
1355	Larue	4	US	0	37.54567114	-85.70138352	Kentucky	0	04/15/2020
1360	Larue	4	US	0	37.54567114	-85.70138352	Kentucky	0	04/16/2020
1359	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/17/2020
1365	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/18/2020
1375	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/19/2020
1379	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/20/2020
1385	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/21/2020
1390	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/22/2020
1400	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/23/2020
1402	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/24/2020
1403	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/25/2020
1409	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/26/2020
1411	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/27/2020
1416	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/28/2020
1418	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/29/2020
1424	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	04/30/2020
1431	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	05/01/2020
1435	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	05/02/2020
1437	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	05/03/2020
1439	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	05/04/2020
1444	Larue	5	US	0	37.54567114	-85.70138352	Kentucky	0	05/05/2020
1447	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/06/2020
1451	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/07/2020
1456	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/08/2020
1457	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/09/2020
1458	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/10/2020
1458	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/11/2020
1460	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/12/2020
1460	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/13/2020
1461	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/14/2020
1465	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/15/2020
1466	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/16/2020
1467	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/17/2020
1468	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/18/2020
1470	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/19/2020
1475	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/20/2020
1476	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/21/2020
1481	Larue	6	US	0	37.54567114	-85.70138352	Kentucky	0	05/22/2020
1482	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/23/2020
1485	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/24/2020
1485	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/25/2020
1486	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/26/2020
1488	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/27/2020
1488	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/28/2020
1491	Larue	7	US	0	37.54567114	-85.70138352	Kentucky	0	05/29/2020
1493	Larue	8	US	0	37.54567114	-85.70138352	Kentucky	0	05/30/2020
