	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1835	Laurel	0	US	0	37.10975748	-84.11321779	Kentucky	0	03/22/2020
1603	Laurel	0	US	0	37.10975748	-84.11321779	Kentucky	0	03/23/2020
1603	Laurel	1	US	0	37.10975748	-84.11321779	Kentucky	0	03/24/2020
1603	Laurel	1	US	0	37.10975748	-84.11321779	Kentucky	0	03/25/2020
1602	Laurel	1	US	0	37.10975748	-84.11321779	Kentucky	0	03/26/2020
1602	Laurel	1	US	0	37.10975748	-84.11321779	Kentucky	0	03/27/2020
1602	Laurel	1	US	0	37.10975748	-84.11321779	Kentucky	0	03/28/2020
1602	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	03/29/2020
1602	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	03/30/2020
1072	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	03/31/2020
1102	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/01/2020
1146	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/02/2020
1165	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/03/2020
1193	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/04/2020
1234	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/05/2020
1252	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/06/2020
1279	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/07/2020
1294	Laurel	2	US	0	37.10975748	-84.11321779	Kentucky	0	04/08/2020
1308	Laurel	5	US	0	37.10975748	-84.11321779	Kentucky	0	04/09/2020
1315	Laurel	5	US	0	37.10975748	-84.11321779	Kentucky	0	04/10/2020
1329	Laurel	5	US	0	37.10975748	-84.11321779	Kentucky	0	04/11/2020
1340	Laurel	9	US	0	37.10975748	-84.11321779	Kentucky	0	04/12/2020
1350	Laurel	9	US	0	37.10975748	-84.11321779	Kentucky	0	04/13/2020
1356	Laurel	9	US	2	37.10975748	-84.11321779	Kentucky	0	04/14/2020
1362	Laurel	11	US	2	37.10975748	-84.11321779	Kentucky	0	04/15/2020
1367	Laurel	12	US	2	37.10975748	-84.11321779	Kentucky	0	04/16/2020
1366	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/17/2020
1372	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/18/2020
1382	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/19/2020
1386	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/20/2020
1392	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/21/2020
1397	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/22/2020
1407	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/23/2020
1409	Laurel	13	US	2	37.10975748	-84.11321779	Kentucky	0	04/24/2020
1410	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/25/2020
1416	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/26/2020
1418	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/27/2020
1423	Laurel	14	US	2	37.10975748	-84.11321779	Kentucky	0	04/28/2020
1425	Laurel	15	US	2	37.10975748	-84.11321779	Kentucky	0	04/29/2020
1431	Laurel	17	US	2	37.10975748	-84.11321779	Kentucky	0	04/30/2020
1438	Laurel	17	US	2	37.10975748	-84.11321779	Kentucky	0	05/01/2020
1442	Laurel	17	US	2	37.10975748	-84.11321779	Kentucky	0	05/02/2020
1444	Laurel	17	US	2	37.10975748	-84.11321779	Kentucky	0	05/03/2020
1446	Laurel	17	US	2	37.10975748	-84.11321779	Kentucky	0	05/04/2020
1451	Laurel	19	US	2	37.10975748	-84.11321779	Kentucky	0	05/05/2020
1454	Laurel	20	US	2	37.10975748	-84.11321779	Kentucky	0	05/06/2020
1458	Laurel	20	US	2	37.10975748	-84.11321779	Kentucky	0	05/07/2020
1463	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/08/2020
1464	Laurel	22	US	2	37.10975748	-84.11321779	Kentucky	0	05/09/2020
1465	Laurel	22	US	2	37.10975748	-84.11321779	Kentucky	0	05/10/2020
1465	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/11/2020
1467	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/12/2020
1467	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/13/2020
1468	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/14/2020
1472	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/15/2020
1473	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/16/2020
1474	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/17/2020
1475	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/18/2020
1477	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/19/2020
1482	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/20/2020
1483	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/21/2020
1488	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/22/2020
1490	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/23/2020
1493	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/24/2020
1493	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/25/2020
1494	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/26/2020
1496	Laurel	21	US	2	37.10975748	-84.11321779	Kentucky	0	05/27/2020
