	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1837	Kentucky	US	03/22/2020	37.59645942	-83.71513901	0	0	0	Lee
1630	Kentucky	US	03/23/2020	37.59645942	-83.71513901	0	0	0	Lee
1630	Kentucky	US	03/24/2020	37.59645942	-83.71513901	0	0	0	Lee
1630	Kentucky	US	03/25/2020	37.59645942	-83.71513901	0	0	0	Lee
1629	Kentucky	US	03/26/2020	37.59645942	-83.71513901	0	0	0	Lee
1629	Kentucky	US	03/27/2020	37.59645942	-83.71513901	0	0	0	Lee
1629	Kentucky	US	03/28/2020	37.59645942	-83.71513901	0	0	0	Lee
1629	Kentucky	US	03/29/2020	37.59645942	-83.71513901	0	0	0	Lee
1629	Kentucky	US	03/30/2020	37.59645942	-83.71513901	0	0	0	Lee
1523	Kentucky	US	05/28/2020	37.59645942	-83.71513901	1	0	0	Lee
1526	Kentucky	US	05/29/2020	37.59645942	-83.71513901	1	0	0	Lee
1528	Kentucky	US	05/30/2020	37.59645942	-83.71513901	1	0	0	Lee
1529	Kentucky	US	05/31/2020	37.59645942	-83.71513901	1	0	0	Lee
1531	Kentucky	US	06/01/2020	37.59645942	-83.71513901	1	0	0	Lee
1535	Kentucky	US	06/02/2020	37.59645942	-83.71513901	1	0	0	Lee
1536	Kentucky	US	06/03/2020	37.59645942	-83.71513901	1	0	0	Lee
1537	Kentucky	US	06/04/2020	37.59645942	-83.71513901	1	0	0	Lee
1539	Kentucky	US	06/05/2020	37.59645942	-83.71513901	1	0	0	Lee
1540	Kentucky	US	06/06/2020	37.59645942	-83.71513901	1	0	0	Lee
1540	Kentucky	US	06/07/2020	37.59645942	-83.71513901	1	0	0	Lee
1540	Kentucky	US	06/08/2020	37.59645942	-83.71513901	1	0	0	Lee
1542	Kentucky	US	06/09/2020	37.59645942	-83.71513901	1	0	0	Lee
1544	Kentucky	US	06/10/2020	37.59645942	-83.71513901	1	0	0	Lee
1545	Kentucky	US	06/11/2020	37.59645942	-83.71513901	1	0	0	Lee
1553	Kentucky	US	06/12/2020	37.59645942	-83.71513901	1	0	0	Lee
1554	Kentucky	US	06/13/2020	37.59645942	-83.71513901	1	0	0	Lee
1554	Kentucky	US	06/14/2020	37.59645942	-83.71513901	1	0	0	Lee
1556	Kentucky	US	06/15/2020	37.59645942	-83.71513901	1	0	0	Lee
1555	Kentucky	US	06/16/2020	37.59645942	-83.71513901	1	0	0	Lee
1557	Kentucky	US	06/17/2020	37.59645942	-83.71513901	1	0	0	Lee
1557	Kentucky	US	06/18/2020	37.59645942	-83.71513901	1	0	0	Lee
1557	Kentucky	US	06/19/2020	37.59645942	-83.71513901	1	0	0	Lee
1561	Kentucky	US	06/20/2020	37.59645942	-83.71513901	1	0	0	Lee
1561	Kentucky	US	06/21/2020	37.59645942	-83.71513901	1	0	0	Lee
1562	Kentucky	US	06/22/2020	37.59645942	-83.71513901	1	0	0	Lee
1564	Kentucky	US	06/23/2020	37.59645942	-83.71513901	1	0	0	Lee
1570	Kentucky	US	06/24/2020	37.59645942	-83.71513901	1	0	0	Lee
1575	Kentucky	US	06/25/2020	37.59645942	-83.71513901	1	0	0	Lee
1576	Kentucky	US	06/26/2020	37.59645942	-83.71513901	1	0	0	Lee
1577	Kentucky	US	06/27/2020	37.59645942	-83.71513901	1	0	0	Lee
