	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1863	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/22/2020
2185	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/23/2020
2185	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/24/2020
2185	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/25/2020
2184	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/26/2020
2184	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/27/2020
2184	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/28/2020
2184	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/29/2020
2184	Owsley	0	US	0	37.42823949	-83.68811419	Kentucky	0	03/30/2020
1877	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/14/2020
1887	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/15/2020
1896	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/16/2020
1898	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/17/2020
1904	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/18/2020
1915	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/19/2020
1922	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/20/2020
1930	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/21/2020
1937	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/22/2020
1949	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/23/2020
1954	Owsley	3	US	0	37.42823949	-83.68811419	Kentucky	0	04/24/2020
1958	Owsley	3	US	0	37.42823949	-83.68811419	Kentucky	0	04/25/2020
1964	Owsley	3	US	0	37.42823949	-83.68811419	Kentucky	0	04/26/2020
1967	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/27/2020
1975	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/28/2020
1978	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/29/2020
1984	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	04/30/2020
1993	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/01/2020
1997	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/02/2020
2000	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/03/2020
2002	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/04/2020
2008	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/05/2020
2013	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/06/2020
2017	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/07/2020
2022	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/08/2020
2023	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/09/2020
2024	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/10/2020
2024	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/11/2020
2027	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/12/2020
2027	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/13/2020
2028	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/14/2020
2032	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/15/2020
2036	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/16/2020
2038	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/17/2020
2040	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/18/2020
2042	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/19/2020
2048	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/20/2020
2049	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/21/2020
2053	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/22/2020
2055	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/23/2020
2058	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/24/2020
2058	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/25/2020
2059	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/26/2020
2061	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/27/2020
2063	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/28/2020
2066	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/29/2020
2068	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/30/2020
2069	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	05/31/2020
2071	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/01/2020
2075	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/02/2020
2076	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/03/2020
2077	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/04/2020
2079	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/05/2020
2080	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/06/2020
2080	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/07/2020
2080	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/08/2020
2081	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/09/2020
2083	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/10/2020
2084	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/11/2020
2094	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/12/2020
2096	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/13/2020
2096	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/14/2020
2099	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/15/2020
2097	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/16/2020
2099	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/17/2020
2099	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/18/2020
2099	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/19/2020
2103	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/20/2020
2103	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/21/2020
2105	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/22/2020
2109	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/23/2020
2117	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/24/2020
2122	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/25/2020
2123	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/26/2020
2124	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/27/2020
2124	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/28/2020
2125	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/29/2020
2127	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	06/30/2020
2127	Owsley	2	US	0	37.42823949	-83.68811419	Kentucky	0	07/01/2020
2129	Owsley	3	US	0	37.42823949	-83.68811419	Kentucky	0	07/02/2020
2132	Owsley	3	US	0	37.42823949	-83.68811419	Kentucky	0	07/03/2020
