	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1866	Kentucky	US	03/22/2020	37.47088263	-82.39487445	0	0	0	Pike
2272	Kentucky	US	03/23/2020	37.47088263	-82.39487445	0	0	0	Pike
2272	Kentucky	US	03/24/2020	37.47088263	-82.39487445	0	0	0	Pike
2272	Kentucky	US	03/25/2020	37.47088263	-82.39487445	0	0	0	Pike
2271	Kentucky	US	03/26/2020	37.47088263	-82.39487445	0	0	0	Pike
2271	Kentucky	US	03/27/2020	37.47088263	-82.39487445	0	0	0	Pike
2271	Kentucky	US	03/28/2020	37.47088263	-82.39487445	0	0	0	Pike
2271	Kentucky	US	03/29/2020	37.47088263	-82.39487445	0	0	0	Pike
2271	Kentucky	US	03/30/2020	37.47088263	-82.39487445	0	0	0	Pike
1718	Kentucky	US	04/04/2020	37.47088263	-82.39487445	1	0	0	Pike
1777	Kentucky	US	04/05/2020	37.47088263	-82.39487445	1	0	0	Pike
1806	Kentucky	US	04/06/2020	37.47088263	-82.39487445	1	0	0	Pike
1844	Kentucky	US	04/07/2020	37.47088263	-82.39487445	1	0	0	Pike
1859	Kentucky	US	04/08/2020	37.47088263	-82.39487445	1	0	0	Pike
1879	Kentucky	US	04/09/2020	37.47088263	-82.39487445	1	0	0	Pike
1894	Kentucky	US	04/10/2020	37.47088263	-82.39487445	1	0	0	Pike
1916	Kentucky	US	04/11/2020	37.47088263	-82.39487445	1	0	0	Pike
1929	Kentucky	US	04/12/2020	37.47088263	-82.39487445	4	0	0	Pike
1943	Kentucky	US	04/13/2020	37.47088263	-82.39487445	4	0	0	Pike
1951	Kentucky	US	04/14/2020	37.47088263	-82.39487445	5	1	0	Pike
1961	Kentucky	US	04/15/2020	37.47088263	-82.39487445	5	1	0	Pike
1970	Kentucky	US	04/16/2020	37.47088263	-82.39487445	6	1	0	Pike
1972	Kentucky	US	04/17/2020	37.47088263	-82.39487445	6	1	0	Pike
1978	Kentucky	US	04/18/2020	37.47088263	-82.39487445	6	1	0	Pike
1990	Kentucky	US	04/19/2020	37.47088263	-82.39487445	6	1	0	Pike
1997	Kentucky	US	04/20/2020	37.47088263	-82.39487445	6	2	0	Pike
2006	Kentucky	US	04/21/2020	37.47088263	-82.39487445	6	2	0	Pike
2013	Kentucky	US	04/22/2020	37.47088263	-82.39487445	6	2	0	Pike
2026	Kentucky	US	04/23/2020	37.47088263	-82.39487445	6	2	0	Pike
2031	Kentucky	US	04/24/2020	37.47088263	-82.39487445	8	2	0	Pike
2036	Kentucky	US	04/25/2020	37.47088263	-82.39487445	8	2	0	Pike
2042	Kentucky	US	04/26/2020	37.47088263	-82.39487445	9	2	0	Pike
2045	Kentucky	US	04/27/2020	37.47088263	-82.39487445	9	2	0	Pike
2053	Kentucky	US	04/28/2020	37.47088263	-82.39487445	11	2	0	Pike
2056	Kentucky	US	04/29/2020	37.47088263	-82.39487445	11	2	0	Pike
2062	Kentucky	US	04/30/2020	37.47088263	-82.39487445	11	2	0	Pike
2071	Kentucky	US	05/01/2020	37.47088263	-82.39487445	13	2	0	Pike
2075	Kentucky	US	05/02/2020	37.47088263	-82.39487445	13	2	0	Pike
2078	Kentucky	US	05/03/2020	37.47088263	-82.39487445	13	2	0	Pike
2080	Kentucky	US	05/04/2020	37.47088263	-82.39487445	13	2	0	Pike
2086	Kentucky	US	05/05/2020	37.47088263	-82.39487445	13	2	0	Pike
2091	Kentucky	US	05/06/2020	37.47088263	-82.39487445	14	2	0	Pike
2095	Kentucky	US	05/07/2020	37.47088263	-82.39487445	15	2	0	Pike
2101	Kentucky	US	05/08/2020	37.47088263	-82.39487445	15	2	0	Pike
2102	Kentucky	US	05/09/2020	37.47088263	-82.39487445	15	2	0	Pike
2104	Kentucky	US	05/10/2020	37.47088263	-82.39487445	15	2	0	Pike
2104	Kentucky	US	05/11/2020	37.47088263	-82.39487445	15	2	0	Pike
2107	Kentucky	US	05/12/2020	37.47088263	-82.39487445	18	2	0	Pike
2107	Kentucky	US	05/13/2020	37.47088263	-82.39487445	18	2	0	Pike
2108	Kentucky	US	05/14/2020	37.47088263	-82.39487445	22	2	0	Pike
2112	Kentucky	US	05/15/2020	37.47088263	-82.39487445	23	2	0	Pike
2116	Kentucky	US	05/16/2020	37.47088263	-82.39487445	28	2	0	Pike
2118	Kentucky	US	05/17/2020	37.47088263	-82.39487445	28	2	0	Pike
2120	Kentucky	US	05/18/2020	37.47088263	-82.39487445	28	2	0	Pike
