	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1877	Kentucky	US	03/22/2020	36.8381152	-87.17878374	0	0	0	Todd
2809	Kentucky	US	03/23/2020	36.8381152	-87.17878374	0	0	0	Todd
2809	Kentucky	US	03/24/2020	36.8381152	-87.17878374	0	0	0	Todd
2809	Kentucky	US	03/25/2020	36.8381152	-87.17878374	0	0	0	Todd
2808	Kentucky	US	03/26/2020	36.8381152	-87.17878374	0	0	0	Todd
2808	Kentucky	US	03/27/2020	36.8381152	-87.17878374	0	0	0	Todd
2808	Kentucky	US	03/28/2020	36.8381152	-87.17878374	0	0	0	Todd
2808	Kentucky	US	03/29/2020	36.8381152	-87.17878374	0	0	0	Todd
2808	Kentucky	US	03/30/2020	36.8381152	-87.17878374	0	0	0	Todd
2311	Kentucky	US	04/09/2020	36.8381152	-87.17878374	3	0	0	Todd
2335	Kentucky	US	04/10/2020	36.8381152	-87.17878374	3	0	0	Todd
2360	Kentucky	US	04/11/2020	36.8381152	-87.17878374	3	0	0	Todd
2380	Kentucky	US	04/12/2020	36.8381152	-87.17878374	6	0	0	Todd
2394	Kentucky	US	04/13/2020	36.8381152	-87.17878374	6	0	0	Todd
2403	Kentucky	US	04/14/2020	36.8381152	-87.17878374	7	0	0	Todd
2415	Kentucky	US	04/15/2020	36.8381152	-87.17878374	8	0	0	Todd
2428	Kentucky	US	04/16/2020	36.8381152	-87.17878374	10	0	0	Todd
2431	Kentucky	US	04/17/2020	36.8381152	-87.17878374	9	0	0	Todd
2438	Kentucky	US	04/18/2020	36.8381152	-87.17878374	11	0	0	Todd
2454	Kentucky	US	04/19/2020	36.8381152	-87.17878374	9	0	0	Todd
2462	Kentucky	US	04/20/2020	36.8381152	-87.17878374	9	0	0	Todd
2471	Kentucky	US	04/21/2020	36.8381152	-87.17878374	9	0	0	Todd
2478	Kentucky	US	04/22/2020	36.8381152	-87.17878374	9	0	0	Todd
2495	Kentucky	US	04/23/2020	36.8381152	-87.17878374	9	0	0	Todd
2501	Kentucky	US	04/24/2020	36.8381152	-87.17878374	10	0	0	Todd
2506	Kentucky	US	04/25/2020	36.8381152	-87.17878374	10	0	0	Todd
2514	Kentucky	US	04/26/2020	36.8381152	-87.17878374	11	0	0	Todd
2521	Kentucky	US	04/27/2020	36.8381152	-87.17878374	11	0	0	Todd
2530	Kentucky	US	04/28/2020	36.8381152	-87.17878374	12	0	0	Todd
2535	Kentucky	US	04/29/2020	36.8381152	-87.17878374	12	0	0	Todd
2541	Kentucky	US	04/30/2020	36.8381152	-87.17878374	12	0	0	Todd
2552	Kentucky	US	05/01/2020	36.8381152	-87.17878374	12	0	0	Todd
2555	Kentucky	US	05/02/2020	36.8381152	-87.17878374	12	0	0	Todd
2560	Kentucky	US	05/03/2020	36.8381152	-87.17878374	12	0	0	Todd
2563	Kentucky	US	05/04/2020	36.8381152	-87.17878374	12	0	0	Todd
2571	Kentucky	US	05/05/2020	36.8381152	-87.17878374	13	0	0	Todd
2577	Kentucky	US	05/06/2020	36.8381152	-87.17878374	13	0	0	Todd
2583	Kentucky	US	05/07/2020	36.8381152	-87.17878374	13	0	0	Todd
2590	Kentucky	US	05/08/2020	36.8381152	-87.17878374	13	0	0	Todd
2591	Kentucky	US	05/09/2020	36.8381152	-87.17878374	14	0	0	Todd
2593	Kentucky	US	05/10/2020	36.8381152	-87.17878374	14	0	0	Todd
2593	Kentucky	US	05/11/2020	36.8381152	-87.17878374	15	0	0	Todd
2596	Kentucky	US	05/12/2020	36.8381152	-87.17878374	15	0	0	Todd
2597	Kentucky	US	05/13/2020	36.8381152	-87.17878374	15	0	0	Todd
2598	Kentucky	US	05/14/2020	36.8381152	-87.17878374	15	0	0	Todd
2603	Kentucky	US	05/15/2020	36.8381152	-87.17878374	17	0	0	Todd
2607	Kentucky	US	05/16/2020	36.8381152	-87.17878374	17	0	0	Todd
2610	Kentucky	US	05/17/2020	36.8381152	-87.17878374	17	0	0	Todd
2612	Kentucky	US	05/18/2020	36.8381152	-87.17878374	17	0	0	Todd
2616	Kentucky	US	05/19/2020	36.8381152	-87.17878374	17	0	0	Todd
2622	Kentucky	US	05/20/2020	36.8381152	-87.17878374	17	0	0	Todd
2624	Kentucky	US	05/21/2020	36.8381152	-87.17878374	16	0	0	Todd
2630	Kentucky	US	05/22/2020	36.8381152	-87.17878374	16	0	0	Todd
2632	Kentucky	US	05/23/2020	36.8381152	-87.17878374	16	0	0	Todd
2635	Kentucky	US	05/24/2020	36.8381152	-87.17878374	16	0	0	Todd
2636	Kentucky	US	05/25/2020	36.8381152	-87.17878374	16	0	0	Todd
2637	Kentucky	US	05/26/2020	36.8381152	-87.17878374	17	0	0	Todd
2640	Kentucky	US	05/27/2020	36.8381152	-87.17878374	17	0	0	Todd
2643	Kentucky	US	05/28/2020	36.8381152	-87.17878374	17	0	0	Todd
2646	Kentucky	US	05/29/2020	36.8381152	-87.17878374	17	0	0	Todd
2648	Kentucky	US	05/30/2020	36.8381152	-87.17878374	17	0	0	Todd
2649	Kentucky	US	05/31/2020	36.8381152	-87.17878374	17	0	0	Todd
2651	Kentucky	US	06/01/2020	36.8381152	-87.17878374	17	0	0	Todd
2656	Kentucky	US	06/02/2020	36.8381152	-87.17878374	17	0	0	Todd
2658	Kentucky	US	06/03/2020	36.8381152	-87.17878374	18	0	0	Todd
2659	Kentucky	US	06/04/2020	36.8381152	-87.17878374	23	0	0	Todd
2663	Kentucky	US	06/05/2020	36.8381152	-87.17878374	23	0	0	Todd
2665	Kentucky	US	06/06/2020	36.8381152	-87.17878374	23	0	0	Todd
2665	Kentucky	US	06/07/2020	36.8381152	-87.17878374	23	0	0	Todd
2665	Kentucky	US	06/08/2020	36.8381152	-87.17878374	23	0	0	Todd
2667	Kentucky	US	06/09/2020	36.8381152	-87.17878374	23	0	0	Todd
2669	Kentucky	US	06/10/2020	36.8381152	-87.17878374	23	0	0	Todd
2671	Kentucky	US	06/11/2020	36.8381152	-87.17878374	23	0	0	Todd
2685	Kentucky	US	06/12/2020	36.8381152	-87.17878374	23	0	0	Todd
2688	Kentucky	US	06/13/2020	36.8381152	-87.17878374	23	0	0	Todd
2688	Kentucky	US	06/14/2020	36.8381152	-87.17878374	23	0	0	Todd
2692	Kentucky	US	06/15/2020	36.8381152	-87.17878374	23	0	0	Todd
2690	Kentucky	US	06/16/2020	36.8381152	-87.17878374	23	0	0	Todd
2692	Kentucky	US	06/17/2020	36.8381152	-87.17878374	23	0	0	Todd
2692	Kentucky	US	06/18/2020	36.8381152	-87.17878374	23	0	0	Todd
2693	Kentucky	US	06/19/2020	36.8381152	-87.17878374	23	0	0	Todd
2697	Kentucky	US	06/20/2020	36.8381152	-87.17878374	23	0	0	Todd
2697	Kentucky	US	06/21/2020	36.8381152	-87.17878374	23	0	0	Todd
2700	Kentucky	US	06/22/2020	36.8381152	-87.17878374	23	0	0	Todd
2705	Kentucky	US	06/23/2020	36.8381152	-87.17878374	24	0	0	Todd
2716	Kentucky	US	06/24/2020	36.8381152	-87.17878374	24	0	0	Todd
2721	Kentucky	US	06/25/2020	36.8381152	-87.17878374	24	0	0	Todd
2722	Kentucky	US	06/26/2020	36.8381152	-87.17878374	25	0	0	Todd
2723	Kentucky	US	06/27/2020	36.8381152	-87.17878374	25	0	0	Todd
2723	Kentucky	US	06/28/2020	36.8381152	-87.17878374	25	0	0	Todd
2725	Kentucky	US	06/29/2020	36.8381152	-87.17878374	25	0	0	Todd
2727	Kentucky	US	06/30/2020	36.8381152	-87.17878374	25	0	0	Todd
