	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1882	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/22/2020
3020	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/23/2020
3019	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/24/2020
3019	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/25/2020
3016	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/26/2020
3023	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/27/2020
3020	Wayne	0	US	0	36.80310688	-84.8251971	Kentucky	0	03/28/2020
3024	Wayne	1	US	0	36.80310688	-84.8251971	Kentucky	0	03/29/2020
3028	Wayne	1	US	0	36.80310688	-84.8251971	Kentucky	0	03/30/2020
2065	Wayne	3	US	0	36.80310688	-84.8251971	Kentucky	0	03/31/2020
2113	Wayne	3	US	0	36.80310688	-84.8251971	Kentucky	0	04/01/2020
2192	Wayne	3	US	0	36.80310688	-84.8251971	Kentucky	0	04/02/2020
2243	Wayne	3	US	0	36.80310688	-84.8251971	Kentucky	0	04/03/2020
2297	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/04/2020
2376	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/05/2020
2417	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/06/2020
2465	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/07/2020
2490	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/08/2020
2517	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/09/2020
2543	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/10/2020
2566	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/11/2020
2590	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/12/2020
2604	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/13/2020
2615	Wayne	4	US	0	36.80310688	-84.8251971	Kentucky	0	04/14/2020
2628	Wayne	5	US	0	36.80310688	-84.8251971	Kentucky	0	04/15/2020
2643	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/16/2020
2645	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/17/2020
2653	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/18/2020
2670	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/19/2020
2679	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/20/2020
2688	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/21/2020
2695	Wayne	7	US	0	36.80310688	-84.8251971	Kentucky	0	04/22/2020
2715	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/23/2020
2723	Wayne	6	US	0	36.80310688	-84.8251971	Kentucky	0	04/24/2020
