	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1890	Louisiana	US	03/22/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/23/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/24/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/25/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/26/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/27/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/28/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/29/2020	31.44817835	-91.63814433	0	0	0	Concordia
621	Louisiana	US	03/30/2020	31.44817835	-91.63814433	0	0	0	Concordia
444	Louisiana	US	03/31/2020	31.44817835	-91.63814433	3	0	0	Concordia
456	Louisiana	US	04/01/2020	31.44817835	-91.63814433	5	0	0	Concordia
472	Louisiana	US	04/02/2020	31.44817835	-91.63814433	8	0	0	Concordia
478	Louisiana	US	04/03/2020	31.44817835	-91.63814433	10	1	0	Concordia
489	Louisiana	US	04/04/2020	31.44817835	-91.63814433	5	1	0	Concordia
504	Louisiana	US	04/05/2020	31.44817835	-91.63814433	5	1	0	Concordia
507	Louisiana	US	04/06/2020	31.44817835	-91.63814433	9	1	0	Concordia
516	Louisiana	US	04/07/2020	31.44817835	-91.63814433	11	1	0	Concordia
521	Louisiana	US	04/08/2020	31.44817835	-91.63814433	12	1	0	Concordia
524	Louisiana	US	04/09/2020	31.44817835	-91.63814433	13	1	0	Concordia
527	Louisiana	US	04/10/2020	31.44817835	-91.63814433	16	1	0	Concordia
532	Louisiana	US	04/11/2020	31.44817835	-91.63814433	17	1	0	Concordia
535	Louisiana	US	04/12/2020	31.44817835	-91.63814433	18	1	0	Concordia
538	Louisiana	US	04/13/2020	31.44817835	-91.63814433	19	1	0	Concordia
