	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
268	Louisiana	US	03/22/2020	30.25734305	-91.3499598	2	0	0	Iberville
1334	Louisiana	US	03/23/2020	30.25734305	-91.3499598	10	0	0	Iberville
1334	Louisiana	US	03/24/2020	30.25734305	-91.3499598	14	1	0	Iberville
1334	Louisiana	US	03/25/2020	30.25734305	-91.3499598	14	1	0	Iberville
1333	Louisiana	US	03/26/2020	30.25734305	-91.3499598	17	1	0	Iberville
1333	Louisiana	US	03/27/2020	30.25734305	-91.3499598	20	1	0	Iberville
1333	Louisiana	US	03/28/2020	30.25734305	-91.3499598	21	1	0	Iberville
1333	Louisiana	US	03/29/2020	30.25734305	-91.3499598	22	1	0	Iberville
1333	Louisiana	US	03/30/2020	30.25734305	-91.3499598	28	2	0	Iberville
894	Louisiana	US	03/31/2020	30.25734305	-91.3499598	35	3	0	Iberville
919	Louisiana	US	04/01/2020	30.25734305	-91.3499598	36	3	0	Iberville
955	Louisiana	US	04/02/2020	30.25734305	-91.3499598	69	4	0	Iberville
973	Louisiana	US	04/03/2020	30.25734305	-91.3499598	81	5	0	Iberville
995	Louisiana	US	04/04/2020	30.25734305	-91.3499598	119	5	0	Iberville
1032	Louisiana	US	04/05/2020	30.25734305	-91.3499598	122	5	0	Iberville
1047	Louisiana	US	04/06/2020	30.25734305	-91.3499598	136	6	0	Iberville
1069	Louisiana	US	04/07/2020	30.25734305	-91.3499598	160	8	0	Iberville
1081	Louisiana	US	04/08/2020	30.25734305	-91.3499598	171	9	0	Iberville
1090	Louisiana	US	04/09/2020	30.25734305	-91.3499598	187	9	0	Iberville
1097	Louisiana	US	04/10/2020	30.25734305	-91.3499598	198	10	0	Iberville
1109	Louisiana	US	04/11/2020	30.25734305	-91.3499598	214	12	0	Iberville
1117	Louisiana	US	04/12/2020	30.25734305	-91.3499598	232	14	0	Iberville
1126	Louisiana	US	04/13/2020	30.25734305	-91.3499598	241	16	0	Iberville
1129	Louisiana	US	04/14/2020	30.25734305	-91.3499598	253	17	0	Iberville
1135	Louisiana	US	04/15/2020	30.25734305	-91.3499598	256	17	0	Iberville
1138	Louisiana	US	04/16/2020	30.25734305	-91.3499598	258	18	0	Iberville
1139	Louisiana	US	04/17/2020	30.25734305	-91.3499598	267	19	0	Iberville
1144	Louisiana	US	04/18/2020	30.25734305	-91.3499598	270	21	0	Iberville
1154	Louisiana	US	04/19/2020	30.25734305	-91.3499598	274	21	0	Iberville
1158	Louisiana	US	04/20/2020	30.25734305	-91.3499598	282	21	0	Iberville
1164	Louisiana	US	04/21/2020	30.25734305	-91.3499598	281	21	0	Iberville
1168	Louisiana	US	04/22/2020	30.25734305	-91.3499598	297	22	0	Iberville
1176	Louisiana	US	04/23/2020	30.25734305	-91.3499598	299	23	0	Iberville
1178	Louisiana	US	04/24/2020	30.25734305	-91.3499598	339	25	0	Iberville
1179	Louisiana	US	04/25/2020	30.25734305	-91.3499598	433	26	0	Iberville
1184	Louisiana	US	04/26/2020	30.25734305	-91.3499598	433	26	0	Iberville
1186	Louisiana	US	04/27/2020	30.25734305	-91.3499598	442	26	0	Iberville
1191	Louisiana	US	04/28/2020	30.25734305	-91.3499598	443	27	0	Iberville
1193	Louisiana	US	04/29/2020	30.25734305	-91.3499598	448	29	0	Iberville
1199	Louisiana	US	04/30/2020	30.25734305	-91.3499598	450	30	0	Iberville
1205	Louisiana	US	05/01/2020	30.25734305	-91.3499598	459	30	0	Iberville
1208	Louisiana	US	05/02/2020	30.25734305	-91.3499598	472	32	0	Iberville
1210	Louisiana	US	05/03/2020	30.25734305	-91.3499598	476	32	0	Iberville
1212	Louisiana	US	05/04/2020	30.25734305	-91.3499598	482	32	0	Iberville
1217	Louisiana	US	05/05/2020	30.25734305	-91.3499598	484	32	0	Iberville
1220	Louisiana	US	05/06/2020	30.25734305	-91.3499598	489	32	0	Iberville
1223	Louisiana	US	05/07/2020	30.25734305	-91.3499598	492	33	0	Iberville
1227	Louisiana	US	05/08/2020	30.25734305	-91.3499598	493	35	0	Iberville
1227	Louisiana	US	05/09/2020	30.25734305	-91.3499598	495	36	0	Iberville
1228	Louisiana	US	05/10/2020	30.25734305	-91.3499598	499	36	0	Iberville
1228	Louisiana	US	05/11/2020	30.25734305	-91.3499598	501	36	0	Iberville
1229	Louisiana	US	05/12/2020	30.25734305	-91.3499598	504	37	0	Iberville
1229	Louisiana	US	05/13/2020	30.25734305	-91.3499598	507	38	0	Iberville
1230	Louisiana	US	05/14/2020	30.25734305	-91.3499598	537	38	0	Iberville
1234	Louisiana	US	05/15/2020	30.25734305	-91.3499598	543	38	0	Iberville
1235	Louisiana	US	05/16/2020	30.25734305	-91.3499598	524	38	0	Iberville
1236	Louisiana	US	05/17/2020	30.25734305	-91.3499598	526	38	0	Iberville
1237	Louisiana	US	05/18/2020	30.25734305	-91.3499598	527	38	0	Iberville
1239	Louisiana	US	05/19/2020	30.25734305	-91.3499598	528	38	0	Iberville
1242	Louisiana	US	05/20/2020	30.25734305	-91.3499598	531	38	0	Iberville
1242	Louisiana	US	05/21/2020	30.25734305	-91.3499598	540	39	0	Iberville
1247	Louisiana	US	05/22/2020	30.25734305	-91.3499598	541	39	0	Iberville
1248	Louisiana	US	05/23/2020	30.25734305	-91.3499598	541	39	0	Iberville
1250	Louisiana	US	05/24/2020	30.25734305	-91.3499598	546	40	0	Iberville
1250	Louisiana	US	05/25/2020	30.25734305	-91.3499598	554	40	0	Iberville
1251	Louisiana	US	05/26/2020	30.25734305	-91.3499598	556	40	0	Iberville
1252	Louisiana	US	05/27/2020	30.25734305	-91.3499598	559	40	0	Iberville
1252	Louisiana	US	05/28/2020	30.25734305	-91.3499598	563	41	0	Iberville
1255	Louisiana	US	05/29/2020	30.25734305	-91.3499598	563	41	0	Iberville
1256	Louisiana	US	05/30/2020	30.25734305	-91.3499598	564	41	0	Iberville
1257	Louisiana	US	05/31/2020	30.25734305	-91.3499598	567	41	0	Iberville
1259	Louisiana	US	06/01/2020	30.25734305	-91.3499598	577	41	0	Iberville
1261	Louisiana	US	06/02/2020	30.25734305	-91.3499598	578	41	0	Iberville
1262	Louisiana	US	06/03/2020	30.25734305	-91.3499598	579	42	0	Iberville
1263	Louisiana	US	06/04/2020	30.25734305	-91.3499598	584	42	0	Iberville
1265	Louisiana	US	06/05/2020	30.25734305	-91.3499598	588	42	0	Iberville
1265	Louisiana	US	06/06/2020	30.25734305	-91.3499598	593	42	0	Iberville
