	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1895	Jackson	0	US	0	32.30251776	-92.55692092	Louisiana	0	03/22/2020
1374	Jackson	0	US	0	32.30251776	-92.55692092	Louisiana	0	03/23/2020
1374	Jackson	0	US	0	32.30251776	-92.55692092	Louisiana	0	03/24/2020
1374	Jackson	1	US	0	32.30251776	-92.55692092	Louisiana	0	03/25/2020
1373	Jackson	1	US	0	32.30251776	-92.55692092	Louisiana	0	03/26/2020
1373	Jackson	3	US	0	32.30251776	-92.55692092	Louisiana	0	03/27/2020
1373	Jackson	2	US	0	32.30251776	-92.55692092	Louisiana	0	03/28/2020
1373	Jackson	2	US	0	32.30251776	-92.55692092	Louisiana	0	03/29/2020
1373	Jackson	2	US	0	32.30251776	-92.55692092	Louisiana	0	03/30/2020
924	Jackson	3	US	0	32.30251776	-92.55692092	Louisiana	0	03/31/2020
949	Jackson	4	US	0	32.30251776	-92.55692092	Louisiana	0	04/01/2020
985	Jackson	4	US	0	32.30251776	-92.55692092	Louisiana	0	04/02/2020
1003	Jackson	4	US	0	32.30251776	-92.55692092	Louisiana	0	04/03/2020
1025	Jackson	1	US	0	32.30251776	-92.55692092	Louisiana	0	04/04/2020
1062	Jackson	1	US	0	32.30251776	-92.55692092	Louisiana	0	04/05/2020
1077	Jackson	4	US	0	32.30251776	-92.55692092	Louisiana	0	04/06/2020
1100	Jackson	5	US	0	32.30251776	-92.55692092	Louisiana	0	04/07/2020
1112	Jackson	5	US	0	32.30251776	-92.55692092	Louisiana	0	04/08/2020
1123	Jackson	7	US	0	32.30251776	-92.55692092	Louisiana	0	04/09/2020
1130	Jackson	8	US	0	32.30251776	-92.55692092	Louisiana	0	04/10/2020
1143	Jackson	8	US	0	32.30251776	-92.55692092	Louisiana	0	04/11/2020
1151	Jackson	8	US	0	32.30251776	-92.55692092	Louisiana	0	04/12/2020
1160	Jackson	8	US	0	32.30251776	-92.55692092	Louisiana	0	04/13/2020
1164	Jackson	9	US	0	32.30251776	-92.55692092	Louisiana	0	04/14/2020
1170	Jackson	11	US	0	32.30251776	-92.55692092	Louisiana	0	04/15/2020
1173	Jackson	12	US	0	32.30251776	-92.55692092	Louisiana	0	04/16/2020
1173	Jackson	14	US	0	32.30251776	-92.55692092	Louisiana	0	04/17/2020
1178	Jackson	14	US	0	32.30251776	-92.55692092	Louisiana	0	04/18/2020
1188	Jackson	14	US	0	32.30251776	-92.55692092	Louisiana	0	04/19/2020
1192	Jackson	15	US	0	32.30251776	-92.55692092	Louisiana	0	04/20/2020
1198	Jackson	15	US	0	32.30251776	-92.55692092	Louisiana	0	04/21/2020
1202	Jackson	16	US	0	32.30251776	-92.55692092	Louisiana	0	04/22/2020
1210	Jackson	21	US	0	32.30251776	-92.55692092	Louisiana	0	04/23/2020
1212	Jackson	22	US	0	32.30251776	-92.55692092	Louisiana	0	04/24/2020
