	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1902	Louisiana	US	03/22/2020	30.71409502	-91.60209535	0	0	0	Pointe Coupee
2300	Louisiana	US	03/23/2020	30.71409502	-91.60209535	0	0	0	Pointe Coupee
2300	Louisiana	US	03/24/2020	30.71409502	-91.60209535	0	0	0	Pointe Coupee
2300	Louisiana	US	03/25/2020	30.71409502	-91.60209535	0	0	0	Pointe Coupee
2299	Louisiana	US	03/26/2020	30.71409502	-91.60209535	1	0	0	Pointe Coupee
2299	Louisiana	US	03/27/2020	30.71409502	-91.60209535	1	0	0	Pointe Coupee
2299	Louisiana	US	03/28/2020	30.71409502	-91.60209535	2	0	0	Pointe Coupee
2299	Louisiana	US	03/29/2020	30.71409502	-91.60209535	2	0	0	Pointe Coupee
2299	Louisiana	US	03/30/2020	30.71409502	-91.60209535	2	0	0	Pointe Coupee
1554	Louisiana	US	03/31/2020	30.71409502	-91.60209535	7	0	0	Pointe Coupee
1594	Louisiana	US	04/01/2020	30.71409502	-91.60209535	7	0	0	Pointe Coupee
1656	Louisiana	US	04/02/2020	30.71409502	-91.60209535	12	0	0	Pointe Coupee
1696	Louisiana	US	04/03/2020	30.71409502	-91.60209535	13	0	0	Pointe Coupee
1739	Louisiana	US	04/04/2020	30.71409502	-91.60209535	16	0	0	Pointe Coupee
1799	Louisiana	US	04/05/2020	30.71409502	-91.60209535	17	0	0	Pointe Coupee
1828	Louisiana	US	04/06/2020	30.71409502	-91.60209535	24	0	0	Pointe Coupee
1867	Louisiana	US	04/07/2020	30.71409502	-91.60209535	26	0	0	Pointe Coupee
1882	Louisiana	US	04/08/2020	30.71409502	-91.60209535	27	0	0	Pointe Coupee
1902	Louisiana	US	04/09/2020	30.71409502	-91.60209535	32	1	0	Pointe Coupee
1918	Louisiana	US	04/10/2020	30.71409502	-91.60209535	38	2	0	Pointe Coupee
1940	Louisiana	US	04/11/2020	30.71409502	-91.60209535	40	2	0	Pointe Coupee
1953	Louisiana	US	04/12/2020	30.71409502	-91.60209535	43	2	0	Pointe Coupee
1967	Louisiana	US	04/13/2020	30.71409502	-91.60209535	47	2	0	Pointe Coupee
1975	Louisiana	US	04/14/2020	30.71409502	-91.60209535	49	4	0	Pointe Coupee
1985	Louisiana	US	04/15/2020	30.71409502	-91.60209535	53	4	0	Pointe Coupee
1994	Louisiana	US	04/16/2020	30.71409502	-91.60209535	60	5	0	Pointe Coupee
1996	Louisiana	US	04/17/2020	30.71409502	-91.60209535	62	5	0	Pointe Coupee
2002	Louisiana	US	04/18/2020	30.71409502	-91.60209535	64	5	0	Pointe Coupee
2015	Louisiana	US	04/19/2020	30.71409502	-91.60209535	69	6	0	Pointe Coupee
2022	Louisiana	US	04/20/2020	30.71409502	-91.60209535	71	7	0	Pointe Coupee
2031	Louisiana	US	04/21/2020	30.71409502	-91.60209535	80	10	0	Pointe Coupee
2038	Louisiana	US	04/22/2020	30.71409502	-91.60209535	84	10	0	Pointe Coupee
2051	Louisiana	US	04/23/2020	30.71409502	-91.60209535	86	11	0	Pointe Coupee
2056	Louisiana	US	04/24/2020	30.71409502	-91.60209535	88	10	0	Pointe Coupee
2061	Louisiana	US	04/25/2020	30.71409502	-91.60209535	89	11	0	Pointe Coupee
2067	Louisiana	US	04/26/2020	30.71409502	-91.60209535	89	12	0	Pointe Coupee
2072	Louisiana	US	04/27/2020	30.71409502	-91.60209535	94	12	0	Pointe Coupee
2080	Louisiana	US	04/28/2020	30.71409502	-91.60209535	98	15	0	Pointe Coupee
2083	Louisiana	US	04/29/2020	30.71409502	-91.60209535	98	15	0	Pointe Coupee
2089	Louisiana	US	04/30/2020	30.71409502	-91.60209535	99	15	0	Pointe Coupee
2098	Louisiana	US	05/01/2020	30.71409502	-91.60209535	104	15	0	Pointe Coupee
2102	Louisiana	US	05/02/2020	30.71409502	-91.60209535	101	15	0	Pointe Coupee
2105	Louisiana	US	05/03/2020	30.71409502	-91.60209535	103	15	0	Pointe Coupee
2107	Louisiana	US	05/04/2020	30.71409502	-91.60209535	108	16	0	Pointe Coupee
2113	Louisiana	US	05/05/2020	30.71409502	-91.60209535	114	17	0	Pointe Coupee
2118	Louisiana	US	05/06/2020	30.71409502	-91.60209535	117	17	0	Pointe Coupee
2122	Louisiana	US	05/07/2020	30.71409502	-91.60209535	120	17	0	Pointe Coupee
2128	Louisiana	US	05/08/2020	30.71409502	-91.60209535	125	17	0	Pointe Coupee
2129	Louisiana	US	05/09/2020	30.71409502	-91.60209535	126	17	0	Pointe Coupee
2131	Louisiana	US	05/10/2020	30.71409502	-91.60209535	126	17	0	Pointe Coupee
2131	Louisiana	US	05/11/2020	30.71409502	-91.60209535	136	17	0	Pointe Coupee
2134	Louisiana	US	05/12/2020	30.71409502	-91.60209535	138	17	0	Pointe Coupee
2134	Louisiana	US	05/13/2020	30.71409502	-91.60209535	139	16	0	Pointe Coupee
2135	Louisiana	US	05/14/2020	30.71409502	-91.60209535	152	17	0	Pointe Coupee
2139	Louisiana	US	05/15/2020	30.71409502	-91.60209535	155	18	0	Pointe Coupee
2143	Louisiana	US	05/16/2020	30.71409502	-91.60209535	163	20	0	Pointe Coupee
2145	Louisiana	US	05/17/2020	30.71409502	-91.60209535	168	20	0	Pointe Coupee
2147	Louisiana	US	05/18/2020	30.71409502	-91.60209535	169	20	0	Pointe Coupee
2149	Louisiana	US	05/19/2020	30.71409502	-91.60209535	173	21	0	Pointe Coupee
2155	Louisiana	US	05/20/2020	30.71409502	-91.60209535	179	21	0	Pointe Coupee
2156	Louisiana	US	05/21/2020	30.71409502	-91.60209535	181	22	0	Pointe Coupee
2160	Louisiana	US	05/22/2020	30.71409502	-91.60209535	182	22	0	Pointe Coupee
2162	Louisiana	US	05/23/2020	30.71409502	-91.60209535	182	22	0	Pointe Coupee
2165	Louisiana	US	05/24/2020	30.71409502	-91.60209535	182	22	0	Pointe Coupee
2165	Louisiana	US	05/25/2020	30.71409502	-91.60209535	186	22	0	Pointe Coupee
2166	Louisiana	US	05/26/2020	30.71409502	-91.60209535	188	22	0	Pointe Coupee
2168	Louisiana	US	05/27/2020	30.71409502	-91.60209535	189	24	0	Pointe Coupee
2170	Louisiana	US	05/28/2020	30.71409502	-91.60209535	192	24	0	Pointe Coupee
2173	Louisiana	US	05/29/2020	30.71409502	-91.60209535	192	24	0	Pointe Coupee
2175	Louisiana	US	05/30/2020	30.71409502	-91.60209535	195	24	0	Pointe Coupee
2176	Louisiana	US	05/31/2020	30.71409502	-91.60209535	197	24	0	Pointe Coupee
2178	Louisiana	US	06/01/2020	30.71409502	-91.60209535	199	24	0	Pointe Coupee
2182	Louisiana	US	06/02/2020	30.71409502	-91.60209535	205	25	0	Pointe Coupee
2184	Louisiana	US	06/03/2020	30.71409502	-91.60209535	205	25	0	Pointe Coupee
2185	Louisiana	US	06/04/2020	30.71409502	-91.60209535	207	25	0	Pointe Coupee
2187	Louisiana	US	06/05/2020	30.71409502	-91.60209535	208	25	0	Pointe Coupee
2188	Louisiana	US	06/06/2020	30.71409502	-91.60209535	212	25	0	Pointe Coupee
2188	Louisiana	US	06/07/2020	30.71409502	-91.60209535	213	25	0	Pointe Coupee
2188	Louisiana	US	06/08/2020	30.71409502	-91.60209535	214	25	0	Pointe Coupee
2189	Louisiana	US	06/09/2020	30.71409502	-91.60209535	215	25	0	Pointe Coupee
2191	Louisiana	US	06/10/2020	30.71409502	-91.60209535	217	25	0	Pointe Coupee
2192	Louisiana	US	06/11/2020	30.71409502	-91.60209535	217	25	0	Pointe Coupee
2203	Louisiana	US	06/12/2020	30.71409502	-91.60209535	217	25	0	Pointe Coupee
2205	Louisiana	US	06/13/2020	30.71409502	-91.60209535	218	25	0	Pointe Coupee
2205	Louisiana	US	06/14/2020	30.71409502	-91.60209535	218	25	0	Pointe Coupee
2208	Louisiana	US	06/15/2020	30.71409502	-91.60209535	221	25	0	Pointe Coupee
2206	Louisiana	US	06/16/2020	30.71409502	-91.60209535	223	25	0	Pointe Coupee
2208	Louisiana	US	06/17/2020	30.71409502	-91.60209535	224	27	0	Pointe Coupee
2208	Louisiana	US	06/18/2020	30.71409502	-91.60209535	224	27	0	Pointe Coupee
2208	Louisiana	US	06/19/2020	30.71409502	-91.60209535	218	27	0	Pointe Coupee
2212	Louisiana	US	06/20/2020	30.71409502	-91.60209535	222	27	0	Pointe Coupee
2212	Louisiana	US	06/21/2020	30.71409502	-91.60209535	222	27	0	Pointe Coupee
2214	Louisiana	US	06/22/2020	30.71409502	-91.60209535	224	27	0	Pointe Coupee
2218	Louisiana	US	06/23/2020	30.71409502	-91.60209535	225	27	0	Pointe Coupee
2228	Louisiana	US	06/24/2020	30.71409502	-91.60209535	226	27	0	Pointe Coupee
2233	Louisiana	US	06/25/2020	30.71409502	-91.60209535	229	27	0	Pointe Coupee
2234	Louisiana	US	06/26/2020	30.71409502	-91.60209535	231	27	0	Pointe Coupee
2235	Louisiana	US	06/27/2020	30.71409502	-91.60209535	231	27	0	Pointe Coupee
2235	Louisiana	US	06/28/2020	30.71409502	-91.60209535	234	27	0	Pointe Coupee
2236	Louisiana	US	06/29/2020	30.71409502	-91.60209535	237	27	0	Pointe Coupee
2238	Louisiana	US	06/30/2020	30.71409502	-91.60209535	245	27	0	Pointe Coupee
2238	Louisiana	US	07/01/2020	30.71409502	-91.60209535	256	27	0	Pointe Coupee
2240	Louisiana	US	07/02/2020	30.71409502	-91.60209535	264	28	0	Pointe Coupee
2243	Louisiana	US	07/03/2020	30.71409502	-91.60209535	274	28	0	Pointe Coupee
2244	Louisiana	US	07/04/2020	30.71409502	-91.60209535	274	28	0	Pointe Coupee
2244	Louisiana	US	07/05/2020	30.71409502	-91.60209535	289	28	0	Pointe Coupee
2247	Louisiana	US	07/06/2020	30.71409502	-91.60209535	296	28	0	Pointe Coupee
2247	Louisiana	US	07/07/2020	30.71409502	-91.60209535	308	28	0	Pointe Coupee
2250	Louisiana	US	07/08/2020	30.71409502	-91.60209535	314	28	0	Pointe Coupee
2249	Louisiana	US	07/09/2020	30.71409502	-91.60209535	329	28	0	Pointe Coupee
2252	Louisiana	US	07/10/2020	30.71409502	-91.60209535	342	28	0	Pointe Coupee
2253	Louisiana	US	07/11/2020	30.71409502	-91.60209535	371	28	0	Pointe Coupee
2255	Louisiana	US	07/12/2020	30.71409502	-91.60209535	377	28	0	Pointe Coupee
2257	Louisiana	US	07/13/2020	30.71409502	-91.60209535	393	28	0	Pointe Coupee
2260	Louisiana	US	07/14/2020	30.71409502	-91.60209535	413	28	0	Pointe Coupee
2260	Louisiana	US	07/15/2020	30.71409502	-91.60209535	430	28	0	Pointe Coupee
