	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1019	Penobscot	2	US	0	45.40194593	-68.65020455	Maine	0	03/22/2020
2227	Penobscot	3	US	0	45.40194593	-68.65020455	Maine	0	03/23/2020
2227	Penobscot	4	US	0	45.40194593	-68.65020455	Maine	0	03/24/2020
2227	Penobscot	4	US	0	45.40194593	-68.65020455	Maine	0	03/25/2020
2226	Penobscot	5	US	0	45.40194593	-68.65020455	Maine	0	03/26/2020
2226	Penobscot	6	US	0	45.40194593	-68.65020455	Maine	0	03/27/2020
2226	Penobscot	10	US	0	45.40194593	-68.65020455	Maine	0	03/28/2020
2226	Penobscot	11	US	0	45.40194593	-68.65020455	Maine	0	03/29/2020
2226	Penobscot	12	US	0	45.40194593	-68.65020455	Maine	0	03/30/2020
1511	Penobscot	12	US	0	45.40194593	-68.65020455	Maine	0	03/31/2020
1550	Penobscot	12	US	0	45.40194593	-68.65020455	Maine	0	04/01/2020
1611	Penobscot	16	US	0	45.40194593	-68.65020455	Maine	0	04/02/2020
1648	Penobscot	20	US	0	45.40194593	-68.65020455	Maine	0	04/03/2020
1688	Penobscot	22	US	0	45.40194593	-68.65020455	Maine	0	04/04/2020
1743	Penobscot	22	US	0	45.40194593	-68.65020455	Maine	0	04/05/2020
1771	Penobscot	25	US	0	45.40194593	-68.65020455	Maine	0	04/06/2020
1809	Penobscot	31	US	0	45.40194593	-68.65020455	Maine	0	04/07/2020
1825	Penobscot	31	US	0	45.40194593	-68.65020455	Maine	0	04/08/2020
1845	Penobscot	31	US	0	45.40194593	-68.65020455	Maine	0	04/09/2020
1859	Penobscot	33	US	0	45.40194593	-68.65020455	Maine	0	04/10/2020
1878	Penobscot	34	US	0	45.40194593	-68.65020455	Maine	0	04/11/2020
1890	Penobscot	34	US	0	45.40194593	-68.65020455	Maine	0	04/12/2020
1904	Penobscot	34	US	0	45.40194593	-68.65020455	Maine	0	04/13/2020
1912	Penobscot	34	US	0	45.40194593	-68.65020455	Maine	0	04/14/2020
1922	Penobscot	36	US	0	45.40194593	-68.65020455	Maine	0	04/15/2020
1931	Penobscot	37	US	0	45.40194593	-68.65020455	Maine	0	04/16/2020
1933	Penobscot	40	US	0	45.40194593	-68.65020455	Maine	0	04/17/2020
1939	Penobscot	41	US	0	45.40194593	-68.65020455	Maine	0	04/18/2020
1951	Penobscot	43	US	0	45.40194593	-68.65020455	Maine	0	04/19/2020
1958	Penobscot	44	US	0	45.40194593	-68.65020455	Maine	0	04/20/2020
1967	Penobscot	46	US	0	45.40194593	-68.65020455	Maine	0	04/21/2020
1974	Penobscot	47	US	0	45.40194593	-68.65020455	Maine	0	04/22/2020
1986	Penobscot	49	US	0	45.40194593	-68.65020455	Maine	0	04/23/2020
1991	Penobscot	50	US	0	45.40194593	-68.65020455	Maine	0	04/24/2020
