	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
659	Calvert	2	US	0	38.53961642	-76.56820632	Maryland	0	03/22/2020
362	Calvert	1	US	0	38.53961642	-76.56820632	Maryland	0	03/23/2020
362	Calvert	3	US	0	38.53961642	-76.56820632	Maryland	0	03/24/2020
362	Calvert	3	US	0	38.53961642	-76.56820632	Maryland	0	03/25/2020
362	Calvert	7	US	0	38.53961642	-76.56820632	Maryland	0	03/26/2020
362	Calvert	9	US	0	38.53961642	-76.56820632	Maryland	0	03/27/2020
362	Calvert	8	US	0	38.53961642	-76.56820632	Maryland	0	03/28/2020
362	Calvert	10	US	0	38.53961642	-76.56820632	Maryland	0	03/29/2020
362	Calvert	12	US	0	38.53961642	-76.56820632	Maryland	0	03/30/2020
251	Calvert	15	US	0	38.53961642	-76.56820632	Maryland	0	03/31/2020
259	Calvert	18	US	0	38.53961642	-76.56820632	Maryland	0	04/01/2020
267	Calvert	22	US	1	38.53961642	-76.56820632	Maryland	0	04/02/2020
269	Calvert	30	US	1	38.53961642	-76.56820632	Maryland	0	04/03/2020
274	Calvert	33	US	1	38.53961642	-76.56820632	Maryland	0	04/04/2020
286	Calvert	39	US	1	38.53961642	-76.56820632	Maryland	0	04/05/2020
287	Calvert	40	US	1	38.53961642	-76.56820632	Maryland	0	04/06/2020
294	Calvert	41	US	1	38.53961642	-76.56820632	Maryland	0	04/07/2020
298	Calvert	56	US	1	38.53961642	-76.56820632	Maryland	0	04/08/2020
301	Calvert	66	US	1	38.53961642	-76.56820632	Maryland	0	04/09/2020
302	Calvert	76	US	1	38.53961642	-76.56820632	Maryland	0	04/10/2020
305	Calvert	82	US	1	38.53961642	-76.56820632	Maryland	0	04/11/2020
308	Calvert	90	US	1	38.53961642	-76.56820632	Maryland	0	04/12/2020
310	Calvert	94	US	1	38.53961642	-76.56820632	Maryland	0	04/13/2020
311	Calvert	99	US	1	38.53961642	-76.56820632	Maryland	0	04/14/2020
313	Calvert	102	US	1	38.53961642	-76.56820632	Maryland	0	04/15/2020
313	Calvert	103	US	1	38.53961642	-76.56820632	Maryland	0	04/16/2020
315	Calvert	109	US	2	38.53961642	-76.56820632	Maryland	0	04/17/2020
316	Calvert	109	US	2	38.53961642	-76.56820632	Maryland	0	04/18/2020
316	Calvert	113	US	3	38.53961642	-76.56820632	Maryland	0	04/19/2020
316	Calvert	114	US	3	38.53961642	-76.56820632	Maryland	0	04/20/2020
317	Calvert	116	US	4	38.53961642	-76.56820632	Maryland	0	04/21/2020
318	Calvert	118	US	5	38.53961642	-76.56820632	Maryland	0	04/22/2020
318	Calvert	121	US	6	38.53961642	-76.56820632	Maryland	0	04/23/2020
318	Calvert	125	US	6	38.53961642	-76.56820632	Maryland	0	04/24/2020
318	Calvert	130	US	7	38.53961642	-76.56820632	Maryland	0	04/25/2020
319	Calvert	134	US	7	38.53961642	-76.56820632	Maryland	0	04/26/2020
319	Calvert	138	US	7	38.53961642	-76.56820632	Maryland	0	04/27/2020
320	Calvert	139	US	8	38.53961642	-76.56820632	Maryland	0	04/28/2020
320	Calvert	142	US	8	38.53961642	-76.56820632	Maryland	0	04/29/2020
320	Calvert	150	US	8	38.53961642	-76.56820632	Maryland	0	04/30/2020
323	Calvert	161	US	9	38.53961642	-76.56820632	Maryland	0	05/01/2020
324	Calvert	160	US	11	38.53961642	-76.56820632	Maryland	0	05/02/2020
325	Calvert	162	US	11	38.53961642	-76.56820632	Maryland	0	05/03/2020
326	Calvert	171	US	11	38.53961642	-76.56820632	Maryland	0	05/04/2020
328	Calvert	174	US	11	38.53961642	-76.56820632	Maryland	0	05/05/2020
329	Calvert	184	US	11	38.53961642	-76.56820632	Maryland	0	05/06/2020
330	Calvert	188	US	11	38.53961642	-76.56820632	Maryland	0	05/07/2020
330	Calvert	191	US	11	38.53961642	-76.56820632	Maryland	0	05/08/2020
330	Calvert	202	US	11	38.53961642	-76.56820632	Maryland	0	05/09/2020
331	Calvert	206	US	11	38.53961642	-76.56820632	Maryland	0	05/10/2020
331	Calvert	209	US	11	38.53961642	-76.56820632	Maryland	0	05/11/2020
331	Calvert	211	US	13	38.53961642	-76.56820632	Maryland	0	05/12/2020
331	Calvert	214	US	13	38.53961642	-76.56820632	Maryland	0	05/13/2020
332	Calvert	225	US	13	38.53961642	-76.56820632	Maryland	0	05/14/2020
