	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
290	Massachusetts	US	03/22/2020	41.72980578	-70.28854339	24	0	0	Barnstable
134	Massachusetts	US	03/23/2020	41.72980578	-70.28854339	30	0	0	Barnstable
134	Massachusetts	US	03/24/2020	41.72980578	-70.28854339	40	0	0	Barnstable
134	Massachusetts	US	03/25/2020	41.72980578	-70.28854339	51	1	0	Barnstable
134	Massachusetts	US	03/26/2020	41.72980578	-70.28854339	67	1	0	Barnstable
134	Massachusetts	US	03/27/2020	41.72980578	-70.28854339	100	2	0	Barnstable
134	Massachusetts	US	03/28/2020	41.72980578	-70.28854339	133	2	0	Barnstable
134	Massachusetts	US	03/29/2020	41.72980578	-70.28854339	148	2	0	Barnstable
134	Massachusetts	US	03/30/2020	41.72980578	-70.28854339	173	2	0	Barnstable
93	Massachusetts	US	03/31/2020	41.72980578	-70.28854339	191	2	0	Barnstable
97	Massachusetts	US	04/01/2020	41.72980578	-70.28854339	255	3	0	Barnstable
102	Massachusetts	US	04/02/2020	41.72980578	-70.28854339	283	3	0	Barnstable
103	Massachusetts	US	04/03/2020	41.72980578	-70.28854339	314	6	0	Barnstable
106	Massachusetts	US	04/04/2020	41.72980578	-70.28854339	330	6	0	Barnstable
109	Massachusetts	US	04/05/2020	41.72980578	-70.28854339	347	6	0	Barnstable
109	Massachusetts	US	04/06/2020	41.72980578	-70.28854339	383	7	0	Barnstable
111	Massachusetts	US	04/07/2020	41.72980578	-70.28854339	405	10	0	Barnstable
112	Massachusetts	US	04/08/2020	41.72980578	-70.28854339	423	11	0	Barnstable
113	Massachusetts	US	04/09/2020	41.72980578	-70.28854339	444	11	0	Barnstable
113	Massachusetts	US	04/10/2020	41.72980578	-70.28854339	464	11	0	Barnstable
115	Massachusetts	US	04/11/2020	41.72980578	-70.28854339	480	15	0	Barnstable
115	Massachusetts	US	04/12/2020	41.72980578	-70.28854339	501	16	0	Barnstable
116	Massachusetts	US	04/13/2020	41.72980578	-70.28854339	502	16	0	Barnstable
117	Massachusetts	US	04/14/2020	41.72980578	-70.28854339	514	16	0	Barnstable
118	Massachusetts	US	04/15/2020	41.72980578	-70.28854339	530	18	0	Barnstable
118	Massachusetts	US	04/16/2020	41.72980578	-70.28854339	550	18	0	Barnstable
121	Massachusetts	US	04/17/2020	41.72980578	-70.28854339	573	18	0	Barnstable
121	Massachusetts	US	04/18/2020	41.72980578	-70.28854339	590	20	0	Barnstable
121	Massachusetts	US	04/19/2020	41.72980578	-70.28854339	632	21	0	Barnstable
121	Massachusetts	US	04/20/2020	41.72980578	-70.28854339	632	21	0	Barnstable
122	Massachusetts	US	04/21/2020	41.72980578	-70.28854339	672	22	0	Barnstable
122	Massachusetts	US	04/22/2020	41.72980578	-70.28854339	678	22	0	Barnstable
