	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
294	Massachusetts	US	03/22/2020	42.13440424	-72.63235561	12	0	0	Hampden
1171	Massachusetts	US	03/23/2020	42.13440424	-72.63235561	15	0	0	Hampden
1171	Massachusetts	US	03/24/2020	42.13440424	-72.63235561	24	0	0	Hampden
1171	Massachusetts	US	03/25/2020	42.13440424	-72.63235561	45	0	0	Hampden
1170	Massachusetts	US	03/26/2020	42.13440424	-72.63235561	55	1	0	Hampden
1170	Massachusetts	US	03/27/2020	42.13440424	-72.63235561	90	1	0	Hampden
1170	Massachusetts	US	03/28/2020	42.13440424	-72.63235561	183	4	0	Hampden
1170	Massachusetts	US	03/29/2020	42.13440424	-72.63235561	201	4	0	Hampden
1170	Massachusetts	US	03/30/2020	42.13440424	-72.63235561	255	4	0	Hampden
794	Massachusetts	US	03/31/2020	42.13440424	-72.63235561	354	11	0	Hampden
818	Massachusetts	US	04/01/2020	42.13440424	-72.63235561	475	16	0	Hampden
849	Massachusetts	US	04/02/2020	42.13440424	-72.63235561	546	19	0	Hampden
864	Massachusetts	US	04/03/2020	42.13440424	-72.63235561	661	27	0	Hampden
883	Massachusetts	US	04/04/2020	42.13440424	-72.63235561	733	34	0	Hampden
917	Massachusetts	US	04/05/2020	42.13440424	-72.63235561	768	34	0	Hampden
930	Massachusetts	US	04/06/2020	42.13440424	-72.63235561	889	38	0	Hampden
950	Massachusetts	US	04/07/2020	42.13440424	-72.63235561	997	55	0	Hampden
959	Massachusetts	US	04/08/2020	42.13440424	-72.63235561	1081	62	0	Hampden
966	Massachusetts	US	04/09/2020	42.13440424	-72.63235561	1276	62	0	Hampden
973	Massachusetts	US	04/10/2020	42.13440424	-72.63235561	1394	62	0	Hampden
982	Massachusetts	US	04/11/2020	42.13440424	-72.63235561	1545	92	0	Hampden
990	Massachusetts	US	04/12/2020	42.13440424	-72.63235561	1647	102	0	Hampden
998	Massachusetts	US	04/13/2020	42.13440424	-72.63235561	1694	102	0	Hampden
1001	Massachusetts	US	04/14/2020	42.13440424	-72.63235561	1798	102	0	Hampden
1007	Massachusetts	US	04/15/2020	42.13440424	-72.63235561	1885	151	0	Hampden
1008	Massachusetts	US	04/16/2020	42.13440424	-72.63235561	1985	151	0	Hampden
1007	Massachusetts	US	04/17/2020	42.13440424	-72.63235561	2134	161	0	Hampden
1011	Massachusetts	US	04/18/2020	42.13440424	-72.63235561	2254	181	0	Hampden
1018	Massachusetts	US	04/19/2020	42.13440424	-72.63235561	2337	211	0	Hampden
1021	Massachusetts	US	04/20/2020	42.13440424	-72.63235561	2337	211	0	Hampden
1025	Massachusetts	US	04/21/2020	42.13440424	-72.63235561	2533	244	0	Hampden
1028	Massachusetts	US	04/22/2020	42.13440424	-72.63235561	2678	244	0	Hampden
1035	Massachusetts	US	04/23/2020	42.13440424	-72.63235561	2836	244	0	Hampden
1037	Massachusetts	US	04/24/2020	42.13440424	-72.63235561	3060	244	0	Hampden
1037	Massachusetts	US	04/25/2020	42.13440424	-72.63235561	3229	315	0	Hampden
1041	Massachusetts	US	04/26/2020	42.13440424	-72.63235561	3295	315	0	Hampden
1043	Massachusetts	US	04/27/2020	42.13440424	-72.63235561	3381	337	0	Hampden
1047	Massachusetts	US	04/28/2020	42.13440424	-72.63235561	3546	346	0	Hampden
1049	Massachusetts	US	04/29/2020	42.13440424	-72.63235561	3698	358	0	Hampden
1053	Massachusetts	US	04/30/2020	42.13440424	-72.63235561	3777	373	0	Hampden
1059	Massachusetts	US	05/01/2020	42.13440424	-72.63235561	3900	381	0	Hampden
1061	Massachusetts	US	05/02/2020	42.13440424	-72.63235561	4003	387	0	Hampden
