	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1932	Michigan	US	03/22/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/23/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/24/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/25/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/26/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/27/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/28/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/29/2020	45.03477666	-83.62212411	0	0	0	Alpena
52	Michigan	US	03/30/2020	45.03477666	-83.62212411	0	0	0	Alpena
42	Michigan	US	04/11/2020	45.03477666	-83.62212411	1	0	0	Alpena
42	Michigan	US	04/12/2020	45.03477666	-83.62212411	1	0	0	Alpena
43	Michigan	US	04/13/2020	45.03477666	-83.62212411	1	0	0	Alpena
43	Michigan	US	04/14/2020	45.03477666	-83.62212411	1	0	0	Alpena
44	Michigan	US	04/15/2020	45.03477666	-83.62212411	1	0	0	Alpena
44	Michigan	US	04/16/2020	45.03477666	-83.62212411	2	0	0	Alpena
46	Michigan	US	04/17/2020	45.03477666	-83.62212411	2	0	0	Alpena
46	Michigan	US	04/18/2020	45.03477666	-83.62212411	2	1	0	Alpena
46	Michigan	US	04/19/2020	45.03477666	-83.62212411	14	1	0	Alpena
46	Michigan	US	04/20/2020	45.03477666	-83.62212411	15	1	0	Alpena
46	Michigan	US	04/21/2020	45.03477666	-83.62212411	35	1	0	Alpena
46	Michigan	US	04/22/2020	45.03477666	-83.62212411	38	1	0	Alpena
46	Michigan	US	04/23/2020	45.03477666	-83.62212411	47	1	0	Alpena
46	Michigan	US	04/24/2020	45.03477666	-83.62212411	60	2	0	Alpena
46	Michigan	US	04/25/2020	45.03477666	-83.62212411	60	2	0	Alpena
46	Michigan	US	04/26/2020	45.03477666	-83.62212411	60	2	0	Alpena
46	Michigan	US	04/27/2020	45.03477666	-83.62212411	60	2	0	Alpena
46	Michigan	US	04/28/2020	45.03477666	-83.62212411	67	4	0	Alpena
46	Michigan	US	04/29/2020	45.03477666	-83.62212411	76	4	0	Alpena
46	Michigan	US	04/30/2020	45.03477666	-83.62212411	82	5	0	Alpena
46	Michigan	US	05/01/2020	45.03477666	-83.62212411	82	6	0	Alpena
46	Michigan	US	05/02/2020	45.03477666	-83.62212411	82	6	0	Alpena
46	Michigan	US	05/03/2020	45.03477666	-83.62212411	83	6	0	Alpena
46	Michigan	US	05/04/2020	45.03477666	-83.62212411	83	7	0	Alpena
46	Michigan	US	05/05/2020	45.03477666	-83.62212411	85	7	0	Alpena
46	Michigan	US	05/06/2020	45.03477666	-83.62212411	86	7	0	Alpena
46	Michigan	US	05/07/2020	45.03477666	-83.62212411	86	8	0	Alpena
46	Michigan	US	05/08/2020	45.03477666	-83.62212411	86	8	0	Alpena
46	Michigan	US	05/09/2020	45.03477666	-83.62212411	87	8	0	Alpena
46	Michigan	US	05/10/2020	45.03477666	-83.62212411	87	8	0	Alpena
46	Michigan	US	05/11/2020	45.03477666	-83.62212411	87	8	0	Alpena
46	Michigan	US	05/12/2020	45.03477666	-83.62212411	87	8	0	Alpena
46	Michigan	US	05/13/2020	45.03477666	-83.62212411	88	8	0	Alpena
46	Michigan	US	05/14/2020	45.03477666	-83.62212411	88	8	0	Alpena
46	Michigan	US	05/15/2020	45.03477666	-83.62212411	90	8	0	Alpena
46	Michigan	US	05/16/2020	45.03477666	-83.62212411	91	9	0	Alpena
47	Michigan	US	05/17/2020	45.03477666	-83.62212411	91	9	0	Alpena
47	Michigan	US	05/18/2020	45.03477666	-83.62212411	91	9	0	Alpena
47	Michigan	US	05/19/2020	45.03477666	-83.62212411	91	9	0	Alpena
47	Michigan	US	05/20/2020	45.03477666	-83.62212411	91	9	0	Alpena
47	Michigan	US	05/21/2020	45.03477666	-83.62212411	92	9	0	Alpena
48	Michigan	US	05/22/2020	45.03477666	-83.62212411	93	9	0	Alpena
48	Michigan	US	05/23/2020	45.03477666	-83.62212411	94	9	0	Alpena
48	Michigan	US	05/24/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	05/25/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	05/26/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	05/27/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	05/28/2020	45.03477666	-83.62212411	94	9	0	Alpena
48	Michigan	US	05/29/2020	45.03477666	-83.62212411	94	9	0	Alpena
48	Michigan	US	05/30/2020	45.03477666	-83.62212411	94	9	0	Alpena
48	Michigan	US	05/31/2020	45.03477666	-83.62212411	94	9	0	Alpena
48	Michigan	US	06/01/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	06/02/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	06/03/2020	45.03477666	-83.62212411	95	9	0	Alpena
48	Michigan	US	06/04/2020	45.03477666	-83.62212411	96	9	0	Alpena
48	Michigan	US	06/05/2020	45.03477666	-83.62212411	103	9	0	Alpena
48	Michigan	US	06/06/2020	45.03477666	-83.62212411	104	9	0	Alpena
48	Michigan	US	06/07/2020	45.03477666	-83.62212411	104	9	0	Alpena
48	Michigan	US	06/08/2020	45.03477666	-83.62212411	107	9	0	Alpena
48	Michigan	US	06/09/2020	45.03477666	-83.62212411	107	9	0	Alpena
49	Michigan	US	06/10/2020	45.03477666	-83.62212411	112	9	0	Alpena
49	Michigan	US	06/11/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/12/2020	45.03477666	-83.62212411	113	12	0	Alpena
49	Michigan	US	06/13/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/14/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/15/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/16/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/17/2020	45.03477666	-83.62212411	114	11	0	Alpena
49	Michigan	US	06/18/2020	45.03477666	-83.62212411	115	11	0	Alpena
49	Michigan	US	06/19/2020	45.03477666	-83.62212411	115	11	0	Alpena
49	Michigan	US	06/20/2020	45.03477666	-83.62212411	115	11	0	Alpena
49	Michigan	US	06/21/2020	45.03477666	-83.62212411	115	11	0	Alpena
49	Michigan	US	06/22/2020	45.03477666	-83.62212411	116	11	0	Alpena
49	Michigan	US	06/23/2020	45.03477666	-83.62212411	116	11	0	Alpena
49	Michigan	US	06/24/2020	45.03477666	-83.62212411	116	11	0	Alpena
49	Michigan	US	06/25/2020	45.03477666	-83.62212411	117	11	0	Alpena
49	Michigan	US	06/26/2020	45.03477666	-83.62212411	117	11	0	Alpena
49	Michigan	US	06/27/2020	45.03477666	-83.62212411	117	11	0	Alpena
49	Michigan	US	06/28/2020	45.03477666	-83.62212411	118	11	0	Alpena
