	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
176	St. Clair	7	US	0	42.92655373	-82.67937954	Michigan	0	03/22/2020
2658	St. Clair	7	US	0	42.92655373	-82.67937954	Michigan	0	03/23/2020
2658	St. Clair	8	US	0	42.92655373	-82.67937954	Michigan	0	03/24/2020
2658	St. Clair	10	US	0	42.92655373	-82.67937954	Michigan	0	03/25/2020
2657	St. Clair	13	US	0	42.92655373	-82.67937954	Michigan	0	03/26/2020
2657	St. Clair	15	US	0	42.92655373	-82.67937954	Michigan	0	03/27/2020
2657	St. Clair	16	US	0	42.92655373	-82.67937954	Michigan	0	03/28/2020
2657	St. Clair	20	US	0	42.92655373	-82.67937954	Michigan	0	03/29/2020
2657	St. Clair	25	US	0	42.92655373	-82.67937954	Michigan	0	03/30/2020
1787	St. Clair	32	US	0	42.92655373	-82.67937954	Michigan	0	03/31/2020
1831	St. Clair	41	US	0	42.92655373	-82.67937954	Michigan	0	04/01/2020
1898	St. Clair	53	US	0	42.92655373	-82.67937954	Michigan	0	04/02/2020
1943	St. Clair	66	US	0	42.92655373	-82.67937954	Michigan	0	04/03/2020
1990	St. Clair	85	US	2	42.92655373	-82.67937954	Michigan	0	04/04/2020
2061	St. Clair	94	US	2	42.92655373	-82.67937954	Michigan	0	04/05/2020
2095	St. Clair	110	US	3	42.92655373	-82.67937954	Michigan	0	04/06/2020
2139	St. Clair	129	US	3	42.92655373	-82.67937954	Michigan	0	04/07/2020
2160	St. Clair	140	US	3	42.92655373	-82.67937954	Michigan	0	04/08/2020
2184	St. Clair	162	US	4	42.92655373	-82.67937954	Michigan	0	04/09/2020
2206	St. Clair	179	US	4	42.92655373	-82.67937954	Michigan	0	04/10/2020
2231	St. Clair	190	US	4	42.92655373	-82.67937954	Michigan	0	04/11/2020
2248	St. Clair	199	US	6	42.92655373	-82.67937954	Michigan	0	04/12/2020
2262	St. Clair	206	US	7	42.92655373	-82.67937954	Michigan	0	04/13/2020
2271	St. Clair	211	US	7	42.92655373	-82.67937954	Michigan	0	04/14/2020
2283	St. Clair	221	US	8	42.92655373	-82.67937954	Michigan	0	04/15/2020
2296	St. Clair	232	US	8	42.92655373	-82.67937954	Michigan	0	04/16/2020
2299	St. Clair	236	US	8	42.92655373	-82.67937954	Michigan	0	04/17/2020
2306	St. Clair	241	US	8	42.92655373	-82.67937954	Michigan	0	04/18/2020
2321	St. Clair	244	US	11	42.92655373	-82.67937954	Michigan	0	04/19/2020
2329	St. Clair	252	US	11	42.92655373	-82.67937954	Michigan	0	04/20/2020
2338	St. Clair	259	US	15	42.92655373	-82.67937954	Michigan	0	04/21/2020
2345	St. Clair	271	US	16	42.92655373	-82.67937954	Michigan	0	04/22/2020
2361	St. Clair	284	US	16	42.92655373	-82.67937954	Michigan	0	04/23/2020
2366	St. Clair	294	US	16	42.92655373	-82.67937954	Michigan	0	04/24/2020
2371	St. Clair	297	US	18	42.92655373	-82.67937954	Michigan	0	04/25/2020
2379	St. Clair	302	US	18	42.92655373	-82.67937954	Michigan	0	04/26/2020
2386	St. Clair	304	US	18	42.92655373	-82.67937954	Michigan	0	04/27/2020
2395	St. Clair	309	US	21	42.92655373	-82.67937954	Michigan	0	04/28/2020
2399	St. Clair	313	US	21	42.92655373	-82.67937954	Michigan	0	04/29/2020
2405	St. Clair	328	US	21	42.92655373	-82.67937954	Michigan	0	04/30/2020
2416	St. Clair	331	US	21	42.92655373	-82.67937954	Michigan	0	05/01/2020
2419	St. Clair	336	US	21	42.92655373	-82.67937954	Michigan	0	05/02/2020
2423	St. Clair	335	US	21	42.92655373	-82.67937954	Michigan	0	05/03/2020
2426	St. Clair	339	US	21	42.92655373	-82.67937954	Michigan	0	05/04/2020
2433	St. Clair	342	US	21	42.92655373	-82.67937954	Michigan	0	05/05/2020
2438	St. Clair	342	US	22	42.92655373	-82.67937954	Michigan	0	05/06/2020
2443	St. Clair	342	US	23	42.92655373	-82.67937954	Michigan	0	05/07/2020
2450	St. Clair	353	US	23	42.92655373	-82.67937954	Michigan	0	05/08/2020
2451	St. Clair	353	US	25	42.92655373	-82.67937954	Michigan	0	05/09/2020
2453	St. Clair	357	US	25	42.92655373	-82.67937954	Michigan	0	05/10/2020
2453	St. Clair	358	US	25	42.92655373	-82.67937954	Michigan	0	05/11/2020
2456	St. Clair	366	US	28	42.92655373	-82.67937954	Michigan	0	05/12/2020
2457	St. Clair	373	US	28	42.92655373	-82.67937954	Michigan	0	05/13/2020
2458	St. Clair	394	US	28	42.92655373	-82.67937954	Michigan	0	05/14/2020
2462	St. Clair	399	US	30	42.92655373	-82.67937954	Michigan	0	05/15/2020
2467	St. Clair	408	US	30	42.92655373	-82.67937954	Michigan	0	05/16/2020
2469	St. Clair	403	US	31	42.92655373	-82.67937954	Michigan	0	05/17/2020
2471	St. Clair	407	US	31	42.92655373	-82.67937954	Michigan	0	05/18/2020
2475	St. Clair	412	US	32	42.92655373	-82.67937954	Michigan	0	05/19/2020
2481	St. Clair	419	US	33	42.92655373	-82.67937954	Michigan	0	05/20/2020
2482	St. Clair	422	US	33	42.92655373	-82.67937954	Michigan	0	05/21/2020
2488	St. Clair	426	US	33	42.92655373	-82.67937954	Michigan	0	05/22/2020
2490	St. Clair	429	US	34	42.92655373	-82.67937954	Michigan	0	05/23/2020
2493	St. Clair	430	US	34	42.92655373	-82.67937954	Michigan	0	05/24/2020
2494	St. Clair	431	US	35	42.92655373	-82.67937954	Michigan	0	05/25/2020
2495	St. Clair	431	US	36	42.92655373	-82.67937954	Michigan	0	05/26/2020
2498	St. Clair	431	US	37	42.92655373	-82.67937954	Michigan	0	05/27/2020
2500	St. Clair	438	US	37	42.92655373	-82.67937954	Michigan	0	05/28/2020
2503	St. Clair	448	US	39	42.92655373	-82.67937954	Michigan	0	05/29/2020
2505	St. Clair	448	US	41	42.92655373	-82.67937954	Michigan	0	05/30/2020
2506	St. Clair	449	US	41	42.92655373	-82.67937954	Michigan	0	05/31/2020
2508	St. Clair	448	US	41	42.92655373	-82.67937954	Michigan	0	06/01/2020
2513	St. Clair	448	US	43	42.92655373	-82.67937954	Michigan	0	06/02/2020
2515	St. Clair	452	US	43	42.92655373	-82.67937954	Michigan	0	06/03/2020
2516	St. Clair	453	US	43	42.92655373	-82.67937954	Michigan	0	06/04/2020
2519	St. Clair	515	US	44	42.92655373	-82.67937954	Michigan	0	06/05/2020
2521	St. Clair	515	US	44	42.92655373	-82.67937954	Michigan	0	06/06/2020
2521	St. Clair	515	US	44	42.92655373	-82.67937954	Michigan	0	06/07/2020
2521	St. Clair	516	US	44	42.92655373	-82.67937954	Michigan	0	06/08/2020
2523	St. Clair	511	US	45	42.92655373	-82.67937954	Michigan	0	06/09/2020
2525	St. Clair	514	US	45	42.92655373	-82.67937954	Michigan	0	06/10/2020
2527	St. Clair	514	US	45	42.92655373	-82.67937954	Michigan	0	06/11/2020
2541	St. Clair	513	US	45	42.92655373	-82.67937954	Michigan	0	06/12/2020
2544	St. Clair	516	US	45	42.92655373	-82.67937954	Michigan	0	06/13/2020
2544	St. Clair	518	US	45	42.92655373	-82.67937954	Michigan	0	06/14/2020
2548	St. Clair	518	US	46	42.92655373	-82.67937954	Michigan	0	06/15/2020
2546	St. Clair	518	US	48	42.92655373	-82.67937954	Michigan	0	06/16/2020
2548	St. Clair	518	US	48	42.92655373	-82.67937954	Michigan	0	06/17/2020
2548	St. Clair	518	US	48	42.92655373	-82.67937954	Michigan	0	06/18/2020
2548	St. Clair	524	US	48	42.92655373	-82.67937954	Michigan	0	06/19/2020
2552	St. Clair	525	US	48	42.92655373	-82.67937954	Michigan	0	06/20/2020
2552	St. Clair	525	US	48	42.92655373	-82.67937954	Michigan	0	06/21/2020
2554	St. Clair	527	US	48	42.92655373	-82.67937954	Michigan	0	06/22/2020
