	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1988	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/22/2020
561	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/23/2020
561	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/24/2020
561	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/25/2020
561	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/26/2020
561	Clearwater	0	US	0	47.57992111	-95.37790562	Minnesota	0	03/27/2020
561	Clearwater	1	US	0	47.57992111	-95.37790562	Minnesota	0	03/28/2020
561	Clearwater	1	US	0	47.57992111	-95.37790562	Minnesota	0	03/29/2020
561	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	03/30/2020
399	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	03/31/2020
411	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/01/2020
425	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/02/2020
429	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/03/2020
439	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/04/2020
453	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/05/2020
456	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/06/2020
465	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/07/2020
469	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/08/2020
472	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/09/2020
473	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/10/2020
478	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/11/2020
481	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/12/2020
484	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/13/2020
486	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/14/2020
489	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/15/2020
490	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/16/2020
492	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/17/2020
493	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/18/2020
497	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/19/2020
498	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/20/2020
502	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/21/2020
504	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	04/22/2020
506	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/23/2020
506	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/24/2020
506	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/25/2020
507	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/26/2020
508	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/27/2020
510	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/28/2020
510	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/29/2020
510	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	04/30/2020
513	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/01/2020
514	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/02/2020
515	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/03/2020
516	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/04/2020
518	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/05/2020
519	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/06/2020
520	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/07/2020
522	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/08/2020
522	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/09/2020
523	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/10/2020
523	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/11/2020
523	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/12/2020
523	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/13/2020
524	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/14/2020
525	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/15/2020
526	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/16/2020
527	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/17/2020
528	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/18/2020
530	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/19/2020
530	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/20/2020
530	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/21/2020
531	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/22/2020
531	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/23/2020
532	Clearwater	2	US	0	47.57992111	-95.37790562	Minnesota	0	05/24/2020
532	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/25/2020
532	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/26/2020
533	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/27/2020
533	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/28/2020
533	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/29/2020
533	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/30/2020
533	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	05/31/2020
534	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/01/2020
534	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/02/2020
534	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/03/2020
534	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/04/2020
535	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/05/2020
535	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/06/2020
535	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/07/2020
535	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/08/2020
535	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/09/2020
536	Clearwater	3	US	0	47.57992111	-95.37790562	Minnesota	0	06/10/2020
