	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
849	Minnesota	US	03/22/2020	44.67172617	-93.06299363	11	0	0	Dakota
704	Minnesota	US	03/23/2020	44.67172617	-93.06299363	18	0	0	Dakota
704	Minnesota	US	03/24/2020	44.67172617	-93.06299363	21	0	0	Dakota
704	Minnesota	US	03/25/2020	44.67172617	-93.06299363	21	0	0	Dakota
704	Minnesota	US	03/26/2020	44.67172617	-93.06299363	25	0	0	Dakota
704	Minnesota	US	03/27/2020	44.67172617	-93.06299363	28	0	0	Dakota
704	Minnesota	US	03/28/2020	44.67172617	-93.06299363	33	0	0	Dakota
704	Minnesota	US	03/29/2020	44.67172617	-93.06299363	39	0	0	Dakota
704	Minnesota	US	03/30/2020	44.67172617	-93.06299363	46	0	0	Dakota
496	Minnesota	US	03/31/2020	44.67172617	-93.06299363	47	0	0	Dakota
512	Minnesota	US	04/01/2020	44.67172617	-93.06299363	48	0	0	Dakota
531	Minnesota	US	04/02/2020	44.67172617	-93.06299363	52	0	0	Dakota
539	Minnesota	US	04/03/2020	44.67172617	-93.06299363	54	0	0	Dakota
553	Minnesota	US	04/04/2020	44.67172617	-93.06299363	56	1	0	Dakota
569	Minnesota	US	04/05/2020	44.67172617	-93.06299363	63	2	0	Dakota
576	Minnesota	US	04/06/2020	44.67172617	-93.06299363	67	2	0	Dakota
587	Minnesota	US	04/07/2020	44.67172617	-93.06299363	71	3	0	Dakota
592	Minnesota	US	04/08/2020	44.67172617	-93.06299363	75	3	0	Dakota
596	Minnesota	US	04/09/2020	44.67172617	-93.06299363	79	3	0	Dakota
600	Minnesota	US	04/10/2020	44.67172617	-93.06299363	85	4	0	Dakota
605	Minnesota	US	04/11/2020	44.67172617	-93.06299363	87	4	0	Dakota
608	Minnesota	US	04/12/2020	44.67172617	-93.06299363	95	4	0	Dakota
612	Minnesota	US	04/13/2020	44.67172617	-93.06299363	95	4	0	Dakota
614	Minnesota	US	04/14/2020	44.67172617	-93.06299363	103	5	0	Dakota
617	Minnesota	US	04/15/2020	44.67172617	-93.06299363	103	5	0	Dakota
618	Minnesota	US	04/16/2020	44.67172617	-93.06299363	103	5	0	Dakota
620	Minnesota	US	04/17/2020	44.67172617	-93.06299363	110	5	0	Dakota
621	Minnesota	US	04/18/2020	44.67172617	-93.06299363	113	5	0	Dakota
625	Minnesota	US	04/19/2020	44.67172617	-93.06299363	116	6	0	Dakota
626	Minnesota	US	04/20/2020	44.67172617	-93.06299363	124	6	0	Dakota
630	Minnesota	US	04/21/2020	44.67172617	-93.06299363	127	6	0	Dakota
632	Minnesota	US	04/22/2020	44.67172617	-93.06299363	130	6	0	Dakota
635	Minnesota	US	04/23/2020	44.67172617	-93.06299363	131	6	0	Dakota
636	Minnesota	US	04/24/2020	44.67172617	-93.06299363	136	6	0	Dakota
636	Minnesota	US	04/25/2020	44.67172617	-93.06299363	138	6	0	Dakota
637	Minnesota	US	04/26/2020	44.67172617	-93.06299363	143	7	0	Dakota
