	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1996	Goodhue	0	US	0	44.40849741	-92.72341949999999	Minnesota	0	03/22/2020
1062	Goodhue	0	US	0	44.40849741	-92.7234195	Minnesota	0	03/23/2020
1062	Goodhue	0	US	0	44.40849741	-92.7234195	Minnesota	0	03/24/2020
1062	Goodhue	1	US	0	44.40849741	-92.7234195	Minnesota	0	03/25/2020
1061	Goodhue	1	US	0	44.40849741	-92.7234195	Minnesota	0	03/26/2020
1061	Goodhue	2	US	0	44.40849741	-92.7234195	Minnesota	0	03/27/2020
1061	Goodhue	2	US	0	44.40849741	-92.72341949999999	Minnesota	0	03/28/2020
1061	Goodhue	2	US	0	44.40849741	-92.72341949999999	Minnesota	0	03/29/2020
1061	Goodhue	3	US	0	44.40849741	-92.72341949999999	Minnesota	0	03/30/2020
728	Goodhue	3	US	0	44.40849741	-92.7234195	Minnesota	0	03/31/2020
749	Goodhue	4	US	0	44.40849741	-92.7234195	Minnesota	0	04/01/2020
775	Goodhue	4	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/02/2020
789	Goodhue	5	US	0	44.40849741	-92.7234195	Minnesota	0	04/03/2020
804	Goodhue	8	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/04/2020
836	Goodhue	10	US	0	44.40849741	-92.7234195	Minnesota	0	04/05/2020
847	Goodhue	10	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/06/2020
865	Goodhue	12	US	0	44.40849741	-92.7234195	Minnesota	0	04/07/2020
873	Goodhue	13	US	0	44.40849741	-92.7234195	Minnesota	0	04/08/2020
879	Goodhue	14	US	0	44.40849741	-92.7234195	Minnesota	0	04/09/2020
885	Goodhue	14	US	0	44.40849741	-92.7234195	Minnesota	0	04/10/2020
893	Goodhue	16	US	0	44.40849741	-92.7234195	Minnesota	0	04/11/2020
901	Goodhue	17	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/12/2020
907	Goodhue	17	US	0	44.40849741	-92.7234195	Minnesota	0	04/13/2020
910	Goodhue	17	US	0	44.40849741	-92.7234195	Minnesota	0	04/14/2020
916	Goodhue	17	US	0	44.40849741	-92.7234195	Minnesota	0	04/15/2020
917	Goodhue	17	US	0	44.40849741	-92.7234195	Minnesota	0	04/16/2020
917	Goodhue	18	US	0	44.40849741	-92.7234195	Minnesota	0	04/17/2020
919	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/18/2020
925	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/19/2020
928	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/20/2020
932	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/21/2020
935	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/22/2020
941	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/23/2020
942	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/24/2020
942	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/25/2020
946	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/26/2020
948	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/27/2020
951	Goodhue	19	US	0	44.40849741	-92.72341949999999	Minnesota	0	04/28/2020
953	Goodhue	19	US	0	44.40849741	-92.7234195	Minnesota	0	04/29/2020
957	Goodhue	19	US	0	44.40849741	-92.7234195	Minnesota	0	04/30/2020
963	Goodhue	19	US	0	44.40849741	-92.7234195	Minnesota	0	05/01/2020
964	Goodhue	21	US	0	44.40849741	-92.7234195	Minnesota	0	05/02/2020
965	Goodhue	21	US	0	44.40849741	-92.7234195	Minnesota	0	05/03/2020
967	Goodhue	23	US	0	44.40849741	-92.7234195	Minnesota	0	05/04/2020
972	Goodhue	23	US	0	44.40849741	-92.7234195	Minnesota	0	05/05/2020
974	Goodhue	23	US	0	44.40849741	-92.7234195	Minnesota	0	05/06/2020
976	Goodhue	25	US	0	44.40849741	-92.7234195	Minnesota	0	05/07/2020
980	Goodhue	25	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/08/2020
980	Goodhue	25	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/09/2020
981	Goodhue	25	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/10/2020
981	Goodhue	25	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/11/2020
982	Goodhue	26	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/12/2020
982	Goodhue	27	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/13/2020
983	Goodhue	29	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/14/2020
986	Goodhue	29	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/15/2020
987	Goodhue	32	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/16/2020
988	Goodhue	33	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/17/2020
989	Goodhue	34	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/18/2020
991	Goodhue	36	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/19/2020
993	Goodhue	38	US	0	44.40849741	-92.72341949999999	Minnesota	0	05/20/2020
993	Goodhue	40	US	1	44.40849741	-92.72341949999999	Minnesota	0	05/21/2020
995	Goodhue	43	US	2	44.40849741	-92.72341949999999	Minnesota	0	05/22/2020
995	Goodhue	50	US	2	44.40849741	-92.72341949999999	Minnesota	0	05/23/2020
996	Goodhue	52	US	2	44.40849741	-92.72341949999999	Minnesota	0	05/24/2020
996	Goodhue	55	US	2	44.40849741	-92.72341949999999	Minnesota	0	05/25/2020
996	Goodhue	58	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/26/2020
997	Goodhue	60	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/27/2020
997	Goodhue	60	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/28/2020
999	Goodhue	62	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/29/2020
1000	Goodhue	66	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/30/2020
1000	Goodhue	66	US	3	44.40849741	-92.72341949999999	Minnesota	0	05/31/2020
1002	Goodhue	68	US	3	44.40849741	-92.72341949999999	Minnesota	0	06/01/2020
1004	Goodhue	69	US	3	44.40849741	-92.72341949999999	Minnesota	0	06/02/2020
1004	Goodhue	70	US	4	44.40849741	-92.72341949999999	Minnesota	0	06/03/2020
1005	Goodhue	71	US	5	44.40849741	-92.72341949999999	Minnesota	0	06/04/2020
1007	Goodhue	73	US	6	44.40849741	-92.72341949999999	Minnesota	0	06/05/2020
1007	Goodhue	76	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/06/2020
1007	Goodhue	77	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/07/2020
1007	Goodhue	79	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/08/2020
1007	Goodhue	83	US	7	44.40849741	-92.7234195	Minnesota	0	06/09/2020
1008	Goodhue	86	US	7	44.40849741	-92.7234195	Minnesota	0	06/10/2020
1009	Goodhue	86	US	7	44.40849741	-92.7234195	Minnesota	0	06/11/2020
1014	Goodhue	92	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/12/2020
1015	Goodhue	93	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/13/2020
1015	Goodhue	94	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/14/2020
1017	Goodhue	94	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/15/2020
1016	Goodhue	94	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/16/2020
1017	Goodhue	97	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/17/2020
1017	Goodhue	98	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/18/2020
1017	Goodhue	101	US	7	44.40849741	-92.7234195	Minnesota	0	06/19/2020
1021	Goodhue	102	US	7	44.40849741	-92.7234195	Minnesota	0	06/20/2020
1021	Goodhue	105	US	7	44.40849741	-92.7234195	Minnesota	0	06/21/2020
1022	Goodhue	107	US	7	44.40849741	-92.72341949999999	Minnesota	0	06/22/2020
1022	Goodhue	108	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/23/2020
1026	Goodhue	109	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/24/2020
1029	Goodhue	109	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/25/2020
1029	Goodhue	111	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/26/2020
1030	Goodhue	113	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/27/2020
1030	Goodhue	117	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/28/2020
1030	Goodhue	117	US	8	44.40849741	-92.7234195	Minnesota	0	06/29/2020
1031	Goodhue	119	US	8	44.40849741	-92.72341949999999	Minnesota	0	06/30/2020
1031	Goodhue	124	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/01/2020
1032	Goodhue	127	US	8	44.40849741	-92.7234195	Minnesota	0	07/02/2020
1033	Goodhue	129	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/03/2020
1033	Goodhue	129	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/04/2020
1033	Goodhue	130	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/05/2020
1033	Goodhue	131	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/06/2020
1033	Goodhue	131	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/07/2020
1034	Goodhue	132	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/08/2020
1034	Goodhue	137	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/09/2020
1036	Goodhue	138	US	8	44.40849741	-92.7234195	Minnesota	0	07/10/2020
1036	Goodhue	140	US	8	44.40849741	-92.7234195	Minnesota	0	07/11/2020
1037	Goodhue	142	US	8	44.40849741	-92.7234195	Minnesota	0	07/12/2020
1039	Goodhue	142	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/13/2020
1040	Goodhue	142	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/14/2020
1040	Goodhue	146	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/15/2020
1042	Goodhue	146	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/16/2020
1042	Goodhue	146	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/17/2020
1070	Goodhue	147	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/18/2020
1071	Goodhue	147	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/19/2020
3853	Goodhue	148	US	8	44.40849741	-92.7234195	Minnesota	0	07/20/2020
1074	Goodhue	151	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/21/2020
1074	Goodhue	153	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/22/2020
1075	Goodhue	154	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/23/2020
1074	Goodhue	155	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/24/2020
1075	Goodhue	157	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/25/2020
1076	Goodhue	159	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/26/2020
1076	Goodhue	159	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/27/2020
1076	Goodhue	159	US	8	44.40849741	-92.72341949999999	Minnesota	0	07/28/2020
1077	Goodhue	161	US	8	44.40849741	-92.7234195	Minnesota	0	07/29/2020
