	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
846	Minnesota	US	03/22/2020	45.00761521	-93.47694895	57	0	0	Hennepin
1246	Minnesota	US	03/23/2020	45.00761521	-93.47694895	89	0	0	Hennepin
1246	Minnesota	US	03/24/2020	45.00761521	-93.47694895	103	0	0	Hennepin
1246	Minnesota	US	03/25/2020	45.00761521	-93.47694895	111	0	0	Hennepin
1245	Minnesota	US	03/26/2020	45.00761521	-93.47694895	128	0	0	Hennepin
1245	Minnesota	US	03/27/2020	45.00761521	-93.47694895	141	0	0	Hennepin
1245	Minnesota	US	03/28/2020	45.00761521	-93.47694895	152	2	0	Hennepin
1245	Minnesota	US	03/29/2020	45.00761521	-93.47694895	171	2	0	Hennepin
1245	Minnesota	US	03/30/2020	45.00761521	-93.47694895	190	5	0	Hennepin
837	Minnesota	US	03/31/2020	45.00761521	-93.47694895	204	5	0	Hennepin
861	Minnesota	US	04/01/2020	45.00761521	-93.47694895	218	5	0	Hennepin
897	Minnesota	US	04/02/2020	45.00761521	-93.47694895	235	6	0	Hennepin
913	Minnesota	US	04/03/2020	45.00761521	-93.47694895	242	6	0	Hennepin
932	Minnesota	US	04/04/2020	45.00761521	-93.47694895	252	9	0	Hennepin
967	Minnesota	US	04/05/2020	45.00761521	-93.47694895	267	11	0	Hennepin
982	Minnesota	US	04/06/2020	45.00761521	-93.47694895	280	14	0	Hennepin
1003	Minnesota	US	04/07/2020	45.00761521	-93.47694895	310	16	0	Hennepin
1014	Minnesota	US	04/08/2020	45.00761521	-93.47694895	344	18	0	Hennepin
1022	Minnesota	US	04/09/2020	45.00761521	-93.47694895	375	25	0	Hennepin
1029	Minnesota	US	04/10/2020	45.00761521	-93.47694895	415	27	0	Hennepin
1038	Minnesota	US	04/11/2020	45.00761521	-93.47694895	464	30	0	Hennepin
1046	Minnesota	US	04/12/2020	45.00761521	-93.47694895	557	34	0	Hennepin
1054	Minnesota	US	04/13/2020	45.00761521	-93.47694895	557	34	0	Hennepin
1057	Minnesota	US	04/14/2020	45.00761521	-93.47694895	558	40	0	Hennepin
