	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1998	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/22/2020
1301	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/23/2020
1301	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/24/2020
1301	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/25/2020
1300	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/26/2020
1300	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/27/2020
1300	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/28/2020
1300	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/29/2020
1300	Houston	0	US	0	43.67129565	-91.49143057	Minnesota	0	03/30/2020
1009	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/05/2020
1024	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/06/2020
1045	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/07/2020
1057	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/08/2020
1065	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/09/2020
1072	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/10/2020
1084	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/11/2020
1092	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/12/2020
1100	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/13/2020
1103	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/14/2020
1109	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/15/2020
1112	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/16/2020
1112	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/17/2020
1116	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/18/2020
1126	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/19/2020
1130	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/20/2020
1135	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/21/2020
1139	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/22/2020
1147	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/23/2020
1149	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/24/2020
1149	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/25/2020
1154	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/26/2020
1156	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/27/2020
1161	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/28/2020
1163	Houston	1	US	0	43.67129565	-91.49143057	Minnesota	0	04/29/2020
