	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2014	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/22/2020
1871	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/23/2020
1871	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/24/2020
1871	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/25/2020
1870	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/26/2020
1870	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/27/2020
1870	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/28/2020
1870	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/29/2020
1870	McLeod	0	US	0	44.82367677	-94.27287017	Minnesota	0	03/30/2020
1412	McLeod	1	US	0	44.82367677	-94.27287017	Minnesota	0	04/04/2020
1459	McLeod	1	US	0	44.82367677	-94.27287017	Minnesota	0	04/05/2020
1481	McLeod	1	US	0	44.82367677	-94.27287017	Minnesota	0	04/06/2020
1515	McLeod	1	US	0	44.82367677	-94.27287017	Minnesota	0	04/07/2020
1530	McLeod	1	US	0	44.82367677	-94.27287017	Minnesota	0	04/08/2020
1548	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/09/2020
1555	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/10/2020
1573	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/11/2020
1585	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/12/2020
1595	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/13/2020
1601	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/14/2020
1609	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/15/2020
1615	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/16/2020
1614	McLeod	2	US	0	44.82367677	-94.27287017	Minnesota	0	04/17/2020
1620	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/18/2020
1628	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/19/2020
1635	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/20/2020
1643	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/21/2020
1648	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/22/2020
1658	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/23/2020
1660	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/24/2020
1663	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/25/2020
1669	McLeod	3	US	0	44.82367677	-94.27287017	Minnesota	0	04/26/2020
1671	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	04/27/2020
1677	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	04/28/2020
1680	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	04/29/2020
1686	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	04/30/2020
1694	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	05/01/2020
1698	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	05/02/2020
1700	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	05/03/2020
1702	McLeod	4	US	0	44.82367677	-94.27287017	Minnesota	0	05/04/2020
1708	McLeod	5	US	0	44.82367677	-94.27287017	Minnesota	0	05/05/2020
1711	McLeod	6	US	0	44.82367677	-94.27287017	Minnesota	0	05/06/2020
1715	McLeod	6	US	0	44.82367677	-94.27287017	Minnesota	0	05/07/2020
1720	McLeod	8	US	0	44.82367677	-94.27287017	Minnesota	0	05/08/2020
1721	McLeod	8	US	0	44.82367677	-94.27287017	Minnesota	0	05/09/2020
1722	McLeod	12	US	0	44.82367677	-94.27287017	Minnesota	0	05/10/2020
1722	McLeod	13	US	0	44.82367677	-94.27287017	Minnesota	0	05/11/2020
1724	McLeod	14	US	0	44.82367677	-94.27287017	Minnesota	0	05/12/2020
1724	McLeod	15	US	0	44.82367677	-94.27287017	Minnesota	0	05/13/2020
1725	McLeod	15	US	0	44.82367677	-94.27287017	Minnesota	0	05/14/2020
1729	McLeod	15	US	0	44.82367677	-94.27287017	Minnesota	0	05/15/2020
1732	McLeod	16	US	0	44.82367677	-94.27287017	Minnesota	0	05/16/2020
1734	McLeod	18	US	0	44.82367677	-94.27287017	Minnesota	0	05/17/2020
1735	McLeod	18	US	0	44.82367677	-94.27287017	Minnesota	0	05/18/2020
1737	McLeod	18	US	0	44.82367677	-94.27287017	Minnesota	0	05/19/2020
1742	McLeod	19	US	0	44.82367677	-94.27287017	Minnesota	0	05/20/2020
1743	McLeod	21	US	0	44.82367677	-94.27287017	Minnesota	0	05/21/2020
1748	McLeod	24	US	0	44.82367677	-94.27287017	Minnesota	0	05/22/2020
1750	McLeod	26	US	0	44.82367677	-94.27287017	Minnesota	0	05/23/2020
1753	McLeod	26	US	0	44.82367677	-94.27287017	Minnesota	0	05/24/2020
1753	McLeod	27	US	0	44.82367677	-94.27287017	Minnesota	0	05/25/2020
1754	McLeod	28	US	0	44.82367677	-94.27287017	Minnesota	0	05/26/2020
1756	McLeod	29	US	0	44.82367677	-94.27287017	Minnesota	0	05/27/2020
1757	McLeod	30	US	0	44.82367677	-94.27287017	Minnesota	0	05/28/2020
1760	McLeod	33	US	0	44.82367677	-94.27287017	Minnesota	0	05/29/2020
1762	McLeod	34	US	0	44.82367677	-94.27287017	Minnesota	0	05/30/2020
1763	McLeod	37	US	0	44.82367677	-94.27287017	Minnesota	0	05/31/2020
1765	McLeod	37	US	0	44.82367677	-94.27287017	Minnesota	0	06/01/2020
1769	McLeod	37	US	0	44.82367677	-94.27287017	Minnesota	0	06/02/2020
1770	McLeod	37	US	0	44.82367677	-94.27287017	Minnesota	0	06/03/2020
1771	McLeod	39	US	0	44.82367677	-94.27287017	Minnesota	0	06/04/2020
1773	McLeod	41	US	0	44.82367677	-94.27287017	Minnesota	0	06/05/2020
1774	McLeod	43	US	0	44.82367677	-94.27287017	Minnesota	0	06/06/2020
1774	McLeod	43	US	0	44.82367677	-94.27287017	Minnesota	0	06/07/2020
1774	McLeod	44	US	0	44.82367677	-94.27287017	Minnesota	0	06/08/2020
1776	McLeod	45	US	0	44.82367677	-94.27287017	Minnesota	0	06/09/2020
1778	McLeod	46	US	0	44.82367677	-94.27287017	Minnesota	0	06/10/2020
1779	McLeod	52	US	0	44.82367677	-94.27287017	Minnesota	0	06/11/2020
1787	McLeod	52	US	0	44.82367677	-94.27287017	Minnesota	0	06/12/2020
1788	McLeod	54	US	0	44.82367677	-94.27287017	Minnesota	0	06/13/2020
1788	McLeod	54	US	0	44.82367677	-94.27287017	Minnesota	0	06/14/2020
1790	McLeod	54	US	0	44.82367677	-94.27287017	Minnesota	0	06/15/2020
1789	McLeod	54	US	0	44.82367677	-94.27287017	Minnesota	0	06/16/2020
1791	McLeod	56	US	0	44.82367677	-94.27287017	Minnesota	0	06/17/2020
1791	McLeod	58	US	0	44.82367677	-94.27287017	Minnesota	0	06/18/2020
1791	McLeod	64	US	0	44.82367677	-94.27287017	Minnesota	0	06/19/2020
1795	McLeod	66	US	0	44.82367677	-94.27287017	Minnesota	0	06/20/2020
1795	McLeod	67	US	0	44.82367677	-94.27287017	Minnesota	0	06/21/2020
1796	McLeod	68	US	0	44.82367677	-94.27287017	Minnesota	0	06/22/2020
1799	McLeod	69	US	0	44.82367677	-94.27287017	Minnesota	0	06/23/2020
1807	McLeod	71	US	0	44.82367677	-94.27287017	Minnesota	0	06/24/2020
1812	McLeod	75	US	0	44.82367677	-94.27287017	Minnesota	0	06/25/2020
1813	McLeod	80	US	0	44.82367677	-94.27287017	Minnesota	0	06/26/2020
1814	McLeod	80	US	0	44.82367677	-94.27287017	Minnesota	0	06/27/2020
1814	McLeod	79	US	0	44.82367677	-94.27287017	Minnesota	0	06/28/2020
1815	McLeod	81	US	0	44.82367677	-94.27287017	Minnesota	0	06/29/2020
1816	McLeod	81	US	0	44.82367677	-94.27287017	Minnesota	0	06/30/2020
1816	McLeod	85	US	0	44.82367677	-94.27287017	Minnesota	0	07/01/2020
1818	McLeod	85	US	0	44.82367677	-94.27287017	Minnesota	0	07/02/2020
1821	McLeod	88	US	0	44.82367677	-94.27287017	Minnesota	0	07/03/2020
1821	McLeod	88	US	0	44.82367677	-94.27287017	Minnesota	0	07/04/2020
1821	McLeod	91	US	0	44.82367677	-94.27287017	Minnesota	0	07/05/2020
