	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2030	Minnesota	US	03/22/2020	48.77501878	-95.81079919	0	0	0	Roseau
2470	Minnesota	US	03/23/2020	48.77501878	-95.81079919	0	0	0	Roseau
2470	Minnesota	US	03/24/2020	48.77501878	-95.81079919	0	0	0	Roseau
2470	Minnesota	US	03/25/2020	48.77501878	-95.81079919	0	0	0	Roseau
2469	Minnesota	US	03/26/2020	48.77501878	-95.81079919	0	0	0	Roseau
2469	Minnesota	US	03/27/2020	48.77501878	-95.81079919	0	0	0	Roseau
2469	Minnesota	US	03/28/2020	48.77501878	-95.81079919	0	0	0	Roseau
2469	Minnesota	US	03/29/2020	48.77501878	-95.81079919	0	0	0	Roseau
2469	Minnesota	US	03/30/2020	48.77501878	-95.81079919	0	0	0	Roseau
2011	Minnesota	US	04/08/2020	48.77501878	-95.81079919	1	0	0	Roseau
2034	Minnesota	US	04/09/2020	48.77501878	-95.81079919	1	0	0	Roseau
2053	Minnesota	US	04/10/2020	48.77501878	-95.81079919	1	0	0	Roseau
2077	Minnesota	US	04/11/2020	48.77501878	-95.81079919	1	0	0	Roseau
2093	Minnesota	US	04/12/2020	48.77501878	-95.81079919	1	0	0	Roseau
2107	Minnesota	US	04/13/2020	48.77501878	-95.81079919	1	0	0	Roseau
2115	Minnesota	US	04/14/2020	48.77501878	-95.81079919	1	0	0	Roseau
2126	Minnesota	US	04/15/2020	48.77501878	-95.81079919	1	0	0	Roseau
2137	Minnesota	US	04/16/2020	48.77501878	-95.81079919	1	0	0	Roseau
2139	Minnesota	US	04/17/2020	48.77501878	-95.81079919	1	0	0	Roseau
2146	Minnesota	US	04/18/2020	48.77501878	-95.81079919	1	0	0	Roseau
2159	Minnesota	US	04/19/2020	48.77501878	-95.81079919	1	0	0	Roseau
2166	Minnesota	US	04/20/2020	48.77501878	-95.81079919	1	0	0	Roseau
2175	Minnesota	US	04/21/2020	48.77501878	-95.81079919	1	0	0	Roseau
2182	Minnesota	US	04/22/2020	48.77501878	-95.81079919	1	0	0	Roseau
2196	Minnesota	US	04/23/2020	48.77501878	-95.81079919	1	0	0	Roseau
2201	Minnesota	US	04/24/2020	48.77501878	-95.81079919	1	0	0	Roseau
2206	Minnesota	US	04/25/2020	48.77501878	-95.81079919	1	0	0	Roseau
2213	Minnesota	US	04/26/2020	48.77501878	-95.81079919	1	0	0	Roseau
2219	Minnesota	US	04/27/2020	48.77501878	-95.81079919	1	0	0	Roseau
2227	Minnesota	US	04/28/2020	48.77501878	-95.81079919	1	0	0	Roseau
2230	Minnesota	US	04/29/2020	48.77501878	-95.81079919	1	0	0	Roseau
