	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
743	Jones	1	US	0	31.62257767	-89.16896899999999	Mississippi	0	03/22/2020
1454	Jones	1	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/23/2020
1454	Jones	1	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/24/2020
1454	Jones	1	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/25/2020
1453	Jones	1	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/26/2020
1453	Jones	1	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/27/2020
1453	Jones	3	US	0	31.62257767	-89.16896899999999	Mississippi	0	03/28/2020
1453	Jones	5	US	0	31.62257767	-89.16896899999999	Mississippi	0	03/29/2020
1453	Jones	5	US	0	31.62257767	-89.16896899999999	Mississippi	0	03/30/2020
980	Jones	6	US	0	31.62257767	-89.16896899999998	Mississippi	0	03/31/2020
1007	Jones	6	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/01/2020
1045	Jones	6	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/02/2020
1064	Jones	8	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/03/2020
1090	Jones	9	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/04/2020
1130	Jones	11	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/05/2020
1145	Jones	13	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/06/2020
1169	Jones	14	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/07/2020
1183	Jones	15	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/08/2020
1196	Jones	19	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/09/2020
1203	Jones	25	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/10/2020
1216	Jones	30	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/11/2020
1224	Jones	33	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/12/2020
1234	Jones	37	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/13/2020
1240	Jones	40	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/14/2020
1246	Jones	42	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/15/2020
1249	Jones	48	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/16/2020
1249	Jones	56	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/17/2020
1254	Jones	63	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/18/2020
1264	Jones	70	US	0	31.62257767	-89.16896899999999	Mississippi	0	04/19/2020
1268	Jones	74	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/20/2020
1274	Jones	80	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/21/2020
1278	Jones	88	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/22/2020
1287	Jones	94	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/23/2020
1289	Jones	104	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/24/2020
1290	Jones	116	US	0	31.62257767	-89.16896899999998	Mississippi	0	04/25/2020
1296	Jones	118	US	1	31.62257767	-89.16896899999998	Mississippi	0	04/26/2020
1298	Jones	130	US	1	31.62257767	-89.16896899999998	Mississippi	0	04/27/2020
1303	Jones	132	US	1	31.62257767	-89.16896899999998	Mississippi	0	04/28/2020
1305	Jones	136	US	1	31.62257767	-89.16896899999998	Mississippi	0	04/29/2020
1311	Jones	143	US	1	31.62257767	-89.16896899999998	Mississippi	0	04/30/2020
1317	Jones	159	US	2	31.62257767	-89.16896899999998	Mississippi	0	05/01/2020
1320	Jones	168	US	2	31.62257767	-89.16896899999998	Mississippi	0	05/02/2020
1322	Jones	172	US	2	31.62257767	-89.16896899999998	Mississippi	0	05/03/2020
1324	Jones	185	US	2	31.62257767	-89.16896899999998	Mississippi	0	05/04/2020
1329	Jones	193	US	2	31.62257767	-89.16896899999998	Mississippi	0	05/05/2020
1332	Jones	199	US	4	31.62257767	-89.16896899999998	Mississippi	0	05/06/2020
1335	Jones	209	US	4	31.62257767	-89.16896899999998	Mississippi	0	05/07/2020
1339	Jones	223	US	4	31.62257767	-89.16896899999998	Mississippi	0	05/08/2020
1339	Jones	243	US	5	31.62257767	-89.16896899999998	Mississippi	0	05/09/2020
1340	Jones	247	US	5	31.62257767	-89.16896899999998	Mississippi	0	05/10/2020
1340	Jones	249	US	5	31.62257767	-89.16896899999998	Mississippi	0	05/11/2020
1342	Jones	260	US	6	31.62257767	-89.16896899999998	Mississippi	0	05/12/2020
1342	Jones	264	US	6	31.62257767	-89.16896899999998	Mississippi	0	05/13/2020
1343	Jones	287	US	7	31.62257767	-89.16896899999998	Mississippi	0	05/14/2020
1347	Jones	304	US	7	31.62257767	-89.16896899999998	Mississippi	0	05/15/2020
1348	Jones	319	US	8	31.62257767	-89.16896899999998	Mississippi	0	05/16/2020
1349	Jones	337	US	9	31.62257767	-89.16896899999998	Mississippi	0	05/17/2020
1350	Jones	342	US	9	31.62257767	-89.16896899999998	Mississippi	0	05/18/2020
1352	Jones	358	US	10	31.62257767	-89.16896899999998	Mississippi	0	05/19/2020
1355	Jones	366	US	12	31.62257767	-89.16896899999998	Mississippi	0	05/20/2020
1355	Jones	386	US	12	31.62257767	-89.16896899999998	Mississippi	0	05/21/2020
1360	Jones	422	US	12	31.62257767	-89.16896899999998	Mississippi	0	05/22/2020
1361	Jones	435	US	13	31.62257767	-89.16896899999998	Mississippi	0	05/23/2020
1364	Jones	467	US	13	31.62257767	-89.16896899999998	Mississippi	0	05/24/2020
1364	Jones	492	US	15	31.62257767	-89.16896899999998	Mississippi	0	05/25/2020
1365	Jones	506	US	18	31.62257767	-89.16896899999998	Mississippi	0	05/26/2020
1366	Jones	525	US	19	31.62257767	-89.16896899999998	Mississippi	0	05/27/2020
1366	Jones	566	US	22	31.62257767	-89.16896899999998	Mississippi	0	05/28/2020
1369	Jones	576	US	25	31.62257767	-89.16896899999998	Mississippi	0	05/29/2020
1370	Jones	598	US	25	31.62257767	-89.16896899999998	Mississippi	0	05/30/2020
1371	Jones	629	US	28	31.62257767	-89.16896899999998	Mississippi	0	05/31/2020
1373	Jones	652	US	28	31.62257767	-89.16896899999998	Mississippi	0	06/01/2020
1377	Jones	663	US	31	31.62257767	-89.16896899999998	Mississippi	0	06/02/2020
1378	Jones	686	US	32	31.62257767	-89.16896899999998	Mississippi	0	06/03/2020
1379	Jones	701	US	33	31.62257767	-89.16896899999998	Mississippi	0	06/04/2020
1381	Jones	709	US	33	31.62257767	-89.16896899999998	Mississippi	0	06/05/2020
1381	Jones	715	US	34	31.62257767	-89.16896899999998	Mississippi	0	06/06/2020
1381	Jones	729	US	34	31.62257767	-89.16896899999998	Mississippi	0	06/07/2020
1381	Jones	777	US	36	31.62257767	-89.16896899999998	Mississippi	0	06/08/2020
1382	Jones	792	US	36	31.62257767	-89.16896899999998	Mississippi	0	06/09/2020
1383	Jones	812	US	36	31.62257767	-89.16896899999998	Mississippi	0	06/10/2020
1384	Jones	812	US	36	31.62257767	-89.16896899999998	Mississippi	0	06/11/2020
1391	Jones	845	US	37	31.62257767	-89.16896899999998	Mississippi	0	06/12/2020
1392	Jones	852	US	38	31.62257767	-89.16896899999998	Mississippi	0	06/13/2020
1392	Jones	868	US	38	31.62257767	-89.16896899999998	Mississippi	0	06/14/2020
1394	Jones	881	US	39	31.62257767	-89.16896899999998	Mississippi	0	06/15/2020
1393	Jones	899	US	43	31.62257767	-89.16896899999998	Mississippi	0	06/16/2020
1395	Jones	910	US	44	31.62257767	-89.16896899999998	Mississippi	0	06/17/2020
1395	Jones	910	US	44	31.62257767	-89.16896899999998	Mississippi	0	06/18/2020
1395	Jones	910	US	44	31.62257767	-89.16896899999998	Mississippi	0	06/19/2020
1399	Jones	910	US	44	31.62257767	-89.16896899999998	Mississippi	0	06/20/2020
1399	Jones	910	US	44	31.62257767	-89.16896899999998	Mississippi	0	06/21/2020
1400	Jones	928	US	47	31.62257767	-89.16896899999998	Mississippi	0	06/22/2020
1401	Jones	952	US	47	31.62257767	-89.16896899999998	Mississippi	0	06/23/2020
1407	Jones	965	US	48	31.62257767	-89.16896899999998	Mississippi	0	06/24/2020
1412	Jones	994	US	48	31.62257767	-89.16896899999998	Mississippi	0	06/25/2020
