	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
740	Oktibbeha	2	US	0	33.42491685	-88.87905132	Mississippi	0	03/22/2020
2131	Oktibbeha	5	US	0	33.42491685	-88.87905132	Mississippi	0	03/23/2020
2131	Oktibbeha	5	US	0	33.42491685	-88.87905132	Mississippi	0	03/24/2020
2131	Oktibbeha	7	US	0	33.42491685	-88.87905132	Mississippi	0	03/25/2020
2130	Oktibbeha	10	US	0	33.42491685	-88.87905132	Mississippi	0	03/26/2020
2130	Oktibbeha	12	US	0	33.42491685	-88.87905132	Mississippi	0	03/27/2020
2130	Oktibbeha	14	US	0	33.42491685	-88.87905132	Mississippi	0	03/28/2020
2130	Oktibbeha	15	US	0	33.42491685	-88.87905132	Mississippi	0	03/29/2020
2130	Oktibbeha	15	US	0	33.42491685	-88.87905132	Mississippi	0	03/30/2020
1441	Oktibbeha	17	US	0	33.42491685	-88.87905132	Mississippi	0	03/31/2020
1479	Oktibbeha	18	US	0	33.42491685	-88.87905132	Mississippi	0	04/01/2020
1537	Oktibbeha	20	US	0	33.42491685	-88.87905132	Mississippi	0	04/02/2020
1569	Oktibbeha	23	US	0	33.42491685	-88.87905132	Mississippi	0	04/03/2020
1608	Oktibbeha	24	US	0	33.42491685	-88.87905132	Mississippi	0	04/04/2020
1660	Oktibbeha	27	US	0	33.42491685	-88.87905132	Mississippi	0	04/05/2020
1686	Oktibbeha	27	US	0	33.42491685	-88.87905132	Mississippi	0	04/06/2020
1723	Oktibbeha	29	US	1	33.42491685	-88.87905132	Mississippi	0	04/07/2020
1739	Oktibbeha	30	US	1	33.42491685	-88.87905132	Mississippi	0	04/08/2020
1759	Oktibbeha	35	US	1	33.42491685	-88.87905132	Mississippi	0	04/09/2020
1772	Oktibbeha	36	US	1	33.42491685	-88.87905132	Mississippi	0	04/10/2020
1790	Oktibbeha	36	US	1	33.42491685	-88.87905132	Mississippi	0	04/11/2020
1803	Oktibbeha	37	US	1	33.42491685	-88.87905132	Mississippi	0	04/12/2020
1817	Oktibbeha	37	US	1	33.42491685	-88.87905132	Mississippi	0	04/13/2020
1824	Oktibbeha	37	US	1	33.42491685	-88.87905132	Mississippi	0	04/14/2020
1834	Oktibbeha	41	US	1	33.42491685	-88.87905132	Mississippi	0	04/15/2020
1842	Oktibbeha	42	US	1	33.42491685	-88.87905132	Mississippi	0	04/16/2020
1844	Oktibbeha	42	US	2	33.42491685	-88.87905132	Mississippi	0	04/17/2020
1850	Oktibbeha	43	US	2	33.42491685	-88.87905132	Mississippi	0	04/18/2020
1861	Oktibbeha	43	US	2	33.42491685	-88.87905132	Mississippi	0	04/19/2020
1868	Oktibbeha	43	US	2	33.42491685	-88.87905132	Mississippi	0	04/20/2020
1876	Oktibbeha	44	US	3	33.42491685	-88.87905132	Mississippi	0	04/21/2020
1883	Oktibbeha	44	US	3	33.42491685	-88.87905132	Mississippi	0	04/22/2020
