	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
734	Mississippi	US	03/22/2020	31.14971548	-90.10446654	2	0	0	Walthall
2948	Mississippi	US	03/23/2020	31.14971548	-90.10446654	2	0	0	Walthall
2947	Mississippi	US	03/24/2020	31.14971548	-90.10446654	2	0	0	Walthall
2947	Mississippi	US	03/25/2020	31.14971548	-90.10446654	3	0	0	Walthall
2944	Mississippi	US	03/26/2020	31.14971548	-90.10446654	4	0	0	Walthall
2951	Mississippi	US	03/27/2020	31.14971548	-90.10446654	4	0	0	Walthall
2948	Mississippi	US	03/28/2020	31.14971548	-90.10446654	5	0	0	Walthall
2952	Mississippi	US	03/29/2020	31.14971548	-90.10446654	5	0	0	Walthall
2956	Mississippi	US	03/30/2020	31.14971548	-90.10446654	5	0	0	Walthall
2007	Mississippi	US	03/31/2020	31.14971548	-90.10446654	5	0	0	Walthall
2055	Mississippi	US	04/01/2020	31.14971548	-90.10446654	7	0	0	Walthall
2134	Mississippi	US	04/02/2020	31.14971548	-90.10446654	10	0	0	Walthall
2180	Mississippi	US	04/03/2020	31.14971548	-90.10446654	11	0	0	Walthall
2235	Mississippi	US	04/04/2020	31.14971548	-90.10446654	12	0	0	Walthall
2312	Mississippi	US	04/05/2020	31.14971548	-90.10446654	12	0	0	Walthall
2352	Mississippi	US	04/06/2020	31.14971548	-90.10446654	12	0	0	Walthall
2402	Mississippi	US	04/07/2020	31.14971548	-90.10446654	14	0	0	Walthall
2426	Mississippi	US	04/08/2020	31.14971548	-90.10446654	15	0	0	Walthall
2453	Mississippi	US	04/09/2020	31.14971548	-90.10446654	16	0	0	Walthall
2479	Mississippi	US	04/10/2020	31.14971548	-90.10446654	16	0	0	Walthall
2501	Mississippi	US	04/11/2020	31.14971548	-90.10446654	16	0	0	Walthall
2524	Mississippi	US	04/12/2020	31.14971548	-90.10446654	18	0	0	Walthall
2538	Mississippi	US	04/13/2020	31.14971548	-90.10446654	21	0	0	Walthall
2549	Mississippi	US	04/14/2020	31.14971548	-90.10446654	22	0	0	Walthall
2562	Mississippi	US	04/15/2020	31.14971548	-90.10446654	22	0	0	Walthall
2576	Mississippi	US	04/16/2020	31.14971548	-90.10446654	22	0	0	Walthall
2578	Mississippi	US	04/17/2020	31.14971548	-90.10446654	22	0	0	Walthall
2585	Mississippi	US	04/18/2020	31.14971548	-90.10446654	23	0	0	Walthall
2603	Mississippi	US	04/19/2020	31.14971548	-90.10446654	24	0	0	Walthall
2612	Mississippi	US	04/20/2020	31.14971548	-90.10446654	24	0	0	Walthall
2621	Mississippi	US	04/21/2020	31.14971548	-90.10446654	24	0	0	Walthall
2628	Mississippi	US	04/22/2020	31.14971548	-90.10446654	25	0	0	Walthall
2648	Mississippi	US	04/23/2020	31.14971548	-90.10446654	27	0	0	Walthall
2655	Mississippi	US	04/24/2020	31.14971548	-90.10446654	27	0	0	Walthall
2661	Mississippi	US	04/25/2020	31.14971548	-90.10446654	27	0	0	Walthall
2669	Mississippi	US	04/26/2020	31.14971548	-90.10446654	28	0	0	Walthall
2677	Mississippi	US	04/27/2020	31.14971548	-90.10446654	29	0	0	Walthall
2688	Mississippi	US	04/28/2020	31.14971548	-90.10446654	30	0	0	Walthall
2693	Mississippi	US	04/29/2020	31.14971548	-90.10446654	30	0	0	Walthall
2699	Mississippi	US	04/30/2020	31.14971548	-90.10446654	31	0	0	Walthall
2709	Mississippi	US	05/01/2020	31.14971548	-90.10446654	32	0	0	Walthall
2713	Mississippi	US	05/02/2020	31.14971548	-90.10446654	32	0	0	Walthall
2718	Mississippi	US	05/03/2020	31.14971548	-90.10446654	33	0	0	Walthall
2721	Mississippi	US	05/04/2020	31.14971548	-90.10446654	33	0	0	Walthall
2729	Mississippi	US	05/05/2020	31.14971548	-90.10446654	35	0	0	Walthall
2735	Mississippi	US	05/06/2020	31.14971548	-90.10446654	36	0	0	Walthall
2742	Mississippi	US	05/07/2020	31.14971548	-90.10446654	36	0	0	Walthall
2749	Mississippi	US	05/08/2020	31.14971548	-90.10446654	37	0	0	Walthall
2751	Mississippi	US	05/09/2020	31.14971548	-90.10446654	37	0	0	Walthall
2753	Mississippi	US	05/10/2020	31.14971548	-90.10446654	39	0	0	Walthall
2753	Mississippi	US	05/11/2020	31.14971548	-90.10446654	41	0	0	Walthall
2756	Mississippi	US	05/12/2020	31.14971548	-90.10446654	42	0	0	Walthall
2757	Mississippi	US	05/13/2020	31.14971548	-90.10446654	42	0	0	Walthall
2759	Mississippi	US	05/14/2020	31.14971548	-90.10446654	42	0	0	Walthall
2764	Mississippi	US	05/15/2020	31.14971548	-90.10446654	44	0	0	Walthall
2768	Mississippi	US	05/16/2020	31.14971548	-90.10446654	46	0	0	Walthall
2771	Mississippi	US	05/17/2020	31.14971548	-90.10446654	46	0	0	Walthall
2773	Mississippi	US	05/18/2020	31.14971548	-90.10446654	46	0	0	Walthall
2777	Mississippi	US	05/19/2020	31.14971548	-90.10446654	44	0	0	Walthall
2783	Mississippi	US	05/20/2020	31.14971548	-90.10446654	46	0	0	Walthall
2785	Mississippi	US	05/21/2020	31.14971548	-90.10446654	48	0	0	Walthall
2792	Mississippi	US	05/22/2020	31.14971548	-90.10446654	50	0	0	Walthall
2794	Mississippi	US	05/23/2020	31.14971548	-90.10446654	51	0	0	Walthall
2797	Mississippi	US	05/24/2020	31.14971548	-90.10446654	51	0	0	Walthall
2798	Mississippi	US	05/25/2020	31.14971548	-90.10446654	49	0	0	Walthall
2799	Mississippi	US	05/26/2020	31.14971548	-90.10446654	50	0	0	Walthall
2802	Mississippi	US	05/27/2020	31.14971548	-90.10446654	51	0	0	Walthall
2805	Mississippi	US	05/28/2020	31.14971548	-90.10446654	52	0	0	Walthall
2808	Mississippi	US	05/29/2020	31.14971548	-90.10446654	54	0	0	Walthall
2810	Mississippi	US	05/30/2020	31.14971548	-90.10446654	55	0	0	Walthall
2811	Mississippi	US	05/31/2020	31.14971548	-90.10446654	56	0	0	Walthall
2813	Mississippi	US	06/01/2020	31.14971548	-90.10446654	57	0	0	Walthall
2818	Mississippi	US	06/02/2020	31.14971548	-90.10446654	61	0	0	Walthall
2820	Mississippi	US	06/03/2020	31.14971548	-90.10446654	63	0	0	Walthall
2821	Mississippi	US	06/04/2020	31.14971548	-90.10446654	64	0	0	Walthall
2825	Mississippi	US	06/05/2020	31.14971548	-90.10446654	67	0	0	Walthall
2827	Mississippi	US	06/06/2020	31.14971548	-90.10446654	70	0	0	Walthall
2827	Mississippi	US	06/07/2020	31.14971548	-90.10446654	74	0	0	Walthall
2827	Mississippi	US	06/08/2020	31.14971548	-90.10446654	76	0	0	Walthall
2829	Mississippi	US	06/09/2020	31.14971548	-90.10446654	82	0	0	Walthall
2831	Mississippi	US	06/10/2020	31.14971548	-90.10446654	85	0	0	Walthall
2833	Mississippi	US	06/11/2020	31.14971548	-90.10446654	85	0	0	Walthall
2847	Mississippi	US	06/12/2020	31.14971548	-90.10446654	97	1	0	Walthall
2850	Mississippi	US	06/13/2020	31.14971548	-90.10446654	100	1	0	Walthall
2850	Mississippi	US	06/14/2020	31.14971548	-90.10446654	103	1	0	Walthall
2855	Mississippi	US	06/15/2020	31.14971548	-90.10446654	105	1	0	Walthall
2853	Mississippi	US	06/16/2020	31.14971548	-90.10446654	107	1	0	Walthall
2855	Mississippi	US	06/17/2020	31.14971548	-90.10446654	111	1	0	Walthall
2856	Mississippi	US	06/18/2020	31.14971548	-90.10446654	111	1	0	Walthall
2857	Mississippi	US	06/19/2020	31.14971548	-90.10446654	111	1	0	Walthall
2861	Mississippi	US	06/20/2020	31.14971548	-90.10446654	111	1	0	Walthall
2861	Mississippi	US	06/21/2020	31.14971548	-90.10446654	111	1	0	Walthall
2864	Mississippi	US	06/22/2020	31.14971548	-90.10446654	133	2	0	Walthall
2869	Mississippi	US	06/23/2020	31.14971548	-90.10446654	140	1	0	Walthall
2881	Mississippi	US	06/24/2020	31.14971548	-90.10446654	147	3	0	Walthall
2887	Mississippi	US	06/25/2020	31.14971548	-90.10446654	163	3	0	Walthall
2888	Mississippi	US	06/26/2020	31.14971548	-90.10446654	165	3	0	Walthall
2889	Mississippi	US	06/27/2020	31.14971548	-90.10446654	165	3	0	Walthall
2889	Mississippi	US	06/28/2020	31.14971548	-90.10446654	166	3	0	Walthall
2891	Mississippi	US	06/29/2020	31.14971548	-90.10446654	168	3	0	Walthall
2893	Mississippi	US	06/30/2020	31.14971548	-90.10446654	169	4	0	Walthall
2895	Mississippi	US	07/01/2020	31.14971548	-90.10446654	172	4	0	Walthall
2898	Mississippi	US	07/02/2020	31.14971548	-90.10446654	179	4	0	Walthall
2903	Mississippi	US	07/03/2020	31.14971548	-90.10446654	180	4	0	Walthall
2904	Mississippi	US	07/04/2020	31.14971548	-90.10446654	200	4	0	Walthall
2905	Mississippi	US	07/05/2020	31.14971548	-90.10446654	199	5	0	Walthall
2908	Mississippi	US	07/06/2020	31.14971548	-90.10446654	204	5	0	Walthall
2909	Mississippi	US	07/07/2020	31.14971548	-90.10446654	205	6	0	Walthall
2912	Mississippi	US	07/08/2020	31.14971548	-90.10446654	208	7	0	Walthall
2911	Mississippi	US	07/09/2020	31.14971548	-90.10446654	226	7	0	Walthall
2915	Mississippi	US	07/10/2020	31.14971548	-90.10446654	249	7	0	Walthall
2916	Mississippi	US	07/11/2020	31.14971548	-90.10446654	262	7	0	Walthall
2918	Mississippi	US	07/12/2020	31.14971548	-90.10446654	270	8	0	Walthall
2919	Mississippi	US	07/13/2020	31.14971548	-90.10446654	274	8	0	Walthall
2925	Mississippi	US	07/14/2020	31.14971548	-90.10446654	289	9	0	Walthall
2926	Mississippi	US	07/15/2020	31.14971548	-90.10446654	292	10	0	Walthall
2928	Mississippi	US	07/16/2020	31.14971548	-90.10446654	304	10	0	Walthall
2928	Mississippi	US	07/17/2020	31.14971548	-90.10446654	310	10	0	Walthall
3007	Mississippi	US	07/18/2020	31.14971548	-90.10446654	342	12	0	Walthall
3007	Mississippi	US	07/19/2020	31.14971548	-90.10446654	345	12	0	Walthall
