	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
745	Yazoo	1	US	0	32.77890365	-90.39656148	Mississippi	0	03/22/2020
3151	Yazoo	1	US	0	32.77890365	-90.39656148	Mississippi	0	03/23/2020
3150	Yazoo	3	US	0	32.77890365	-90.39656148	Mississippi	0	03/24/2020
3150	Yazoo	3	US	0	32.77890365	-90.39656148	Mississippi	0	03/25/2020
3147	Yazoo	3	US	0	32.77890365	-90.39656148	Mississippi	0	03/26/2020
3154	Yazoo	4	US	0	32.77890365	-90.39656148	Mississippi	0	03/27/2020
3151	Yazoo	4	US	0	32.77890365	-90.39656148	Mississippi	0	03/28/2020
3155	Yazoo	5	US	0	32.77890365	-90.39656148	Mississippi	0	03/29/2020
3159	Yazoo	5	US	0	32.77890365	-90.39656148	Mississippi	0	03/30/2020
2160	Yazoo	9	US	0	32.77890365	-90.39656148	Mississippi	0	03/31/2020
2208	Yazoo	9	US	0	32.77890365	-90.39656148	Mississippi	0	04/01/2020
2291	Yazoo	11	US	0	32.77890365	-90.39656148	Mississippi	0	04/02/2020
2345	Yazoo	13	US	1	32.77890365	-90.39656148	Mississippi	0	04/03/2020
2398	Yazoo	19	US	1	32.77890365	-90.39656148	Mississippi	0	04/04/2020
2479	Yazoo	31	US	1	32.77890365	-90.39656148	Mississippi	0	04/05/2020
2522	Yazoo	32	US	1	32.77890365	-90.39656148	Mississippi	0	04/06/2020
2571	Yazoo	32	US	1	32.77890365	-90.39656148	Mississippi	0	04/07/2020
2597	Yazoo	38	US	1	32.77890365	-90.39656148	Mississippi	0	04/08/2020
2625	Yazoo	47	US	1	32.77890365	-90.39656148	Mississippi	0	04/09/2020
2654	Yazoo	55	US	1	32.77890365	-90.39656148	Mississippi	0	04/10/2020
2678	Yazoo	58	US	1	32.77890365	-90.39656148	Mississippi	0	04/11/2020
2702	Yazoo	63	US	1	32.77890365	-90.39656148	Mississippi	0	04/12/2020
2716	Yazoo	64	US	1	32.77890365	-90.39656148	Mississippi	0	04/13/2020
2728	Yazoo	64	US	1	32.77890365	-90.39656148	Mississippi	0	04/14/2020
2741	Yazoo	65	US	1	32.77890365	-90.39656148	Mississippi	0	04/15/2020
2756	Yazoo	72	US	1	32.77890365	-90.39656148	Mississippi	0	04/16/2020
2759	Yazoo	81	US	1	32.77890365	-90.39656148	Mississippi	0	04/17/2020
2767	Yazoo	85	US	1	32.77890365	-90.39656148	Mississippi	0	04/18/2020
2785	Yazoo	91	US	1	32.77890365	-90.39656148	Mississippi	0	04/19/2020
2794	Yazoo	95	US	1	32.77890365	-90.39656148	Mississippi	0	04/20/2020
2804	Yazoo	103	US	1	32.77890365	-90.39656148	Mississippi	0	04/21/2020
2813	Yazoo	103	US	1	32.77890365	-90.39656148	Mississippi	0	04/22/2020
2833	Yazoo	110	US	1	32.77890365	-90.39656148	Mississippi	0	04/23/2020
2842	Yazoo	117	US	1	32.77890365	-90.39656148	Mississippi	0	04/24/2020
2848	Yazoo	120	US	1	32.77890365	-90.39656148	Mississippi	0	04/25/2020
2856	Yazoo	122	US	1	32.77890365	-90.39656148	Mississippi	0	04/26/2020
2864	Yazoo	126	US	1	32.77890365	-90.39656148	Mississippi	0	04/27/2020
2875	Yazoo	129	US	1	32.77890365	-90.39656148	Mississippi	0	04/28/2020
2880	Yazoo	134	US	1	32.77890365	-90.39656148	Mississippi	0	04/29/2020
2887	Yazoo	135	US	1	32.77890365	-90.39656148	Mississippi	0	04/30/2020
2898	Yazoo	139	US	1	32.77890365	-90.39656148	Mississippi	0	05/01/2020
2902	Yazoo	144	US	1	32.77890365	-90.39656148	Mississippi	0	05/02/2020
2908	Yazoo	147	US	2	32.77890365	-90.39656148	Mississippi	0	05/03/2020
2911	Yazoo	151	US	2	32.77890365	-90.39656148	Mississippi	0	05/04/2020
