	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2099	Missouri	US	03/22/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/23/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/24/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/25/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/26/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/27/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/28/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/29/2020	36.9325593	-92.49905109	0	0	0	Douglas
811	Missouri	US	03/30/2020	36.9325593	-92.49905109	0	0	0	Douglas
777	Missouri	US	06/12/2020	36.9325593	-92.49905109	3	0	0	Douglas
778	Missouri	US	06/13/2020	36.9325593	-92.49905109	3	0	0	Douglas
778	Missouri	US	06/14/2020	36.9325593	-92.49905109	3	0	0	Douglas
779	Missouri	US	06/15/2020	36.9325593	-92.49905109	3	0	0	Douglas
779	Missouri	US	06/16/2020	36.9325593	-92.49905109	3	0	0	Douglas
779	Missouri	US	06/17/2020	36.9325593	-92.49905109	3	0	0	Douglas
779	Missouri	US	06/18/2020	36.9325593	-92.49905109	3	0	0	Douglas
779	Missouri	US	06/19/2020	36.9325593	-92.49905109	3	0	0	Douglas
783	Missouri	US	06/20/2020	36.9325593	-92.49905109	3	0	0	Douglas
783	Missouri	US	06/21/2020	36.9325593	-92.49905109	3	0	0	Douglas
783	Missouri	US	06/22/2020	36.9325593	-92.49905109	3	0	0	Douglas
783	Missouri	US	06/23/2020	36.9325593	-92.49905109	3	0	0	Douglas
786	Missouri	US	06/24/2020	36.9325593	-92.49905109	3	0	0	Douglas
787	Missouri	US	06/25/2020	36.9325593	-92.49905109	3	0	0	Douglas
787	Missouri	US	06/26/2020	36.9325593	-92.49905109	3	0	0	Douglas
788	Missouri	US	06/27/2020	36.9325593	-92.49905109	3	0	0	Douglas
788	Missouri	US	06/28/2020	36.9325593	-92.49905109	3	0	0	Douglas
788	Missouri	US	06/29/2020	36.9325593	-92.49905109	3	0	0	Douglas
789	Missouri	US	06/30/2020	36.9325593	-92.49905109	3	0	0	Douglas
789	Missouri	US	07/01/2020	36.9325593	-92.49905109	3	0	0	Douglas
790	Missouri	US	07/02/2020	36.9325593	-92.49905109	6	0	0	Douglas
791	Missouri	US	07/03/2020	36.9325593	-92.49905109	6	0	0	Douglas
791	Missouri	US	07/04/2020	36.9325593	-92.49905109	6	0	0	Douglas
791	Missouri	US	07/05/2020	36.9325593	-92.49905109	6	0	0	Douglas
791	Missouri	US	07/06/2020	36.9325593	-92.49905109	6	0	0	Douglas
791	Missouri	US	07/07/2020	36.9325593	-92.49905109	6	0	0	Douglas
792	Missouri	US	07/08/2020	36.9325593	-92.49905109	6	0	0	Douglas
792	Missouri	US	07/09/2020	36.9325593	-92.49905109	8	0	0	Douglas
793	Missouri	US	07/10/2020	36.9325593	-92.49905109	11	0	0	Douglas
793	Missouri	US	07/11/2020	36.9325593	-92.49905109	12	0	0	Douglas
793	Missouri	US	07/12/2020	36.9325593	-92.49905109	12	0	0	Douglas
794	Missouri	US	07/13/2020	36.9325593	-92.49905109	13	0	0	Douglas
794	Missouri	US	07/14/2020	36.9325593	-92.49905109	16	0	0	Douglas
794	Missouri	US	07/15/2020	36.9325593	-92.49905109	17	0	0	Douglas
