	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2144	Missouri	US	03/22/2020	40.47942497	-93.02042674	0	0	0	Putnam
2366	Missouri	US	03/23/2020	40.47942497	-93.02042674	0	0	0	Putnam
2366	Missouri	US	03/24/2020	40.47942497	-93.02042674	0	0	0	Putnam
2366	Missouri	US	03/25/2020	40.47942497	-93.02042674	0	0	0	Putnam
2365	Missouri	US	03/26/2020	40.47942497	-93.02042674	0	0	0	Putnam
2365	Missouri	US	03/27/2020	40.47942497	-93.02042674	0	0	0	Putnam
2365	Missouri	US	03/28/2020	40.47942497	-93.02042674	0	0	0	Putnam
2365	Missouri	US	03/29/2020	40.47942497	-93.02042674	0	0	0	Putnam
2365	Missouri	US	03/30/2020	40.47942497	-93.02042674	0	0	0	Putnam
2265	Missouri	US	06/12/2020	40.47942497	-93.02042674	1	0	0	Putnam
2267	Missouri	US	06/13/2020	40.47942497	-93.02042674	1	0	0	Putnam
2267	Missouri	US	06/14/2020	40.47942497	-93.02042674	1	0	0	Putnam
2270	Missouri	US	06/15/2020	40.47942497	-93.02042674	1	0	0	Putnam
2268	Missouri	US	06/16/2020	40.47942497	-93.02042674	2	0	0	Putnam
2270	Missouri	US	06/17/2020	40.47942497	-93.02042674	2	0	0	Putnam
2270	Missouri	US	06/18/2020	40.47942497	-93.02042674	2	0	0	Putnam
2270	Missouri	US	06/19/2020	40.47942497	-93.02042674	2	0	0	Putnam
2274	Missouri	US	06/20/2020	40.47942497	-93.02042674	2	0	0	Putnam
2274	Missouri	US	06/21/2020	40.47942497	-93.02042674	2	0	0	Putnam
2276	Missouri	US	06/22/2020	40.47942497	-93.02042674	2	0	0	Putnam
2280	Missouri	US	06/23/2020	40.47942497	-93.02042674	2	0	0	Putnam
2290	Missouri	US	06/24/2020	40.47942497	-93.02042674	2	0	0	Putnam
2295	Missouri	US	06/25/2020	40.47942497	-93.02042674	2	0	0	Putnam
2296	Missouri	US	06/26/2020	40.47942497	-93.02042674	2	0	0	Putnam
2297	Missouri	US	06/27/2020	40.47942497	-93.02042674	2	0	0	Putnam
