	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2163	Missouri	US	03/22/2020	37.8457799	-94.34127305	0	0	0	Vernon
2922	Missouri	US	03/23/2020	37.8457799	-94.34127305	0	0	0	Vernon
2921	Missouri	US	03/24/2020	37.8457799	-94.34127305	0	0	0	Vernon
2921	Missouri	US	03/25/2020	37.8457799	-94.34127305	0	0	0	Vernon
2918	Missouri	US	03/26/2020	37.8457799	-94.34127305	0	0	0	Vernon
2925	Missouri	US	03/27/2020	37.8457799	-94.34127305	0	0	0	Vernon
2922	Missouri	US	03/28/2020	37.8457799	-94.34127305	0	0	0	Vernon
2926	Missouri	US	03/29/2020	37.8457799	-94.34127305	0	0	0	Vernon
2930	Missouri	US	03/30/2020	37.8457799	-94.34127305	0	0	0	Vernon
2457	Missouri	US	04/10/2020	37.8457799	-94.34127305	3	0	0	Vernon
2479	Missouri	US	04/11/2020	37.8457799	-94.34127305	3	0	0	Vernon
2502	Missouri	US	04/12/2020	37.8457799	-94.34127305	3	0	0	Vernon
2516	Missouri	US	04/13/2020	37.8457799	-94.34127305	3	0	0	Vernon
2527	Missouri	US	04/14/2020	37.8457799	-94.34127305	3	0	0	Vernon
2540	Missouri	US	04/15/2020	37.8457799	-94.34127305	3	0	0	Vernon
2554	Missouri	US	04/16/2020	37.8457799	-94.34127305	4	0	0	Vernon
2556	Missouri	US	04/17/2020	37.8457799	-94.34127305	4	0	0	Vernon
2563	Missouri	US	04/18/2020	37.8457799	-94.34127305	4	0	0	Vernon
2581	Missouri	US	04/19/2020	37.8457799	-94.34127305	4	0	0	Vernon
2590	Missouri	US	04/20/2020	37.8457799	-94.34127305	4	0	0	Vernon
2599	Missouri	US	04/21/2020	37.8457799	-94.34127305	4	0	0	Vernon
2606	Missouri	US	04/22/2020	37.8457799	-94.34127305	4	0	0	Vernon
2626	Missouri	US	04/23/2020	37.8457799	-94.34127305	4	0	0	Vernon
2632	Missouri	US	04/24/2020	37.8457799	-94.34127305	4	0	0	Vernon
2638	Missouri	US	04/25/2020	37.8457799	-94.34127305	4	0	0	Vernon
2646	Missouri	US	04/26/2020	37.8457799	-94.34127305	4	0	0	Vernon
2654	Missouri	US	04/27/2020	37.8457799	-94.34127305	4	0	0	Vernon
2663	Missouri	US	04/28/2020	37.8457799	-94.34127305	4	0	0	Vernon
2668	Missouri	US	04/29/2020	37.8457799	-94.34127305	4	0	0	Vernon
2674	Missouri	US	04/30/2020	37.8457799	-94.34127305	4	0	0	Vernon
2684	Missouri	US	05/01/2020	37.8457799	-94.34127305	4	0	0	Vernon
2688	Missouri	US	05/02/2020	37.8457799	-94.34127305	4	0	0	Vernon
2693	Missouri	US	05/03/2020	37.8457799	-94.34127305	4	0	0	Vernon
