	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2334	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/22/2020
2468	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/23/2020
2468	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/24/2020
2468	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/25/2020
2467	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/26/2020
2467	Roosevelt	0	US	0	34.02097406	-103.4799493	New Mexico	0	03/27/2020
2467	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	03/28/2020
2467	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	03/29/2020
2467	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	03/30/2020
1658	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	03/31/2020
1700	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/01/2020
1764	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/02/2020
1807	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/03/2020
1851	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/04/2020
1916	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/05/2020
1949	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/06/2020
1990	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/07/2020
2009	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/08/2020
2032	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/09/2020
2051	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/10/2020
2075	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/11/2020
2091	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/12/2020
2105	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/13/2020
2113	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/14/2020
2124	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/15/2020
2135	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/16/2020
2137	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/17/2020
2144	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/18/2020
2157	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/19/2020
2164	Roosevelt	1	US	0	34.02097406	-103.4799493	New Mexico	0	04/20/2020
