	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
33	Chenango	2	US	0	42.49430041	-75.60887553	New York	0	03/22/2020
470	Chenango	2	US	0	42.49430041	-75.60887553	New York	0	03/23/2020
470	Chenango	3	US	0	42.49430041	-75.60887553	New York	0	03/24/2020
470	Chenango	3	US	0	42.49430041	-75.60887553	New York	0	03/25/2020
470	Chenango	3	US	0	42.49430041	-75.60887553	New York	0	03/26/2020
470	Chenango	4	US	0	42.49430041	-75.60887553	New York	0	03/27/2020
470	Chenango	8	US	0	42.49430041	-75.60887553	New York	0	03/28/2020
470	Chenango	15	US	0	42.49430041	-75.60887553	New York	0	03/29/2020
470	Chenango	17	US	0	42.49430041	-75.60887553	New York	0	03/30/2020
336	Chenango	19	US	0	42.49430041	-75.60887553	New York	0	03/31/2020
345	Chenango	26	US	0	42.49430041	-75.60887553	New York	0	04/01/2020
355	Chenango	28	US	0	42.49430041	-75.60887553	New York	0	04/02/2020
359	Chenango	32	US	0	42.49430041	-75.60887553	New York	0	04/03/2020
367	Chenango	39	US	0	42.49430041	-75.60887553	New York	0	04/04/2020
380	Chenango	43	US	0	42.49430041	-75.60887553	New York	0	04/05/2020
381	Chenango	46	US	0	42.49430041	-75.60887553	New York	0	04/06/2020
389	Chenango	51	US	0	42.49430041	-75.60887553	New York	0	04/07/2020
393	Chenango	53	US	0	42.49430041	-75.60887553	New York	0	04/08/2020
396	Chenango	55	US	0	42.49430041	-75.60887553	New York	0	04/09/2020
397	Chenango	60	US	0	42.49430041	-75.60887553	New York	0	04/10/2020
401	Chenango	61	US	0	42.49430041	-75.60887553	New York	0	04/11/2020
404	Chenango	63	US	0	42.49430041	-75.60887553	New York	0	04/12/2020
407	Chenango	65	US	0	42.49430041	-75.60887553	New York	0	04/13/2020
408	Chenango	68	US	0	42.49430041	-75.60887553	New York	0	04/14/2020
411	Chenango	71	US	0	42.49430041	-75.60887553	New York	0	04/15/2020
411	Chenango	73	US	0	42.49430041	-75.60887553	New York	0	04/16/2020
413	Chenango	76	US	0	42.49430041	-75.60887553	New York	0	04/17/2020
414	Chenango	77	US	0	42.49430041	-75.60887553	New York	0	04/18/2020
416	Chenango	78	US	0	42.49430041	-75.60887553	New York	0	04/19/2020
416	Chenango	78	US	0	42.49430041	-75.60887553	New York	0	04/20/2020
418	Chenango	79	US	0	42.49430041	-75.60887553	New York	0	04/21/2020
420	Chenango	79	US	0	42.49430041	-75.60887553	New York	0	04/22/2020
421	Chenango	82	US	0	42.49430041	-75.60887553	New York	0	04/23/2020
421	Chenango	84	US	0	42.49430041	-75.60887553	New York	0	04/24/2020
421	Chenango	91	US	0	42.49430041	-75.60887553	New York	0	04/25/2020
422	Chenango	93	US	0	42.49430041	-75.60887553	New York	0	04/26/2020
423	Chenango	95	US	0	42.49430041	-75.60887553	New York	0	04/27/2020
424	Chenango	95	US	0	42.49430041	-75.60887553	New York	0	04/28/2020
424	Chenango	96	US	0	42.49430041	-75.60887553	New York	0	04/29/2020
424	Chenango	98	US	0	42.49430041	-75.60887553	New York	0	04/30/2020
427	Chenango	99	US	0	42.49430041	-75.60887553	New York	0	05/01/2020
428	Chenango	99	US	0	42.49430041	-75.60887553	New York	0	05/02/2020
429	Chenango	99	US	0	42.49430041	-75.60887553	New York	0	05/03/2020
430	Chenango	100	US	0	42.49430041	-75.60887553	New York	0	05/04/2020
432	Chenango	100	US	0	42.49430041	-75.60887553	New York	0	05/05/2020
433	Chenango	102	US	0	42.49430041	-75.60887553	New York	0	05/06/2020
434	Chenango	105	US	0	42.49430041	-75.60887553	New York	0	05/07/2020
434	Chenango	105	US	0	42.49430041	-75.60887553	New York	0	05/08/2020
434	Chenango	109	US	0	42.49430041	-75.60887553	New York	0	05/09/2020
435	Chenango	109	US	0	42.49430041	-75.60887553	New York	0	05/10/2020
435	Chenango	111	US	0	42.49430041	-75.60887553	New York	0	05/11/2020
435	Chenango	112	US	0	42.49430041	-75.60887553	New York	0	05/12/2020
435	Chenango	112	US	0	42.49430041	-75.60887553	New York	0	05/13/2020
436	Chenango	112	US	0	42.49430041	-75.60887553	New York	0	05/14/2020
437	Chenango	113	US	0	42.49430041	-75.60887553	New York	0	05/15/2020
438	Chenango	115	US	0	42.49430041	-75.60887553	New York	0	05/16/2020
439	Chenango	117	US	0	42.49430041	-75.60887553	New York	0	05/17/2020
440	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/18/2020
442	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/19/2020
442	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/20/2020
442	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/21/2020
443	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/22/2020
443	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/23/2020
444	Chenango	118	US	0	42.49430041	-75.60887553	New York	0	05/24/2020
444	Chenango	119	US	0	42.49430041	-75.60887553	New York	0	05/25/2020
444	Chenango	123	US	0	42.49430041	-75.60887553	New York	0	05/26/2020
445	Chenango	125	US	0	42.49430041	-75.60887553	New York	0	05/27/2020
445	Chenango	126	US	0	42.49430041	-75.60887553	New York	0	05/28/2020
445	Chenango	130	US	0	42.49430041	-75.60887553	New York	0	05/29/2020
445	Chenango	132	US	0	42.49430041	-75.60887553	New York	0	05/30/2020
445	Chenango	133	US	0	42.49430041	-75.60887553	New York	0	05/31/2020
446	Chenango	133	US	0	42.49430041	-75.60887553	New York	0	06/01/2020
446	Chenango	133	US	0	42.49430041	-75.60887553	New York	0	06/02/2020
446	Chenango	133	US	0	42.49430041	-75.60887553	New York	0	06/03/2020
446	Chenango	133	US	0	42.49430041	-75.60887553	New York	0	06/04/2020
447	Chenango	133	US	5	42.49430041	-75.60887553	New York	0	06/05/2020
447	Chenango	133	US	5	42.49430041	-75.60887553	New York	0	06/06/2020
447	Chenango	134	US	5	42.49430041	-75.60887553	New York	0	06/07/2020
447	Chenango	135	US	5	42.49430041	-75.60887553	New York	0	06/08/2020
447	Chenango	135	US	5	42.49430041	-75.60887553	New York	0	06/09/2020
448	Chenango	137	US	5	42.49430041	-75.60887553	New York	0	06/10/2020
449	Chenango	137	US	5	42.49430041	-75.60887553	New York	0	06/11/2020
450	Chenango	138	US	5	42.49430041	-75.60887553	New York	0	06/12/2020
450	Chenango	138	US	5	42.49430041	-75.60887553	New York	0	06/13/2020
450	Chenango	138	US	5	42.49430041	-75.60887553	New York	0	06/14/2020
451	Chenango	138	US	5	42.49430041	-75.60887553	New York	0	06/15/2020
451	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/16/2020
451	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/17/2020
451	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/18/2020
451	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/19/2020
453	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/20/2020
453	Chenango	139	US	5	42.49430041	-75.60887553	New York	0	06/21/2020
453	Chenango	140	US	5	42.49430041	-75.60887553	New York	0	06/22/2020
453	Chenango	141	US	5	42.49430041	-75.60887553	New York	0	06/23/2020
455	Chenango	142	US	5	42.49430041	-75.60887553	New York	0	06/24/2020
456	Chenango	144	US	5	42.49430041	-75.60887553	New York	0	06/25/2020
456	Chenango	145	US	5	42.49430041	-75.60887553	New York	0	06/26/2020
456	Chenango	146	US	5	42.49430041	-75.60887553	New York	0	06/27/2020
456	Chenango	146	US	5	42.49430041	-75.60887553	New York	0	06/28/2020
456	Chenango	78	US	5	42.49430041	-75.60887553	New York	0	06/29/2020
457	Chenango	146	US	5	42.49430041	-75.60887553	New York	0	06/30/2020
457	Chenango	146	US	5	42.49430041	-75.60887553	New York	0	07/01/2020
458	Chenango	148	US	5	42.49430041	-75.60887553	New York	0	07/02/2020
459	Chenango	148	US	5	42.49430041	-75.60887553	New York	0	07/03/2020
459	Chenango	149	US	5	42.49430041	-75.60887553	New York	0	07/04/2020
459	Chenango	150	US	5	42.49430041	-75.60887553	New York	0	07/05/2020
459	Chenango	156	US	5	42.49430041	-75.60887553	New York	0	07/06/2020
459	Chenango	157	US	5	42.49430041	-75.60887553	New York	0	07/07/2020
460	Chenango	159	US	5	42.49430041	-75.60887553	New York	0	07/08/2020
460	Chenango	163	US	5	42.49430041	-75.60887553	New York	0	07/09/2020
461	Chenango	166	US	6	42.49430041	-75.60887553	New York	0	07/10/2020
461	Chenango	166	US	6	42.49430041	-75.60887553	New York	0	07/11/2020
461	Chenango	166	US	6	42.49430041	-75.60887553	New York	0	07/12/2020
461	Chenango	169	US	6	42.49430041	-75.60887553	New York	0	07/13/2020
461	Chenango	171	US	6	42.49430041	-75.60887553	New York	0	07/14/2020
461	Chenango	175	US	6	42.49430041	-75.60887553	New York	0	07/15/2020
462	Chenango	178	US	6	42.49430041	-75.60887553	New York	0	07/16/2020
462	Chenango	181	US	6	42.49430041	-75.60887553	New York	0	07/17/2020
481	Chenango	182	US	6	42.49430041	-75.60887553	New York	0	07/18/2020
481	Chenango	182	US	6	42.49430041	-75.60887553	New York	0	07/19/2020
470	Chenango	184	US	6	42.49430041	-75.60887553	New York	0	07/20/2020
482	Chenango	188	US	6	42.49430041	-75.60887553	New York	0	07/21/2020
482	Chenango	191	US	6	42.49430041	-75.60887553	New York	0	07/22/2020
483	Chenango	194	US	6	42.49430041	-75.60887553	New York	0	07/23/2020
483	Chenango	196	US	6	42.49430041	-75.60887553	New York	0	07/24/2020
483	Chenango	203	US	6	42.49430041	-75.60887553	New York	0	07/25/2020
483	Chenango	203	US	6	42.49430041	-75.60887553	New York	0	07/26/2020
483	Chenango	203	US	6	42.49430041	-75.60887553	New York	0	07/27/2020
483	Chenango	203	US	6	42.49430041	-75.60887553	New York	0	07/28/2020
483	Chenango	205	US	6	42.49430041	-75.60887553	New York	0	07/29/2020
483	Chenango	206	US	6	42.49430041	-75.60887553	New York	0	07/30/2020
483	Chenango	207	US	6	42.49430041	-75.60887553	New York	0	07/31/2020
483	Chenango	209	US	6	42.49430041	-75.60887553	New York	0	08/01/2020
483	Chenango	211	US	6	42.49430041	-75.60887553	New York	0	08/02/2020
483	Chenango	211	US	6	42.49430041	-75.60887553	New York	0	08/03/2020
