	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
43	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/22/2020
999	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/23/2020
999	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/24/2020
999	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/25/2020
998	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/26/2020
998	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/27/2020
998	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/28/2020
998	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/29/2020
998	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/30/2020
693	Fulton	1	US	0	43.11363907	-74.41798804	New York	0	03/31/2020
712	Fulton	2	US	0	43.11363907	-74.41798804	New York	0	04/01/2020
735	Fulton	6	US	0	43.11363907	-74.41798804	New York	0	04/02/2020
748	Fulton	6	US	0	43.11363907	-74.41798804	New York	0	04/03/2020
763	Fulton	9	US	0	43.11363907	-74.41798804	New York	0	04/04/2020
790	Fulton	9	US	0	43.11363907	-74.41798804	New York	0	04/05/2020
801	Fulton	11	US	0	43.11363907	-74.41798804	New York	0	04/06/2020
818	Fulton	13	US	0	43.11363907	-74.41798804	New York	0	04/07/2020
825	Fulton	14	US	0	43.11363907	-74.41798804	New York	0	04/08/2020
831	Fulton	15	US	0	43.11363907	-74.41798804	New York	0	04/09/2020
837	Fulton	18	US	0	43.11363907	-74.41798804	New York	0	04/10/2020
844	Fulton	21	US	0	43.11363907	-74.41798804	New York	0	04/11/2020
850	Fulton	21	US	0	43.11363907	-74.41798804	New York	0	04/12/2020
856	Fulton	21	US	0	43.11363907	-74.41798804	New York	0	04/13/2020
859	Fulton	22	US	0	43.11363907	-74.41798804	New York	0	04/14/2020
864	Fulton	24	US	0	43.11363907	-74.41798804	New York	0	04/15/2020
865	Fulton	25	US	0	43.11363907	-74.41798804	New York	0	04/16/2020
866	Fulton	27	US	0	43.11363907	-74.41798804	New York	0	04/17/2020
868	Fulton	27	US	0	43.11363907	-74.41798804	New York	0	04/18/2020
873	Fulton	27	US	0	43.11363907	-74.41798804	New York	0	04/19/2020
876	Fulton	27	US	0	43.11363907	-74.41798804	New York	0	04/20/2020
