	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
24	New York	US	03/22/2020	43.42034246	-74.96145307	3	0	0	Herkimer
1258	New York	US	03/23/2020	43.42034246	-74.96145307	3	0	0	Herkimer
1258	New York	US	03/24/2020	43.42034246	-74.96145307	4	0	0	Herkimer
1258	New York	US	03/25/2020	43.42034246	-74.96145307	5	0	0	Herkimer
1257	New York	US	03/26/2020	43.42034246	-74.96145307	7	0	0	Herkimer
1257	New York	US	03/27/2020	43.42034246	-74.96145307	9	0	0	Herkimer
1257	New York	US	03/28/2020	43.42034246	-74.96145307	9	1	0	Herkimer
1257	New York	US	03/29/2020	43.42034246	-74.96145307	10	2	0	Herkimer
1257	New York	US	03/30/2020	43.42034246	-74.96145307	12	2	0	Herkimer
846	New York	US	03/31/2020	43.42034246	-74.96145307	12	2	0	Herkimer
870	New York	US	04/01/2020	43.42034246	-74.96145307	12	2	0	Herkimer
906	New York	US	04/02/2020	43.42034246	-74.96145307	14	2	0	Herkimer
923	New York	US	04/03/2020	43.42034246	-74.96145307	14	2	0	Herkimer
943	New York	US	04/04/2020	43.42034246	-74.96145307	18	3	0	Herkimer
978	New York	US	04/05/2020	43.42034246	-74.96145307	22	3	0	Herkimer
993	New York	US	04/06/2020	43.42034246	-74.96145307	25	3	0	Herkimer
1014	New York	US	04/07/2020	43.42034246	-74.96145307	27	3	0	Herkimer
1026	New York	US	04/08/2020	43.42034246	-74.96145307	29	3	0	Herkimer
1034	New York	US	04/09/2020	43.42034246	-74.96145307	32	3	0	Herkimer
1041	New York	US	04/10/2020	43.42034246	-74.96145307	36	3	0	Herkimer
1050	New York	US	04/11/2020	43.42034246	-74.96145307	37	3	0	Herkimer
1058	New York	US	04/12/2020	43.42034246	-74.96145307	37	3	0	Herkimer
1066	New York	US	04/13/2020	43.42034246	-74.96145307	38	3	0	Herkimer
1069	New York	US	04/14/2020	43.42034246	-74.96145307	39	3	0	Herkimer
1075	New York	US	04/15/2020	43.42034246	-74.96145307	40	3	0	Herkimer
1077	New York	US	04/16/2020	43.42034246	-74.96145307	43	3	0	Herkimer
1077	New York	US	04/17/2020	43.42034246	-74.96145307	46	3	0	Herkimer
1081	New York	US	04/18/2020	43.42034246	-74.96145307	47	3	0	Herkimer
1091	New York	US	04/19/2020	43.42034246	-74.96145307	49	3	0	Herkimer
1095	New York	US	04/20/2020	43.42034246	-74.96145307	49	3	0	Herkimer
1100	New York	US	04/21/2020	43.42034246	-74.96145307	50	3	0	Herkimer
