	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2354	New York	US	03/22/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2549	New York	US	03/23/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2549	New York	US	03/24/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2549	New York	US	03/25/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2548	New York	US	03/26/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2548	New York	US	03/27/2020	42.39184015	-76.8773299	0	0	0	Schuyler
2548	New York	US	03/28/2020	42.39184015	-76.8773299	1	0	0	Schuyler
2548	New York	US	03/29/2020	42.39184015	-76.8773299	1	0	0	Schuyler
2548	New York	US	03/30/2020	42.39184015	-76.8773299	2	0	0	Schuyler
1715	New York	US	03/31/2020	42.39184015	-76.8773299	2	0	0	Schuyler
1757	New York	US	04/01/2020	42.39184015	-76.8773299	2	0	0	Schuyler
1822	New York	US	04/02/2020	42.39184015	-76.8773299	3	0	0	Schuyler
1865	New York	US	04/03/2020	42.39184015	-76.8773299	3	0	0	Schuyler
1911	New York	US	04/04/2020	42.39184015	-76.8773299	4	0	0	Schuyler
1978	New York	US	04/05/2020	42.39184015	-76.8773299	4	0	0	Schuyler
2011	New York	US	04/06/2020	42.39184015	-76.8773299	4	0	0	Schuyler
2052	New York	US	04/07/2020	42.39184015	-76.8773299	4	0	0	Schuyler
2072	New York	US	04/08/2020	42.39184015	-76.8773299	4	0	0	Schuyler
2096	New York	US	04/09/2020	42.39184015	-76.8773299	4	0	0	Schuyler
2117	New York	US	04/10/2020	42.39184015	-76.8773299	5	0	0	Schuyler
2142	New York	US	04/11/2020	42.39184015	-76.8773299	5	0	0	Schuyler
2159	New York	US	04/12/2020	42.39184015	-76.8773299	5	0	0	Schuyler
2173	New York	US	04/13/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2181	New York	US	04/14/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2193	New York	US	04/15/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2205	New York	US	04/16/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2207	New York	US	04/17/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2214	New York	US	04/18/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2227	New York	US	04/19/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2234	New York	US	04/20/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2243	New York	US	04/21/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2250	New York	US	04/22/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2264	New York	US	04/23/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2269	New York	US	04/24/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2274	New York	US	04/25/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2282	New York	US	04/26/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2288	New York	US	04/27/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2297	New York	US	04/28/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2300	New York	US	04/29/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2306	New York	US	04/30/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2317	New York	US	05/01/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2321	New York	US	05/02/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2325	New York	US	05/03/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2328	New York	US	05/04/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2335	New York	US	05/05/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2340	New York	US	05/06/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2344	New York	US	05/07/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2351	New York	US	05/08/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2352	New York	US	05/09/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2354	New York	US	05/10/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2354	New York	US	05/11/2020	42.39184015	-76.8773299	7	0	0	Schuyler
2357	New York	US	05/12/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2358	New York	US	05/13/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2359	New York	US	05/14/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2363	New York	US	05/15/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2368	New York	US	05/16/2020	42.39184015	-76.8773299	8	0	0	Schuyler
2370	New York	US	05/17/2020	42.39184015	-76.8773299	9	0	0	Schuyler
2372	New York	US	05/18/2020	42.39184015	-76.8773299	10	0	0	Schuyler
2376	New York	US	05/19/2020	42.39184015	-76.8773299	10	0	0	Schuyler
2382	New York	US	05/20/2020	42.39184015	-76.8773299	10	0	0	Schuyler
2383	New York	US	05/21/2020	42.39184015	-76.8773299	10	0	0	Schuyler
2387	New York	US	05/22/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2389	New York	US	05/23/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2392	New York	US	05/24/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2393	New York	US	05/25/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2394	New York	US	05/26/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2397	New York	US	05/27/2020	42.39184015	-76.8773299	11	0	0	Schuyler
2399	New York	US	05/28/2020	42.39184015	-76.8773299	11	0	0	Schuyler
