	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
16	Ulster	18	US	0	41.89027881	-74.26252104	New York	0	03/22/2020
2854	Ulster	18	US	0	41.89027881	-74.26252104	New York	0	03/23/2020
2854	Ulster	35	US	0	41.89027881	-74.26252104	New York	0	03/24/2020
2854	Ulster	65	US	0	41.89027881	-74.26252104	New York	0	03/25/2020
2853	Ulster	78	US	0	41.89027881	-74.26252104	New York	0	03/26/2020
2853	Ulster	98	US	0	41.89027881	-74.26252104	New York	0	03/27/2020
2853	Ulster	133	US	0	41.89027881	-74.26252104	New York	0	03/28/2020
2853	Ulster	146	US	0	41.89027881	-74.26252104	New York	0	03/29/2020
2853	Ulster	190	US	0	41.89027881	-74.26252104	New York	0	03/30/2020
1924	Ulster	207	US	0	41.89027881	-74.26252104	New York	0	03/31/2020
1970	Ulster	222	US	3	41.89027881	-74.26252104	New York	0	04/01/2020
2040	Ulster	240	US	3	41.89027881	-74.26252104	New York	0	04/02/2020
2088	Ulster	263	US	3	41.89027881	-74.26252104	New York	0	04/03/2020
2141	Ulster	290	US	4	41.89027881	-74.26252104	New York	0	04/04/2020
2213	Ulster	358	US	4	41.89027881	-74.26252104	New York	0	04/05/2020
2250	Ulster	382	US	4	41.89027881	-74.26252104	New York	0	04/06/2020
2297	Ulster	398	US	5	41.89027881	-74.26252104	New York	0	04/07/2020
2320	Ulster	462	US	7	41.89027881	-74.26252104	New York	0	04/08/2020
2346	Ulster	462	US	8	41.89027881	-74.26252104	New York	0	04/09/2020
2370	Ulster	530	US	8	41.89027881	-74.26252104	New York	0	04/10/2020
2395	Ulster	589	US	8	41.89027881	-74.26252104	New York	0	04/11/2020
2417	Ulster	655	US	11	41.89027881	-74.26252104	New York	0	04/12/2020
2431	Ulster	716	US	11	41.89027881	-74.26252104	New York	0	04/13/2020
2442	Ulster	716	US	13	41.89027881	-74.26252104	New York	0	04/14/2020
2454	Ulster	745	US	13	41.89027881	-74.26252104	New York	0	04/15/2020
2467	Ulster	845	US	15	41.89027881	-74.26252104	New York	0	04/16/2020
2469	Ulster	880	US	15	41.89027881	-74.26252104	New York	0	04/17/2020
2476	Ulster	880	US	16	41.89027881	-74.26252104	New York	0	04/18/2020
2493	Ulster	960	US	16	41.89027881	-74.26252104	New York	0	04/19/2020
2501	Ulster	997	US	16	41.89027881	-74.26252104	New York	0	04/20/2020
2510	Ulster	1018	US	17	41.89027881	-74.26252104	New York	0	04/21/2020
2517	Ulster	1018	US	17	41.89027881	-74.26252104	New York	0	04/22/2020
2534	Ulster	942	US	21	41.89027881	-74.26252104	New York	0	04/23/2020
2540	Ulster	976	US	23	41.89027881	-74.26252104	New York	0	04/24/2020
2545	Ulster	1166	US	23	41.89027881	-74.26252104	New York	0	04/25/2020
2553	Ulster	1190	US	23	41.89027881	-74.26252104	New York	0	04/26/2020
2560	Ulster	1219	US	24	41.89027881	-74.26252104	New York	0	04/27/2020
2569	Ulster	1230	US	24	41.89027881	-74.26252104	New York	0	04/28/2020
2574	Ulster	1252	US	30	41.89027881	-74.26252104	New York	0	04/29/2020
2580	Ulster	1279	US	30	41.89027881	-74.26252104	New York	0	04/30/2020
2591	Ulster	1298	US	37	41.89027881	-74.26252104	New York	0	05/01/2020
2594	Ulster	1327	US	37	41.89027881	-74.26252104	New York	0	05/02/2020
2599	Ulster	1341	US	37	41.89027881	-74.26252104	New York	0	05/03/2020
2602	Ulster	1354	US	44	41.89027881	-74.26252104	New York	0	05/04/2020
2610	Ulster	1357	US	44	41.89027881	-74.26252104	New York	0	05/05/2020
2616	Ulster	1383	US	49	41.89027881	-74.26252104	New York	0	05/06/2020
2623	Ulster	1416	US	51	41.89027881	-74.26252104	New York	0	05/07/2020
2630	Ulster	1429	US	54	41.89027881	-74.26252104	New York	0	05/08/2020
2632	Ulster	1440	US	54	41.89027881	-74.26252104	New York	0	05/09/2020
